YP_004589860.1	K03495
YP_004589861.1	K02470
YP_004589862.1	K02338
YP_004589863.1	K02313
YP_004589864.1	K02914
YP_004589865.1	K03536
YP_004589866.1	K03217
YP_004589867.1	K03650
YP_004589868.1	K04078
YP_004589869.1	K04077
YP_004589870.1	K02356
YP_004589871.1	K02315
YP_004589872.1	K08316
YP_004589873.1	K03110
YP_004589874.1	K03089
YP_004589875.1	K00549
YP_004589876.1	K03046
YP_004589877.1	K03043
YP_004589878.1	K02935
YP_004589879.1	K02864
YP_004589880.1	K02863
YP_004589881.1	K02867
YP_004589882.1	K02601
YP_004589883.1	K03073
YP_004589884.1	K00297
YP_004589885.1	K01940
YP_004589886.1	K01755
YP_004589887.1	K03086
YP_004589888.1	K02316
YP_004589889.1	K02970
YP_004589890.1	K01409
YP_004589891.1	K00974
YP_004589892.1	K01972
YP_004589893.1	K01885
YP_004589894.1	K02409
YP_004589895.1	K02410
YP_004589896.1	K02411
YP_004589897.1	K02412
YP_004589898.1
YP_004589899.1
YP_004589900.1	K02418
YP_004589901.1	K02419
YP_004589902.1	K02420
YP_004589903.1	K02421
YP_004589904.1	K02913
YP_004589905.1	K02902
YP_004589906.1	K01507
YP_004589907.1	K03592
YP_004589908.1	K00647
YP_004589909.1	K00616
YP_004589910.1	K00615
YP_004589911.1	K01439
YP_004589912.1	K01714
YP_004589913.1	K01736
YP_004589914.1
YP_004589915.1	K00765
YP_004589916.1	K00013
YP_004589917.1	K00817
YP_004589918.1	K01089
YP_004589919.1	K02501
YP_004589920.1	K01814
YP_004589921.1	K02500
YP_004589922.1	K11755
YP_004589923.1	K00033
YP_004589924.1	K01874
YP_004589925.1	K04075
YP_004589926.1	K10773
YP_004589927.1	K01866
YP_004589928.1	K05997
YP_004589929.1	K01626
YP_004589930.1	K01868
YP_004589931.1	K02520
YP_004589932.1	K02916
YP_004589933.1	K02887
YP_004589934.1	K01889
YP_004589935.1	K01890
YP_004589936.1	K04764
YP_004589937.1	K01879
YP_004589938.1	K01878
YP_004589939.1	K01151
YP_004589940.1	K02897
YP_004589941.1
YP_004589942.1	K02528
YP_004589943.1	K01525
YP_004589944.1	K01955
YP_004589945.1	K01956
YP_004589946.1	K00215
YP_004589947.1	K01870
YP_004589948.1	K02968
YP_004589949.1	K03686
YP_004589950.1	K04043
YP_004589951.1	K00330
YP_004589952.1	K00331
YP_004589953.1	K13378
YP_004589954.1	K00334
YP_004589955.1	K00335
YP_004589956.1	K00336
YP_004589957.1	K00337
YP_004589958.1	K00338
YP_004589959.1	K00339
YP_004589960.1	K00340
YP_004589961.1	K00341
YP_004589962.1	K00342
YP_004589963.1	K00343
YP_004589964.1	K00948
