YP_006607895.1	K04043
YP_006607896.1	K03686
YP_006607897.1	K00343,K01992
YP_006607898.1	K00342
YP_006607899.1	K00341
YP_006607900.1	K00340
YP_006607901.1	K00339
YP_006607902.1	K00338
YP_006607903.1	K00337
YP_006607904.1	K00336
YP_006607905.1	K00335
YP_006607906.1	K00334
YP_006607907.1	K13378
YP_006607908.1	K00331
YP_006607909.1	K00330
YP_006607910.1
YP_006607911.1	K02914
YP_006607912.1
YP_006607913.1	K02470
YP_006607914.1	K01878
YP_006607915.1
YP_006607916.1	K00528
YP_006607917.1	K03217
YP_006607918.1	K03650
YP_006607919.1	K03495
YP_006607920.1	K02108
YP_006607921.1	K02110
YP_006607922.1	K02109
YP_006607923.1	K02113
YP_006607924.1	K02111
YP_006607925.1	K02115
YP_006607926.1	K02112
YP_006607927.1	K02114
YP_006607928.1	K00611
YP_006607929.1	K01704
YP_006607930.1	K00052
YP_006607931.1	K00133
YP_006607932.1	K06173
YP_006607933.1	K01817
YP_006607934.1	K06895
YP_006607935.1	K01875
YP_006607936.1	K03977
YP_006607937.1	K01892
YP_006607938.1	K01338
YP_006607939.1	K01687
YP_006607940.1	K00791
YP_006607941.1
YP_006607942.1	K02502
YP_006607943.1	K09014
YP_006607944.1	K09013
YP_006607945.1	K09015
YP_006607946.1	K11717
YP_006607947.1	K00566
YP_006607948.1	K02518
YP_006607949.1	K09687
YP_006607950.1	K09686
YP_006607951.1	K00033
YP_006607952.1	K03073
YP_006607953.1	K02601
YP_006607954.1	K02867
YP_006607955.1	K02863
YP_006607956.1	K02864
YP_006607957.1	K02935
YP_006607958.1	K03043
YP_006607959.1	K03046
YP_006607960.1	K02950
YP_006607961.1	K02992
YP_006607962.1	K02355
YP_006607963.1	K02358
YP_006607964.1	K02946
YP_006607965.1	K02906
YP_006607966.1	K02926
YP_006607967.1	K02892
YP_006607968.1	K02886
YP_006607969.1	K02965
YP_006607970.1	K02890
YP_006607971.1	K02982
YP_006607972.1	K02878
YP_006607973.1	K02904
YP_006607974.1	K02961
YP_006607975.1	K02874
YP_006607976.1	K02895
YP_006607977.1	K02931
YP_006607978.1	K02954
YP_006607979.1	K02994
YP_006607980.1	K02933
YP_006607981.1	K02881
YP_006607982.1	K02988
YP_006607983.1	K02876
YP_006607984.1	K03076
YP_006607985.1	K02919
YP_006607986.1	K02952
YP_006607987.1	K02948
YP_006607988.1	K02986
YP_006607989.1	K03040
YP_006607990.1	K02879
YP_006607991.1	K02888
YP_006607992.1	K02899
YP_006607993.1	K03979
YP_006607994.1	K02968
YP_006607995.1	K01870
YP_006607996.1
YP_006607997.1	K02836
YP_006607998.1	K04567
YP_006607999.1	K08316
YP_006608000.1	K03089
YP_006608001.1	K02902
YP_006608002.1	K02913
YP_006608003.1
YP_006608004.1	K01885
YP_006608005.1	K00164
YP_006608006.1	K00658
YP_006608007.1	K00382
YP_006608008.1
YP_006608009.1	K02990
YP_006608010.1	K02963
YP_006608011.1	K02939
YP_006608012.1	K02314
YP_006608013.1	K01409
