YP_002467775.1	K03495
YP_002467776.1	K02108
YP_002467777.1	K02110
YP_002467778.1	K02109
YP_002467779.1	K02113
YP_002467780.1	K02111
YP_002467781.1	K02115
YP_002467782.1	K02112
YP_002467783.1	K02114
YP_002467784.1	K02470
YP_002467785.1	K02338
YP_002467786.1	K02313
YP_002467787.1	K02914
YP_002467788.1	K03217
YP_002467789.1	K03650
YP_002467790.1	K04078
YP_002467791.1	K04077
YP_002467792.1	K02356
YP_002467793.1	K02315
YP_002467794.1	K02317
YP_002467795.1	K08316
YP_002467796.1	K03110
YP_002467797.1	K03089
YP_002467798.1	K00820
YP_002467799.1	K04042
YP_002467800.1	K07024
YP_002467801.1	K00549
YP_002467802.1	K00602
YP_002467803.1	K05787
YP_002467804.1	K03046
YP_002467805.1	K03043
YP_002467806.1	K02935
YP_002467807.1	K02864
YP_002467808.1	K02863
YP_002467809.1	K02867
YP_002467810.1	K02601
YP_002467811.1	K03073
YP_002467812.1	K00075
YP_002467813.1	K00297
YP_002467814.1	K01438
YP_002467815.1	K00145
YP_002467816.1	K00930
YP_002467817.1	K01940
YP_002467818.1	K01755
YP_002467819.1
YP_002467820.1	K03071
YP_002467821.1	K00640
YP_002467822.1	K03086
YP_002467823.1	K02316
YP_002467824.1	K02970
YP_002467825.1	K01409
YP_002467826.1	K02858
YP_002467827.1
YP_002467828.1	K00974
YP_002467829.1	K06153
YP_002467830.1	K02777
YP_002467831.1	K08483
YP_002467832.1	K02784
YP_002467833.1	K01738
YP_002467834.1	K01972
YP_002467835.1	K01885
YP_002467836.1	K02408
YP_002467837.1	K02409
YP_002467838.1	K02410
YP_002467839.1	K02411
YP_002467840.1	K02412
YP_002467841.1	K02413
YP_002467842.1	K02414
YP_002467843.1	K02416
YP_002467844.1	K02417
YP_002467845.1	K02419
YP_002467846.1	K02420
YP_002467847.1	K02421
YP_002467848.1	K02913
YP_002467849.1	K02902
YP_002467850.1	K09800
YP_002467851.1	K01507
YP_002467852.1	K03592
YP_002467853.1	K00647
YP_002467854.1	K00616
YP_002467855.1	K00615
YP_002467856.1	K01439
YP_002467857.1	K01714
YP_002467858.1	K01736
YP_002467859.1
YP_002467860.1	K00765
YP_002467861.1	K00013
YP_002467862.1	K00817
YP_002467863.1	K01089
YP_002467864.1	K02501
YP_002467865.1	K01814
YP_002467866.1	K02500
YP_002467867.1	K11755
YP_002467868.1	K00033
YP_002467869.1	K01494
YP_002467870.1	K01874
YP_002467871.1	K04075
YP_002467872.1	K00793
YP_002467873.1	K03617
YP_002467874.1	K03616
YP_002467875.1	K03615
YP_002467876.1	K03614
YP_002467877.1	K03612
YP_002467878.1	K03613
YP_002467879.1	K10773
YP_002467880.1	K04066
YP_002467881.1	K01866
YP_002467882.1	K05997
YP_002467883.1
YP_002467884.1	K01626
YP_002467885.1	K01868
YP_002467886.1	K02520
YP_002467887.1	K02916
YP_002467888.1	K02887
YP_002467889.1	K01889
YP_002467890.1	K01890
YP_002467891.1	K04764
YP_002467892.1	K07568
YP_002467893.1	K00773
YP_002467894.1	K03210
YP_002467895.1	K01879
YP_002467896.1	K01878
YP_002467897.1	K01151
YP_002467898.1	K02897
YP_002467899.1
YP_002467900.1	K03771
YP_002467901.1	K02528
YP_002467902.1	K01525
YP_002467903.1	K00287
YP_002467904.1	K01955
YP_002467905.1	K01956
YP_002467906.1	K00215
YP_002467907.1	K03527
YP_002467908.1	K03101
YP_002467909.1	K01870
YP_002467910.1	K11753
YP_002467911.1	K02968
YP_002467912.1	K03686
YP_002467913.1	K04043
YP_002467914.1	K00330
YP_002467915.1	K00331
YP_002467916.1	K13378
YP_002467917.1	K00334
YP_002467918.1	K00335
YP_002467919.1	K00336
YP_002467920.1	K00337
YP_002467921.1	K00338
YP_002467922.1	K00339
YP_002467923.1	K00340
YP_002467924.1	K00341
YP_002467925.1	K00342
YP_002467926.1	K00343
YP_002467927.1	K11754
YP_002467928.1	K00948
YP_002467929.1	K00919
YP_002467930.1	K02835
YP_002467931.1	K02493
YP_002467932.1
YP_002467933.1	K01916
YP_002467934.1	K00925
YP_002467935.1	K13788
YP_002467936.1	K11107
YP_002467937.1	K00526
YP_002467938.1	K00525
YP_002467939.1	K02469
YP_002467940.1	K09945
YP_002467941.1	K03386
YP_002467942.1	K03687
YP_002467943.1	K00858
YP_002467944.1	K06186
YP_002467945.1	K07390
YP_002467946.1	K03683
YP_002467947.1	K04564
YP_002467948.1	K01056
YP_002467949.1	K06942
YP_002467950.1	K01733
YP_002467951.1	K00872
YP_002467952.1	K12524
YP_002467953.1	K00760
YP_002467954.1	K01918
YP_002467955.1	K00606
YP_002467956.1	K06204
YP_002467957.1	K06173
YP_002467958.1	K05365
YP_002467959.1	K03070
YP_002467960.1	K03574
YP_002467961.1	K00859
YP_002467962.1	K00364
YP_002467963.1	K00163
YP_002467964.1	K00627
YP_002467965.1	K00382
YP_002467966.1	K01611
YP_002467967.1	K00797
YP_002467968.1	K01243
YP_002467969.1	K15724
YP_002467970.1	K03531
YP_002467971.1	K03590
YP_002467972.1	K01924
YP_002467973.1	K02563
YP_002467974.1	K03588
YP_002467975.1	K01925
YP_002467976.1	K01000
YP_002467977.1	K01929
YP_002467978.1	K01928
YP_002467979.1	K03587
YP_002467980.1	K03586
YP_002467981.1	K03438
YP_002467982.1	K01653
YP_002467983.1	K01652
YP_002467984.1	K04771
YP_002467985.1	K00674
YP_002467986.1	K01265
YP_002467987.1	K02967
YP_002467988.1	K02357
YP_002467989.1	K09903
YP_002467990.1	K02838
YP_002467991.1	K00099
YP_002467992.1	K00806
YP_002467993.1	K07277
YP_002467994.1	K02372
YP_002467995.1	K02337
YP_002467996.1	K01881
YP_002467997.1	K02401
YP_002467998.1	K02400
YP_002467999.1	K01887
YP_002468000.1	K01069
YP_002468001.1	K02342
YP_002468002.1	K03271
YP_002468003.1	K00769
YP_002468004.1	K03687
YP_002468005.1	K09801
YP_002468006.1	K03664
YP_002468007.1	K11991
YP_002468008.1	K00997
YP_002468009.1	K03595
YP_002468010.1	K03685
YP_002468011.1	K03100
YP_002468012.1	K03596
YP_002468013.1	K00566
YP_002468014.1	K07153
YP_002468015.1	K01756
YP_002468016.1	K08308
YP_002468017.1	K00208
YP_002468018.1	K01147
YP_002468019.1
YP_002468020.1	K03801
YP_002468021.1	K03644
YP_002468022.1	K01591
YP_002468023.1	K01497
YP_002468024.1	K03746
YP_002468025.1	K06131
YP_002468026.1	K10806
YP_002468027.1	K06190
YP_002468028.1
YP_002468029.1	K01695
YP_002468030.1	K13498
YP_002468031.1	K00766
