YP_007864069.1	K03553
YP_007864070.1	K01872
YP_007864071.1	K03563
YP_007864072.1	K01893
YP_007864073.1	K00831
YP_007864074.1	K02945
YP_007864075.1	K03386
YP_007864076.1	K00133
YP_007864077.1
YP_007864078.1
YP_007864079.1	K01892
YP_007864080.1
YP_007864081.1	K03977
YP_007864082.1	K03060
YP_007864083.1	K03655
YP_007864084.1	K06861
YP_007864085.1	K09774
YP_007864086.1	K11719
YP_007864087.1	K03270
YP_007864088.1	K00163
YP_007864089.1	K00627
YP_007864090.1	K00382
YP_007864091.1	K04085
YP_007864092.1	K02302
YP_007864093.1	K00390
YP_007864094.1	K00381
YP_007864095.1	K00380
YP_007864096.1	K01689
YP_007864097.1	K02335
YP_007864098.1	K05539
YP_007864099.1	K01878
YP_007864100.1	K01879
YP_007864101.1
YP_007864102.1	K00426
YP_007864103.1	K00425
YP_007864104.1
YP_007864105.1	K03438
YP_007864106.1	K03586
YP_007864107.1	K03587
YP_007864108.1	K01000
YP_007864109.1	K03588
YP_007864110.1	K02563
YP_007864111.1	K03590
YP_007864112.1	K03531
YP_007864113.1	K02535
YP_007864114.1
YP_007864115.1	K03070
YP_007864116.1	K03737
YP_007864117.1	K00927
YP_007864118.1	K01624
YP_007864119.1	K07447
YP_007864120.1	K03086
YP_007864121.1	K02316
YP_007864122.1	K02970
YP_007864123.1	K01409
YP_007864124.1	K02356
YP_007864125.1	K03786
YP_007864126.1	K02160
YP_007864127.1	K01961
YP_007864128.1	K01890
YP_007864129.1	K01889
YP_007864130.1	K02887
YP_007864131.1	K02916
YP_007864132.1	K02520
YP_007864133.1	K01868
YP_007864134.1	K00014
YP_007864135.1	K07400
YP_007864136.1	K05589
YP_007864137.1	K09897
YP_007864138.1	K03089
YP_007864139.1	K03110
YP_007864140.1	K06942
YP_007864141.1	K01056
YP_007864142.1	K00948
YP_007864143.1	K02835
YP_007864144.1	K02493
YP_007864145.1	K01092
YP_007864146.1	K04487
YP_007864147.1	K00997
YP_007864148.1	K03474
YP_007864149.1	K03695
YP_007864150.1	K06180
YP_007864151.1	K03592
YP_007864152.1	K03554
YP_007864153.1	K02344
YP_007864154.1	K06980
YP_007864155.1	K13292
YP_007864156.1	K08311
YP_007864157.1	K03557
YP_007864158.1	K05515
YP_007864159.1	K05837
YP_007864160.1	K07320
YP_007864161.1	K03600
YP_007864162.1	K00640
YP_007864163.1	K07662
YP_007864164.1	K01803
YP_007864165.1	K00850
YP_007864166.1	K00615
YP_007864167.1
YP_007864168.1	K07042
YP_007864169.1	K01881
YP_007864170.1
YP_007864171.1	K01755
YP_007864172.1	K04564
YP_007864173.1	K03980
YP_007864174.1	K01887
YP_007864175.1	K03168
YP_007864176.1
YP_007864177.1	K11991
YP_007864178.1	K02888
YP_007864179.1	K02899
YP_007864180.1	K03979
YP_007864181.1	K03624
YP_007864182.1	K02427
YP_007864183.1	K03798
YP_007864184.1	K03075
YP_007864185.1	K02600
YP_007864186.1	K02519
YP_007864187.1	K02834
YP_007864188.1	K03177
