YP_007374333.1	K02600
YP_007374334.1	K02519
YP_007374335.1	K04516
YP_007374336.1	K04518
YP_007374337.1	K01695
YP_007374338.1	K01817,K01696
YP_007374339.1	K01609
YP_007374340.1	K00766
YP_007374341.1	K01658
YP_007374342.1	K01657
YP_007374343.1	K03628
YP_007374344.1	K02835
YP_007374345.1	K02358
YP_007374346.1
YP_007374347.1	K02601
YP_007374348.1	K02867
YP_007374349.1	K02863
YP_007374350.1	K02864
YP_007374351.1	K02935
YP_007374352.1	K03043
YP_007374353.1	K03046
YP_007374354.1	K06173
YP_007374355.1	K00014
YP_007374356.1	K02970
YP_007374357.1
YP_007374358.1	K01755
YP_007374359.1	K11754
YP_007374360.1	K03438
YP_007374361.1	K08301
YP_007374362.1	K00765
YP_007374363.1	K01089
YP_007374364.1	K02501
YP_007374365.1	K01814
YP_007374366.1	K02500
YP_007374367.1	K11755
YP_007374368.1	K02528
YP_007374369.1	K01874
YP_007374370.1	K07568
YP_007374371.1
YP_007374372.1
YP_007374373.1	K02426
YP_007374374.1	K00174
YP_007374375.1	K00382
YP_007374376.1	K01714
YP_007374377.1
YP_007374378.1	K00604
YP_007374379.1	K00549
YP_007374380.1	K01870
YP_007374381.1	K00927
YP_007374382.1	K04564
YP_007374383.1
YP_007374384.1	K00946
YP_007374385.1	K00703
YP_007374386.1	K00948
YP_007374387.1	K02897
YP_007374388.1
YP_007374389.1	K03977
YP_007374390.1	K00029
YP_007374391.1	K01736
YP_007374392.1	K00791
YP_007374393.1	K04079
YP_007374394.1	K02945
YP_007374395.1	K00175
YP_007374396.1
YP_007374397.1	K03495
YP_007374398.1	K01869
YP_007374399.1	K06180
YP_007374400.1	K06178
YP_007374401.1	K03786
YP_007374402.1	K01866
YP_007374403.1	K01649
YP_007374404.1	K01703
YP_007374405.1	K01704
YP_007374406.1	K00052
YP_007374407.1	K03596
YP_007374408.1	K02888
YP_007374409.1	K02899
YP_007374410.1	K03092
YP_007374411.1	K01893
YP_007374412.1	K01875
YP_007374413.1	K00297
YP_007374414.1	K09014
YP_007374415.1	K09013
YP_007374416.1	K09015
YP_007374417.1	K11717
YP_007374418.1
YP_007374419.1	K01409
YP_007374420.1	K02909
YP_007374421.1	K02956
YP_007374422.1	K00962
YP_007374423.1	K03086
YP_007374424.1	K00566
YP_007374425.1	K03686
YP_007374426.1	K03687
YP_007374427.1	K00382
YP_007374428.1	K03979
YP_007374429.1	K00891
YP_007374430.1	K04075
YP_007374431.1	K00161
YP_007374432.1	K00627
YP_007374433.1
YP_007374434.1	K00215
YP_007374435.1	K00615
YP_007374436.1	K00615
YP_007374437.1	K03664
YP_007374438.1
YP_007374439.1	K02913
YP_007374440.1	K02902
YP_007374441.1	K09710
YP_007374442.1	K04043
YP_007374443.1	K02871
YP_007374444.1	K02996
YP_007374445.1	K02967
YP_007374446.1	K02357
YP_007374447.1	K01265
YP_007374448.1	K02950
YP_007374449.1	K02992
YP_007374450.1	K02355
YP_007374451.1	K02946
YP_007374452.1	K02906
YP_007374453.1	K02926
YP_007374454.1	K02892
YP_007374455.1	K02886
YP_007374456.1	K02965
YP_007374457.1	K02890
YP_007374458.1	K02982
YP_007374459.1	K02878
YP_007374460.1	K02961
YP_007374461.1	K02874
YP_007374462.1	K02895
YP_007374463.1	K02931
YP_007374464.1	K02954
YP_007374465.1	K02994
YP_007374466.1	K02933
YP_007374467.1	K02881
YP_007374468.1	K02988
YP_007374469.1	K02907
YP_007374470.1	K02876
YP_007374471.1	K02518
YP_007374472.1	K02919
YP_007374473.1	K02952
YP_007374474.1	K02948
YP_007374475.1	K02986
