YP_003877981.1	K02914
YP_003877982.1	K03650
YP_003877983.1	K03495
YP_003877984.1	K03801
YP_003877985.1	K03644
YP_003877986.1	K02518
YP_003877987.1	K00793
YP_003877988.1	K11752
YP_003877989.1
YP_003877990.1	K00794
YP_003877991.1
YP_003877992.1	K00528
YP_003877993.1	K01141
YP_003877994.1	K01658
YP_003877995.1	K00766
YP_003877996.1	K01609
YP_003877997.1	K04078
YP_003877998.1	K04077
YP_003877999.1	K02341
YP_003878000.1	K01890
YP_003878001.1	K01889
YP_003878002.1	K02887
YP_003878003.1	K02916
YP_003878004.1	K02520
YP_003878005.1	K01868
YP_003878006.1	K00948
YP_003878007.1	K02897
YP_003878008.1	K00800
YP_003878009.1	K02945
YP_003878010.1	K02300
YP_003878011.1	K02298
YP_003878012.1	K02297
YP_003878013.1	K02337
YP_003878014.1	K00641
YP_003878015.1	K02867
YP_003878016.1	K02863
YP_003878017.1	K02864
YP_003878018.1	K02935
YP_003878019.1	K03043
YP_003878020.1	K03046
YP_003878021.1	K03046
YP_003878022.1	K01876
YP_003878023.1	K01866
YP_003878024.1	K01736
YP_003878025.1	K01875
YP_003878026.1	K02838
YP_003878027.1	K02357
YP_003878028.1	K02967
YP_003878029.1	K03111
YP_003878030.1	K07397
YP_003878031.1	K02871
YP_003878032.1	K02996
YP_003878033.1	K15724
YP_003878034.1	K03438
YP_003878035.1	K03664
YP_003878036.1	K04079
YP_003878037.1	K01885
YP_003878038.1	K01874
YP_003878039.1	K03522
YP_003878040.1	K03521
YP_003878041.1	K02342
YP_003878042.1	K02519
YP_003878043.1	K01872
YP_003878044.1
YP_003878045.1	K02334
YP_003878046.1	K00029
YP_003878047.1	K04487
YP_003878048.1	K04488
YP_003878049.1	K13628
YP_003878050.1	K04755
YP_003878051.1	K01740
YP_003878052.1	K01695
YP_003878053.1	K01696
YP_003878054.1	K01817
YP_003878055.1	K03086
YP_003878056.1	K02316
YP_003878057.1	K02970
YP_003878058.1	K02909
YP_003878059.1	K00343
YP_003878060.1	K00342
YP_003878061.1	K00341
YP_003878062.1	K00340
YP_003878063.1	K00339
YP_003878064.1	K00338
YP_003878065.1	K00337
YP_003878066.1	K00336
YP_003878067.1	K00335
YP_003878068.1	K00334
YP_003878069.1	K00333
YP_003878070.1	K00332
YP_003878071.1	K00331
YP_003878072.1	K00330
YP_003878073.1	K03624
YP_003878074.1	K02956
YP_003878075.1	K03218
YP_003878076.1	K05524
YP_003878077.1	K00384
YP_003878078.1	K06179
YP_003878079.1	K06180
YP_003878080.1	K00940
YP_003878081.1	K01892
YP_003878082.1	K03977
YP_003878083.1	K00941
YP_003878084.1	K01870
YP_003878085.1
YP_003878086.1	K02314
YP_003878087.1
YP_003878088.1	K02990
YP_003878089.1
YP_003878090.1	K03685
YP_003878091.1	K03596
YP_003878092.1	K09458
YP_003878093.1	K02078
YP_003878094.1	K02911
YP_003878095.1	K03795
YP_003878096.1	K02303
YP_003878097.1	K00956
YP_003878098.1	K00957
YP_003878099.1	K00390
YP_003878100.1	K00381
YP_003878101.1	K02835
YP_003878102.1	K02338
YP_003878103.1	K02470
YP_003878104.1	K00817
YP_003878105.1	K01869
YP_003878106.1
YP_003878107.1	K00311
YP_003878108.1	K01886
YP_003878109.1	K04075
YP_003878110.1	K03686
YP_003878111.1	K04043
YP_003878112.1	K03687
YP_003878113.1	K02343
YP_003878114.1	K00164
YP_003878115.1	K00658
YP_003878116.1	K00382
YP_003878117.1	K01497
YP_003878118.1	K02433
YP_003878119.1	K02434
YP_003878120.1	K01462
YP_003878121.1	K01867
YP_003878122.1	K00891
YP_003878123.1	K01657
YP_003878124.1	K07462
YP_003878125.1	K02888
YP_003878126.1	K02899
YP_003878127.1	K03979
YP_003878128.1	K01881
YP_003878129.1	K01523
YP_003878130.1	K01496
YP_003878131.1	K02500
YP_003878132.1	K01814
YP_003878133.1	K02501
YP_003878134.1	K01693
YP_003878135.1	K00013
YP_003878136.1	K00765
YP_003878137.1	K07042
YP_003878138.1	K01878
YP_003878139.1	K01879
YP_003878140.1	K02528
YP_003878141.1	K00566
YP_003878142.1	K04567
YP_003878143.1	K03147
YP_003878144.1	K01873
YP_003878145.1	K02879
YP_003878146.1	K03040
YP_003878147.1	K02986
YP_003878148.1	K02948
YP_003878149.1	K02952
YP_003878150.1	K02919
YP_003878151.1	K03076
YP_003878152.1	K02876
YP_003878153.1	K02907
YP_003878154.1	K02988
YP_003878155.1	K02881
YP_003878156.1	K02933
YP_003878157.1	K02994
YP_003878158.1	K02954
YP_003878159.1	K02931
YP_003878160.1	K02895
YP_003878161.1	K02874
YP_003878162.1	K02961
YP_003878163.1	K02878
YP_003878164.1	K02982
YP_003878165.1	K02890
YP_003878166.1	K02965
YP_003878167.1	K02886
YP_003878168.1	K02926
YP_003878169.1	K02906
YP_003878170.1	K02946
YP_003878171.1	K02358
YP_003878172.1	K02355
YP_003878173.1	K02992
YP_003878174.1	K02950
YP_003878175.1	K02913
YP_003878176.1	K02902
YP_003878177.1	K02469
YP_003878178.1	K00549
YP_003878179.1	K00297
YP_003878180.1	K02301
YP_003878181.1	K02884
YP_003878182.1	K02959
