YP_004124089.1	K03495
YP_004124090.1	K02108
YP_004124091.1	K02110
YP_004124092.1	K02109
YP_004124093.1	K02113
YP_004124094.1	K02111
YP_004124095.1	K02115
YP_004124096.1	K02112
YP_004124097.1	K02114
YP_004124098.1	K04042
YP_004124099.1	K03650
YP_004124100.1	K03217
YP_004124101.1	K03536
YP_004124102.1	K02914
YP_004124103.1	K02338
YP_004124104.1	K02470
YP_004124105.1	K04080
YP_004124106.1
YP_004124107.1	K01878
YP_004124108.1	K01879
YP_004124109.1	K04564
YP_004124110.1	K01414
YP_004124111.1	K16322
YP_004124112.1	K03179
YP_004124113.1	K09823
YP_004124114.1	K02314
YP_004124115.1	K03111
YP_004124116.1	K03316
YP_004124117.1	K11102
YP_004124118.1	K09022
YP_004124119.1	K00611
YP_004124120.1	K01873
YP_004124121.1	K02339
YP_004124122.1	K01255
YP_004124123.1	K07091
YP_004124124.1	K11720
YP_004124125.1
YP_004124126.1
YP_004124127.1	K02074
YP_004124128.1	K02075
YP_004124129.1	K06861
YP_004124130.1	K09774
YP_004124131.1	K11719
YP_004124132.1
YP_004124133.1	K00790
YP_004124134.1	K04772
YP_004124135.1	K09908
YP_004124136.1	K02871
YP_004124137.1	K02996
YP_004124138.1
YP_004124139.1	K07056
YP_004124140.1
YP_004124141.1	K03086
YP_004124142.1	K02316
YP_004124143.1	K02970
YP_004124144.1	K01409
YP_004124145.1	K08591
YP_004124146.1	K01633
YP_004124147.1	K00974
YP_004124148.1	K03272
YP_004124149.1	K09806
YP_004124150.1	K02858
YP_004124151.1	K00655
YP_004124152.1	K01760
YP_004124153.1	K03926
YP_004124154.1	K04078
YP_004124155.1	K04077
YP_004124156.1	K02356
YP_004124157.1	K05802
YP_004124158.1	K01613
YP_004124159.1	K13288
YP_004124160.1	K06925
YP_004124161.1	K01448
YP_004124162.1	K00791
YP_004124163.1	K03665
YP_004124164.1	K04088
YP_004124165.1	K04087
YP_004124166.1	K01939
YP_004124167.1	K03218
YP_004124168.1	K02990
YP_004124169.1	K02963
YP_004124170.1	K02939
YP_004124171.1	K01082
YP_004124172.1	K07278
YP_004124173.1	K09800
YP_004124174.1	K01507
YP_004124175.1	K02523
YP_004124176.1	K02888
YP_004124177.1	K02899
YP_004124178.1	K03979
YP_004124179.1	K03624
YP_004124180.1	K02427
YP_004124181.1	K03798
YP_004124182.1	K00796
YP_004124183.1	K03431
YP_004124184.1	K03075
YP_004124185.1	K02600
YP_004124186.1	K02519
YP_004124187.1	K02834
YP_004124188.1	K03177
YP_004124189.1	K02956
YP_004124190.1	K00962
YP_004124191.1	K05592
YP_004124192.1	K02344
YP_004124193.1	K12524
YP_004124194.1	K00872
YP_004124195.1	K01733
YP_004124196.1	K04043
YP_004124197.1	K03686
YP_004124198.1	K02968
YP_004124199.1	K11753
YP_004124200.1	K01870
YP_004124201.1	K03101
YP_004124202.1	K03527
YP_004124203.1	K00215
YP_004124204.1	K01956
YP_004124205.1	K01955
YP_004124206.1	K00287
YP_004124207.1	K01525
YP_004124208.1	K02528
YP_004124209.1	K00097
YP_004124210.1	K03771
YP_004124211.1	K04744
YP_004124212.1	K01704
YP_004124213.1	K01703
YP_004124214.1	K00052
YP_004124215.1	K01649
YP_004124216.1	K03438
YP_004124217.1	K03586
YP_004124218.1	K03587
YP_004124219.1	K01928
YP_004124220.1	K01929
YP_004124221.1	K01000
YP_004124222.1	K01925
YP_004124223.1	K03588
YP_004124224.1	K02563
YP_004124225.1	K01924
YP_004124226.1	K03589
YP_004124227.1	K03590
YP_004124228.1	K03531
YP_004124229.1	K02535
YP_004124230.1	K03070
YP_004124231.1	K06204
YP_004124232.1	K00950
YP_004124233.1	K00382
YP_004124234.1	K00627
YP_004124235.1	K00163
YP_004124236.1	K05365
YP_004124237.1	K15724
YP_004124238.1	K01937
YP_004124239.1	K01689
YP_004124240.1	K00380
YP_004124241.1	K00381
YP_004124242.1	K00390
YP_004124243.1	K02302
YP_004124244.1	K00957
YP_004124245.1	K00956
YP_004124246.1	K00860
YP_004124247.1	K05589
YP_004124248.1	K00991
YP_004124249.1	K01770
YP_004124250.1	K06194
YP_004124251.1	K01872
YP_004124252.1	K03563
YP_004124253.1	K02959
YP_004124254.1	K02860
YP_004124255.1	K00554
YP_004124256.1	K02884
YP_004124257.1	K01626
YP_004124258.1	K14187
YP_004124259.1	K14170
YP_004124260.1	K05807
YP_004124261.1	K06180
YP_004124262.1	K03695
YP_004124263.1	K00075
YP_004124264.1	K03524
YP_004124265.1	K03594
YP_004124266.1	K02946
YP_004124267.1	K02906
YP_004124268.1	K02926
YP_004124269.1	K02892
YP_004124270.1	K02886
YP_004124271.1	K02965
YP_004124272.1	K02890
YP_004124273.1	K02982
YP_004124274.1	K02878
YP_004124275.1	K02904
YP_004124276.1	K02961
YP_004124277.1	K02874
YP_004124278.1	K02895
YP_004124279.1	K02931
YP_004124280.1	K02954
YP_004124281.1	K02994
YP_004124282.1	K02933
YP_004124283.1	K02881
YP_004124284.1	K02988
YP_004124285.1	K02907
YP_004124286.1	K02876
YP_004124287.1	K03076
YP_004124288.1	K02919
YP_004124289.1	K02952
YP_004124290.1	K02948
YP_004124291.1	K02986
YP_004124292.1	K03040
YP_004124293.1	K02879
YP_004124294.1	K00604
YP_004124295.1	K01462
YP_004124296.1	K07566
YP_004124297.1	K00014
YP_004124298.1	K01069
YP_004124299.1	K03469
YP_004124300.1	K02342
YP_004124301.1	K03271
YP_004124302.1	K03386
YP_004124303.1	K00773
YP_004124304.1	K03210
YP_004124305.1	K03072
YP_004124306.1	K03074
YP_004124307.1	K11752
YP_004124308.1	K00794
YP_004124309.1	K03625
YP_004124310.1	K01095
YP_004124311.1	K01662
YP_004124312.1	K03151
YP_004124313.1
YP_004124314.1	K02301
YP_004124315.1	K02300
YP_004124316.1	K02299
YP_004124317.1	K02298
YP_004124318.1	K02297
YP_004124319.1	K01358
