YP_007347023.1	K03495
YP_007347024.1	K02108
YP_007347025.1	K02110
YP_007347026.1	K02109
YP_007347027.1	K02113
YP_007347028.1	K02111
YP_007347029.1	K02115
YP_007347030.1	K02112
YP_007347031.1	K02114
YP_007347032.1	K04042
YP_007347033.1	K03650
YP_007347034.1	K03217
YP_007347035.1	K03536
YP_007347036.1	K02914
YP_007347037.1	K02338
YP_007347038.1	K02470
YP_007347039.1	K04080
YP_007347040.1
YP_007347041.1	K01878
YP_007347042.1	K01879
YP_007347043.1	K04564
YP_007347044.1	K01414
YP_007347045.1	K16322
YP_007347046.1	K03179
YP_007347047.1	K09823
YP_007347048.1	K02314
YP_007347049.1	K03111
YP_007347050.1	K03316
YP_007347051.1	K11102
YP_007347052.1	K09022
YP_007347053.1	K00611
YP_007347054.1	K01873
YP_007347055.1	K02339
YP_007347056.1	K01255
YP_007347057.1	K07091
YP_007347058.1	K11720
YP_007347059.1
YP_007347060.1
YP_007347061.1	K02074
YP_007347062.1	K02075
YP_007347063.1	K06861
YP_007347064.1	K09774
YP_007347065.1	K11719
YP_007347066.1
YP_007347067.1	K00790
YP_007347068.1
YP_007347069.1	K09908
YP_007347070.1	K02871
YP_007347071.1	K02996
YP_007347072.1
YP_007347073.1	K07056
YP_007347074.1
YP_007347075.1	K03086
YP_007347076.1	K02316
YP_007347077.1	K02970
YP_007347078.1	K01409
YP_007347079.1	K08591
YP_007347080.1	K01633
YP_007347081.1	K06153
YP_007347082.1	K00974
YP_007347083.1	K03272
YP_007347084.1	K02858
YP_007347085.1	K00655
YP_007347086.1	K01760
YP_007347087.1	K03926
YP_007347088.1	K04078
YP_007347089.1	K04077
YP_007347090.1	K02356
YP_007347091.1	K05802
YP_007347092.1	K01613
YP_007347093.1	K13288
YP_007347094.1	K06925
YP_007347095.1	K01448
YP_007347096.1	K00791
YP_007347097.1	K03666
YP_007347098.1	K03665
YP_007347099.1	K04088
YP_007347100.1	K04087
YP_007347101.1	K01939
YP_007347102.1	K03218
YP_007347103.1	K02990
YP_007347104.1	K02963
YP_007347105.1	K02939
YP_007347106.1	K01082
YP_007347107.1	K07278
YP_007347108.1	K09800
YP_007347109.1	K01507
YP_007347110.1	K02523
YP_007347111.1	K02888
YP_007347112.1	K02899
YP_007347113.1	K03979
YP_007347114.1	K03624
YP_007347115.1	K02427
YP_007347116.1	K03798
YP_007347117.1	K00796
YP_007347118.1	K03431
YP_007347119.1	K03075
YP_007347120.1	K02600
YP_007347121.1	K02519
YP_007347122.1	K02834
YP_007347123.1	K03177
YP_007347124.1	K02956
YP_007347125.1	K00962
YP_007347126.1	K05592
YP_007347127.1	K02344
YP_007347128.1	K12524
YP_007347129.1	K00872
YP_007347130.1	K01733
YP_007347131.1	K04043
YP_007347132.1	K03686
YP_007347133.1	K02968
YP_007347134.1	K11753
YP_007347135.1	K01870
YP_007347136.1	K03101
YP_007347137.1	K03527
YP_007347138.1	K00215
YP_007347139.1	K01956
YP_007347140.1	K01955
YP_007347141.1	K00287
YP_007347142.1	K01525
YP_007347143.1	K02528
YP_007347144.1	K00097
YP_007347145.1	K03771
YP_007347146.1	K04744
YP_007347147.1	K01704
YP_007347148.1	K01703
YP_007347149.1	K00052
YP_007347150.1	K01649
YP_007347151.1	K03438
YP_007347152.1	K03586
YP_007347153.1	K03587
YP_007347154.1	K01928
YP_007347155.1	K01929
YP_007347156.1	K01000
YP_007347157.1	K01925
YP_007347158.1	K03588
YP_007347159.1	K02563
YP_007347160.1	K01924
YP_007347161.1	K03589
YP_007347162.1	K03590
YP_007347163.1	K03531
YP_007347164.1	K02535
YP_007347165.1	K03070
YP_007347166.1	K00859
YP_007347167.1	K06204
YP_007347168.1	K00950
YP_007347169.1	K00382
YP_007347170.1	K00627
YP_007347171.1	K00163
YP_007347172.1	K05365
YP_007347173.1	K15724
YP_007347174.1	K01937
YP_007347175.1	K01689
YP_007347176.1	K00380
YP_007347177.1	K00381
YP_007347178.1	K00390
YP_007347179.1	K02302
YP_007347180.1	K00957
YP_007347181.1	K00956
YP_007347182.1	K00860
YP_007347183.1	K05589
YP_007347184.1	K00991
YP_007347185.1	K01770
YP_007347186.1	K06194
YP_007347187.1	K01872
YP_007347188.1	K03563
YP_007347189.1	K03106
YP_007347190.1	K02959
YP_007347191.1	K02860
YP_007347192.1	K00554
YP_007347193.1	K02884
YP_007347194.1	K01626
YP_007347195.1	K14187
YP_007347196.1	K14170
YP_007347197.1	K05807
YP_007347198.1	K06180
YP_007347199.1	K03695
YP_007347200.1	K00075
YP_007347201.1	K03524
YP_007347202.1	K00867
YP_007347203.1	K03594
YP_007347204.1	K02946
YP_007347205.1	K02906
YP_007347206.1	K02926
YP_007347207.1	K02892
YP_007347208.1	K02886
YP_007347209.1	K02965
YP_007347210.1	K02890
YP_007347211.1	K02982
YP_007347212.1	K02878
YP_007347213.1	K02904
YP_007347214.1	K02961
YP_007347215.1	K02874
YP_007347216.1	K02895
YP_007347217.1	K02931
YP_007347218.1	K02954
YP_007347219.1	K02994
YP_007347220.1	K02933
YP_007347221.1	K02881
YP_007347222.1	K02988
YP_007347223.1	K02876
YP_007347224.1	K03076
YP_007347225.1	K02919
YP_007347226.1	K02952
YP_007347227.1	K02948
YP_007347228.1	K02986
YP_007347229.1	K03040
YP_007347230.1	K02879
YP_007347231.1	K00604
YP_007347232.1	K01462
YP_007347233.1	K07566
YP_007347234.1	K00014
YP_007347235.1
YP_007347236.1	K03469
YP_007347237.1	K02342
YP_007347238.1	K03271
YP_007347239.1	K03386
YP_007347240.1	K00773
YP_007347241.1	K03210
YP_007347242.1	K03072
YP_007347243.1	K03074
YP_007347244.1	K11752
YP_007347245.1	K00794
YP_007347246.1	K03625
YP_007347247.1	K01095
YP_007347248.1	K01662
YP_007347249.1	K00795
YP_007347250.1	K03151
YP_007347251.1
YP_007347252.1	K02301
YP_007347253.1	K02300
YP_007347254.1	K02299
YP_007347255.1	K02298
YP_007347256.1	K02297
YP_007347257.1	K01358
YP_007347258.1	K03544
YP_007347259.1
YP_007347260.1	K03575
YP_007347261.1	K07447
YP_007347262.1	K07735
YP_007347263.1	K00789
YP_007347264.1	K01480
YP_007347265.1	K00927
YP_007347266.1	K01624
YP_007347267.1	K01807
YP_007347268.1	K01934
YP_007347269.1	K09888
YP_007347270.1	K03185
YP_007347271.1
YP_007347272.1	K06980
YP_007347273.1	K02836
YP_007347274.1	K04567
YP_007347275.1	K01586
YP_007347276.1	K08311
YP_007347277.1	K13292
YP_007347278.1	K03583
YP_007347279.1	K03581
YP_007347280.1	K03582
YP_007347281.1	K00674
YP_007347282.1	K01265
YP_007347283.1	K02967
YP_007347284.1	K02357
YP_007347285.1	K09903
YP_007347286.1	K02838
YP_007347287.1	K00099
YP_007347288.1	K00806
YP_007347289.1	K00981
YP_007347290.1	K11749
YP_007347291.1	K07277
YP_007347292.1	K06142
YP_007347293.1	K02536
YP_007347294.1	K02372
YP_007347295.1	K00677
YP_007347296.1	K00748
YP_007347297.1	K03470
YP_007347298.1	K02337
YP_007347299.1	K01962
YP_007347300.1	K04075
YP_007347301.1	K01881
YP_007347302.1	K03273
YP_007347303.1	K01961
YP_007347304.1	K02160
YP_007347305.1	K03786
YP_007347306.1	K03569
YP_007347307.1	K03570
YP_007347308.1	K03571
YP_007347309.1	K03568
YP_007347310.1	K03592
YP_007347311.1	K01338
YP_007347312.1	K00759
YP_007347313.1	K02343
YP_007347314.1	K00939
YP_007347315.1	K03269
YP_007347316.1	K01883
YP_007347317.1	K01491
YP_007347318.1
YP_007347319.1	K05837
YP_007347320.1	K05515
YP_007347321.1	K09710
YP_007347322.1	K02340
YP_007347323.1	K03643
YP_007347324.1	K01869
YP_007347325.1	K03820
YP_007347326.1	K06189
YP_007347327.1	K07042
YP_007347328.1	K06217
YP_007347329.1	K03184
YP_007347330.1	K01443
YP_007347331.1	K02564
YP_007347332.1	K01886
YP_007347333.1	K03839
YP_007347334.1
YP_007347335.1	K01835
YP_007347336.1	K00241
YP_007347337.1	K00242
YP_007347338.1	K00239
YP_007347339.1	K00240
YP_007347340.1	K00164
YP_007347341.1	K00658
YP_007347342.1	K01903
YP_007347343.1	K01902
YP_007347344.1	K03562
YP_007347345.1	K03560
YP_007347346.1	K03646
YP_007347347.1	K03641
YP_007347348.1	K03640
YP_007347349.1
YP_007347350.1	K07404
YP_007347351.1	K01834
YP_007347352.1	K06890
YP_007347353.1	K06942
YP_007347354.1	K01056
YP_007347355.1	K00948
YP_007347356.1	K00919
YP_007347357.1	K02494
YP_007347358.1	K02835
YP_007347359.1	K02493
YP_007347360.1	K01627
YP_007347361.1	K01868
YP_007347362.1	K02520
YP_007347363.1	K02916
YP_007347364.1	K02887
YP_007347365.1	K01889
YP_007347366.1	K01890
YP_007347367.1	K03800
YP_007347368.1	K05997
YP_007347369.1	K09014
YP_007347370.1	K09013
YP_007347371.1	K09015
YP_007347372.1	K11717
YP_007347373.1	K02426
YP_007347374.1	K06078
YP_007347375.1	K00793
YP_007347376.1	K07390
YP_007347377.1	K03683
YP_007347378.1	K06075
YP_007347379.1	K00275
YP_007347380.1	K01866
YP_007347381.1	K10773
YP_007347382.1	K01679
YP_007347383.1
YP_007347384.1	K03186
YP_007347385.1	K00979
YP_007347386.1	K09791
YP_007347387.1	K00912
YP_007347388.1	K11085
YP_007347389.1	K02945
YP_007347390.1	K00945
YP_007347391.1	K00800
YP_007347392.1	K00831
YP_007347393.1	K01875
YP_007347394.1	K03634
YP_007347395.1	K03466
YP_007347396.1	K00384
YP_007347397.1	K02518
YP_007347398.1	K02014
YP_007347399.1
YP_007347400.1	K08308
YP_007347401.1	K11924
YP_007347402.1	K00566
YP_007347403.1	K01756
YP_007347404.1	K09808
YP_007347405.1	K09810
YP_007347406.1	K09808
YP_007347407.1	K07337
YP_007347408.1	K02503
YP_007347409.1	K03424
YP_007347410.1	K02341
YP_007347411.1	K00943
YP_007347412.1	K02619
YP_007347413.1	K02078
YP_007347414.1	K00059
YP_007347415.1	K00645
YP_007347416.1	K00648
YP_007347417.1	K03621
YP_007347418.1	K02911
YP_007347419.1	K06179
YP_007347420.1	K08300
YP_007347421.1	K02517
YP_007347422.1	K16291
YP_007347423.1	K00995
YP_007347424.1	K11179
YP_007347425.1	K11940
YP_007347426.1	K01716
YP_007347427.1	K01893
YP_007347428.1
YP_007347429.1
YP_007347430.1	K00208
YP_007347431.1	K01497
YP_007347432.1	K01657
YP_007347433.1	K01658
YP_007347434.1	K00766
YP_007347435.1	K13498
YP_007347436.1	K01696
YP_007347437.1	K01695
YP_007347438.1
YP_007347439.1	K03832
YP_007347440.1	K06131
YP_007347441.1	K00857
YP_007347442.1	K03746
YP_007347443.1	K01142
YP_007347444.1	K04773
YP_007347445.1	K00134
YP_007347446.1	K03611
YP_007347447.1	K03610
YP_007347448.1	K03609
YP_007347449.1	K03608
YP_007347450.1
YP_007347451.1	K01665
YP_007347452.1
YP_007347453.1	K02793,K02794
YP_007347454.1	K02795
YP_007347455.1	K02796
YP_007347456.1	K03704
YP_007347457.1	K03799
YP_007347458.1	K00036
YP_007347459.1	K00873
YP_007347460.1
YP_007347461.1	K01876
YP_007347462.1	K01887
YP_007347463.1	K03980
YP_007347464.1	K08162
YP_007347465.1	K02467
YP_007347466.1	K09802
YP_007347467.1	K01141
YP_007347468.1	K00765
YP_007347469.1	K00013
YP_007347470.1	K00817
YP_007347471.1	K01089
YP_007347472.1	K02501
YP_007347473.1	K01814
YP_007347474.1	K02500
YP_007347475.1	K11755
YP_007347476.1	K00033
YP_007347477.1	K01874
YP_007347478.1	K01495
YP_007347479.1	K02897
YP_007347480.1	K01921
YP_007347481.1	K09475
YP_007347482.1	K02469
YP_007347483.1	K00568
YP_007347484.1	K00525
YP_007347485.1	K00526
YP_007347486.1	K11107
YP_007347487.1	K00343
YP_007347488.1	K00342
YP_007347489.1	K00341
YP_007347490.1	K00340
YP_007347491.1	K00339
YP_007347492.1	K00338
YP_007347493.1	K00337
YP_007347494.1	K00336
YP_007347495.1	K00335
YP_007347496.1	K00334
YP_007347497.1	K13378
YP_007347498.1	K00331
YP_007347499.1	K00330
YP_007347500.1	K11754
YP_007347501.1	K01963
YP_007347502.1	K06173
YP_007347503.1	K03473
YP_007347504.1	K00647
YP_007347505.1	K07320
YP_007347506.1	K01736
YP_007347507.1	K03322
YP_007347508.1	K11535
YP_007347509.1	K01885
YP_007347510.1	K01972
YP_007347511.1	K01738
YP_007347512.1	K02784
YP_007347513.1	K08483
YP_007347514.1	K02045
YP_007347515.1	K02047
YP_007347516.1	K02046
YP_007347517.1	K02048
YP_007347518.1	K00616
YP_007347519.1	K00615
YP_007347520.1	K01439
YP_007347521.1
YP_007347522.1	K01714
YP_007347523.1	K03564
YP_007347524.1	K00761
YP_007347525.1
YP_007347526.1	K03189
YP_007347527.1	K03188
YP_007347528.1	K01428
YP_007347529.1	K01429
YP_007347530.1	K01430
YP_007347531.1	K03190
YP_007347532.1	K01951
YP_007347533.1	K00088
YP_007347534.1	K00116
YP_007347535.1	K03977
YP_007347536.1	K01892
YP_007347537.1	K03526
YP_007347538.1	K06941
YP_007347539.1	K00940
YP_007347540.1	K04487
YP_007347541.1	K01092
YP_007347542.1	K00600
YP_007347543.1	K11991
YP_007347544.1	K00997
YP_007347545.1	K03474
YP_007347546.1	K03685
YP_007347547.1	K03100
YP_007347548.1	K03596
YP_007347549.1	K03648
YP_007347550.1	K03687
YP_007347551.1	K00858
YP_007347552.1	K06186
YP_007347553.1
YP_007347554.1	K03664
YP_007347555.1	K03297
YP_007347556.1	K00998
YP_007347557.1	K00602
YP_007347558.1	K03046
YP_007347559.1	K03043
YP_007347560.1	K02935
YP_007347561.1	K02864
YP_007347562.1	K02863
YP_007347563.1	K02867
YP_007347564.1	K02601
YP_007347565.1	K03073
YP_007347566.1	K02358
YP_007347567.1	K02355
YP_007347568.1	K02992
YP_007347569.1	K02950
YP_007347570.1	K01664
YP_007347571.1	K01867
YP_007347572.1	K01783
YP_007347573.1	K01735
YP_007347574.1	K00891
YP_007347575.1	K07400
YP_007347576.1	K00133
YP_007347577.1
YP_007347578.1	K07024
YP_007347579.1	K03284
YP_007347580.1	K07025
YP_007347581.1	K01778
YP_007347582.1	K01749
YP_007347583.1	K01719
YP_007347584.1	K03628
YP_007347585.1	K03671
YP_007347586.1	K00053
YP_007347587.1
YP_007347588.1	K01687
YP_007347589.1	K00826
YP_007347590.1	K11258
YP_007347591.1	K01652
YP_007347592.1	K01776
YP_007347593.1	K00297
YP_007347594.1
YP_007347595.1	K02909
YP_007347596.1	K00528
YP_007347597.1	K01803
YP_007347598.1	K00850
YP_007347599.1	K00640
YP_007347600.1	K00057
YP_007347601.1	K03071
YP_007347602.1	K03676
YP_007347603.1
YP_007347604.1	K03274
YP_007347605.1	K02843
YP_007347606.1	K02841
YP_007347607.1	K02527
YP_007347608.1	K00954
YP_007347609.1	K02913
YP_007347610.1	K02902
YP_007347611.1	K13038
YP_007347612.1	K01520
YP_007347613.1
YP_007347614.1
YP_007347615.1	K00942
YP_007347616.1	K03060
YP_007347617.1	K01915
YP_007347618.1	K03978
YP_007347619.1	K02335
YP_007347620.1	K03673
YP_007347621.1	K03182
YP_007347622.1	K03688
YP_007347623.1	K03183
YP_007347624.1	K09760
YP_007347625.1	K00757
YP_007347626.1	K00549
YP_007347627.1	K03089
YP_007347628.1	K03110
YP_007347629.1	K08316
YP_007347630.1	K01810
YP_007347631.1	K00651
