YP_005267086.1	K03495
YP_005267087.1	K02108
YP_005267088.1	K02110
YP_005267089.1	K02109
YP_005267090.1	K02113
YP_005267091.1	K02111
YP_005267092.1	K02115
YP_005267093.1	K02112
YP_005267094.1	K02114
YP_005267095.1	K04042
YP_005267096.1	K00820
YP_005267097.1	K03650
YP_005267098.1	K03217
YP_005267099.1	K08998
YP_005267100.1	K03536
YP_005267101.1	K02914
YP_005267102.1	K02338
YP_005267103.1	K02470
YP_005267104.1	K04744
YP_005267105.1	K00097
YP_005267106.1	K02528
YP_005267107.1	K01525
YP_005267108.1	K00287
YP_005267109.1	K01955
YP_005267110.1	K01956
YP_005267111.1	K00215
YP_005267112.1
YP_005267113.1	K01664
YP_005267114.1	K02950
YP_005267115.1	K02992
YP_005267116.1	K02355
YP_005267117.1	K02403
YP_005267118.1	K02402
YP_005267119.1	K02556
YP_005267120.1	K02557
YP_005267121.1	K02401
YP_005267122.1	K02400
YP_005267123.1	K02399
YP_005267124.1	K02386
YP_005267125.1	K02387
YP_005267126.1	K02388
YP_005267127.1	K02389
YP_005267128.1	K02390
YP_005267129.1	K02391
YP_005267130.1	K02392
YP_005267131.1	K02393
YP_005267132.1	K02394
YP_005267133.1	K02395
YP_005267134.1	K02396
YP_005267135.1	K02397
YP_005267136.1	K02421
YP_005267137.1	K02420
YP_005267138.1	K02419
YP_005267139.1	K02418
YP_005267140.1	K02417
YP_005267141.1	K02416
YP_005267142.1	K02415
YP_005267143.1	K02414
YP_005267144.1	K02412
YP_005267145.1	K02411
YP_005267146.1	K02410
YP_005267147.1	K02409
YP_005267148.1	K02408
YP_005267149.1	K02422
YP_005267150.1	K02407
YP_005267151.1	K02406
YP_005267152.1	K07146
YP_005267153.1	K03669
YP_005267154.1	K01069
YP_005267155.1	K03469
YP_005267156.1	K02342
YP_005267157.1	K08316
YP_005267158.1	K03110
YP_005267159.1	K03089
YP_005267160.1	K01845
YP_005267161.1	K15724
YP_005267162.1	K08306
YP_005267163.1
YP_005267164.1	K03575
YP_005267165.1	K02428
YP_005267166.1	K00286
YP_005267167.1	K06997
YP_005267168.1	K01868
YP_005267169.1	K02520
YP_005267170.1	K02916
YP_005267171.1	K02887
YP_005267172.1	K01889
YP_005267173.1	K01890
YP_005267174.1	K01465
YP_005267175.1	K08300
YP_005267176.1	K06179
YP_005267177.1	K02911
YP_005267178.1	K00645
YP_005267179.1	K00059
YP_005267180.1	K02078
YP_005267181.1	K02619
YP_005267182.1	K07082
YP_005267183.1	K00943
YP_005267184.1	K02341
YP_005267185.1	K03424
YP_005267186.1	K02503
YP_005267187.1	K03885
YP_005267188.1	K03723
YP_005267189.1	K09808
YP_005267190.1	K09810
YP_005267191.1	K09808
YP_005267192.1	K01756
YP_005267193.1	K00566
YP_005267194.1	K03799
YP_005267195.1
YP_005267196.1	K01665
YP_005267197.1	K04773
YP_005267198.1	K00134
YP_005267199.1	K00858
YP_005267200.1
YP_005267201.1	K03664
YP_005267202.1	K01876
YP_005267203.1	K01159
YP_005267204.1	K09816
YP_005267205.1	K09817
YP_005267206.1	K09815
YP_005267207.1
YP_005267208.1	K03322
YP_005267209.1	K03183
YP_005267210.1	K03688
YP_005267211.1	K03182
YP_005267212.1	K03498
YP_005267213.1	K00230
YP_005267214.1	K01961
YP_005267215.1	K02160
YP_005267216.1	K03786
YP_005267217.1	K03569
YP_005267218.1	K03570
YP_005267219.1	K03571
YP_005267220.1	K01810
YP_005267221.1	K01881
YP_005267222.1	K05365
YP_005267223.1	K04564
YP_005267224.1	K01879
YP_005267225.1	K01878
YP_005267226.1
YP_005267227.1	K12524
YP_005267228.1	K00610
YP_005267229.1	K01915
YP_005267230.1	K07038
YP_005267231.1	K01953
YP_005267232.1	K03297
YP_005267233.1	K02170
YP_005267234.1	K00228
YP_005267235.1	K00616
YP_005267236.1	K00615
YP_005267237.1	K01867
YP_005267238.1	K01783
YP_005267239.1	K03112
YP_005267240.1	K01735
YP_005267241.1	K00891
YP_005267242.1	K01610
YP_005267243.1
YP_005267244.1
YP_005267245.1	K01892
YP_005267246.1	K03526
YP_005267247.1	K15539
YP_005267248.1	K06941
YP_005267249.1	K00940
YP_005267250.1	K02879
YP_005267251.1	K03040
YP_005267252.1	K02986
YP_005267253.1	K02948
YP_005267254.1	K02952
YP_005267255.1	K02919
YP_005267256.1	K03076
YP_005267257.1	K02876
YP_005267258.1	K02907
YP_005267259.1	K02988
YP_005267260.1	K02881
YP_005267261.1	K02933
YP_005267262.1	K02994
YP_005267263.1	K02954
YP_005267264.1	K02931
YP_005267265.1	K02895
YP_005267266.1	K02874
YP_005267267.1	K02961
YP_005267268.1	K02904
YP_005267269.1	K02878
YP_005267270.1	K02982
YP_005267271.1	K02890
YP_005267272.1	K02965
YP_005267273.1	K02886
YP_005267274.1	K02892
YP_005267275.1	K02926
YP_005267276.1	K02906
YP_005267277.1	K02946
YP_005267278.1
YP_005267279.1	K03676
YP_005267280.1	K00057
YP_005267281.1	K07640
YP_005267282.1	K07662
YP_005267283.1	K01494
YP_005267284.1	K01874
YP_005267285.1	K06180
YP_005267286.1	K05807
YP_005267287.1	K05589
YP_005267288.1	K00991
YP_005267289.1	K01770
YP_005267290.1	K06890
YP_005267291.1	K01772
YP_005267292.1	K00939
YP_005267293.1	K04079
YP_005267294.1	K09747
YP_005267295.1	K02343
YP_005267296.1	K05839
YP_005267297.1	K03046
YP_005267298.1	K03043
YP_005267299.1	K02935
YP_005267300.1	K02864
YP_005267301.1	K02863
YP_005267302.1	K02867
YP_005267303.1	K02601
YP_005267304.1	K03073
YP_005267305.1	K02358
YP_005267306.1	K00867
YP_005267307.1	K03524
YP_005267308.1	K00075
YP_005267309.1	K00602
YP_005267310.1	K01945
YP_005267311.1	K05787
YP_005267312.1	K01599
YP_005267313.1	K03147
YP_005267314.1	K00788
YP_005267315.1	K03154
YP_005267316.1	K03149
YP_005267317.1	K03150
YP_005267318.1	K11940
YP_005267319.1	K01807
YP_005267320.1	K00600
YP_005267321.1	K03111
YP_005267322.1	K02314
YP_005267323.1	K00655
YP_005267324.1	K00014
YP_005267325.1	K07566
YP_005267326.1	K01462
