YP_004706543.1	K03596
YP_004706544.1	K03100
YP_004706545.1	K03685
YP_004706546.1	K03595
YP_004706547.1	K00997
YP_004706548.1	K03650
YP_004706549.1	K03217
YP_004706550.1	K03536
YP_004706551.1	K02914
YP_004706552.1	K04066
YP_004706553.1	K02909
YP_004706554.1	K02338
YP_004706555.1	K02470
YP_004706556.1	K07146
YP_004706557.1	K03704
YP_004706558.1	K03978
YP_004706559.1	K02314
YP_004706560.1	K03111
YP_004706561.1	K01719
YP_004706562.1	K01749
YP_004706563.1	K03657
YP_004706564.1	K01883
YP_004706565.1	K11940
YP_004706566.1	K06153
YP_004706567.1	K00974
YP_004706568.1	K07390
YP_004706569.1	K03683
YP_004706570.1	K00208
YP_004706571.1	K01507
YP_004706572.1	K03455
YP_004706573.1	K01714
YP_004706574.1	K03671
YP_004706575.1	K03628
YP_004706576.1	K07337
YP_004706577.1	K02503
YP_004706578.1	K00134
YP_004706579.1	K03704
YP_004706580.1	K01867
YP_004706581.1	K02528
YP_004706582.1	K00097
YP_004706583.1	K03771
YP_004706584.1	K04744
YP_004706585.1	K01520
YP_004706586.1	K02902
YP_004706587.1	K02913
YP_004706588.1	K10563
YP_004706589.1	K02343
YP_004706590.1	K00939
YP_004706591.1	K00343
YP_004706592.1	K00342
YP_004706593.1	K00341
YP_004706594.1	K00340
YP_004706595.1	K00339
YP_004706596.1	K00338
YP_004706597.1	K00337
YP_004706598.1	K00336
YP_004706599.1	K00335
YP_004706600.1	K00334
YP_004706601.1	K13378
YP_004706602.1	K00331
YP_004706603.1	K00330
YP_004706604.1	K03569
YP_004706605.1	K03570
YP_004706606.1	K01875
YP_004706607.1	K01955
YP_004706608.1	K01956
YP_004706609.1	K00215
YP_004706610.1	K03101
YP_004706611.1	K01870
YP_004706612.1	K02968
YP_004706613.1	K03686
YP_004706614.1	K04043
YP_004706615.1	K01903
YP_004706616.1	K01902
YP_004706617.1	K06925
YP_004706618.1	K03572
YP_004706619.1	K00791
YP_004706620.1	K03666
YP_004706621.1	K04088
YP_004706622.1	K04087
YP_004706623.1	K12573
YP_004706624.1	K03218
YP_004706625.1	K01834
YP_004706626.1	K03495
YP_004706627.1	K09475
YP_004706628.1	K02990
YP_004706629.1	K02686
YP_004706630.1	K02963
YP_004706631.1	K02939
YP_004706632.1	K07404
YP_004706633.1	K03269
YP_004706634.1	K00793
YP_004706635.1	K06178
YP_004706636.1	K01657
YP_004706637.1	K13497
YP_004706638.1	K13498
YP_004706639.1	K01696
YP_004706640.1	K01695
YP_004706641.1
YP_004706642.1	K01810
YP_004706643.1	K03568
YP_004706644.1
YP_004706645.1	K09815
YP_004706646.1	K09817
YP_004706647.1	K09816
YP_004706648.1	K03551
YP_004706649.1	K03550
YP_004706650.1	K01159
YP_004706651.1
YP_004706652.1	K01876
YP_004706653.1	K04081
YP_004706654.1	K04080
YP_004706655.1	K03582
YP_004706656.1	K00036
YP_004706657.1	K00873
YP_004706658.1	K02340
YP_004706659.1	K03643
YP_004706660.1	K01869
YP_004706661.1	K03469
YP_004706662.1	K02342
YP_004706663.1	K03648
YP_004706664.1	K01963
YP_004706665.1	K03801
YP_004706666.1	K03644
YP_004706667.1	K03625
YP_004706668.1	K00794
YP_004706669.1	K06194
YP_004706670.1	K03555
YP_004706671.1	K03424
YP_004706672.1	K02341
YP_004706673.1
YP_004706674.1	K00059
YP_004706675.1	K00645
YP_004706676.1	K02911
YP_004706677.1	K06179
YP_004706678.1	K08300
YP_004706679.1	K02796
YP_004706680.1	K02795
YP_004706681.1	K02793,K02794
YP_004706682.1	K09917
YP_004706683.1	K03611
YP_004706684.1	K03610
YP_004706685.1	K03609
YP_004706686.1	K03608
YP_004706687.1	K14742
YP_004706688.1	K05807
YP_004706689.1	K16322
YP_004706690.1	K02897
YP_004706691.1	K09760
YP_004706692.1	K01972
YP_004706693.1	K03553
YP_004706694.1	K01872
YP_004706695.1	K03563
YP_004706696.1	K01893
YP_004706697.1	K00831
YP_004706698.1	K02945
YP_004706699.1	K03386
YP_004706700.1	K00133
YP_004706701.1	K04772
YP_004706702.1
YP_004706703.1	K01892
YP_004706704.1
YP_004706705.1	K03977
YP_004706706.1	K03060
YP_004706707.1	K03655
YP_004706708.1	K06861
YP_004706709.1	K09774
YP_004706710.1	K11719
YP_004706711.1	K03270
YP_004706712.1	K00163
YP_004706713.1	K00627
YP_004706714.1	K00382
YP_004706715.1	K04085
YP_004706716.1	K02302
YP_004706717.1	K00390
YP_004706718.1	K00381
YP_004706719.1	K00380
YP_004706720.1	K01689
YP_004706721.1	K02335
YP_004706722.1	K05539
YP_004706723.1	K01878
YP_004706724.1	K01879
YP_004706725.1
YP_004706726.1	K00426
YP_004706727.1	K00425
YP_004706728.1
YP_004706729.1	K03438
YP_004706730.1	K03586
YP_004706731.1	K03587
YP_004706732.1	K01000
YP_004706733.1	K03588
YP_004706734.1	K02563
YP_004706735.1	K03590
YP_004706736.1	K03531
YP_004706737.1	K02535
YP_004706738.1
YP_004706739.1	K03070
YP_004706740.1	K03737
YP_004706741.1	K00927
YP_004706742.1	K01624
