YP_006588756.1	K02313
YP_006588757.1	K02338
YP_006588758.1
YP_006588759.1	K16012
YP_006588760.1	K16013
YP_006588761.1	K00950
YP_006588762.1	K00970
YP_006588763.1
YP_006588764.1	K01876
YP_006588765.1	K01778
YP_006588766.1
YP_006588767.1	K04042
YP_006588768.1	K00820
YP_006588769.1
YP_006588770.1	K02899
YP_006588771.1	K02888
YP_006588772.1	K03667
YP_006588773.1	K01419
YP_006588774.1	K03089
YP_006588775.1	K05807
YP_006588776.1	K06180
YP_006588777.1	K01972
YP_006588778.1	K00800
YP_006588779.1	K00945
YP_006588780.1	K02945
YP_006588781.1	K05788
YP_006588782.1
YP_006588783.1	K07404
YP_006588784.1
YP_006588785.1	K00364
YP_006588786.1	K03978
YP_006588787.1	K03284
YP_006588788.1	K03979
YP_006588789.1	K04564
YP_006588790.1
YP_006588791.1	K01354
YP_006588792.1	K01961
YP_006588793.1	K02160
YP_006588794.1	K00425
YP_006588795.1	K00426
YP_006588796.1	K00858
YP_006588797.1	K14742
YP_006588798.1	K01662
YP_006588799.1	K00795
YP_006588800.1
YP_006588801.1	K01695
YP_006588802.1	K01696
YP_006588803.1	K13498
YP_006588804.1	K00766
YP_006588805.1	K09816
YP_006588806.1	K09817
YP_006588807.1	K09815
YP_006588808.1
YP_006588809.1	K03581
YP_006588810.1	K03582
YP_006588811.1	K08316
YP_006588812.1	K10773
YP_006588813.1	K00857
YP_006588814.1	K03671
YP_006588815.1	K03110
YP_006588816.1	K09812
YP_006588817.1	K09811
YP_006588818.1	K02913
YP_006588819.1	K02902
YP_006588820.1	K06950
YP_006588821.1	K00948
YP_006588822.1	K00919
YP_006588823.1
YP_006588824.1	K02494
YP_006588825.1	K01627
YP_006588826.1	K11105
YP_006588827.1
YP_006588828.1	K03702
YP_006588829.1	K03305
YP_006588830.1	K03322
YP_006588831.1
YP_006588832.1	K03676
YP_006588833.1	K03071
YP_006588834.1	K00057
YP_006588835.1	K00208
YP_006588836.1	K00954
YP_006588837.1	K01887
YP_006588838.1	K00859
YP_006588839.1	K07024
YP_006588840.1	K16322
YP_006588841.1	K03980
YP_006588842.1	K01803
YP_006588843.1	K02518
YP_006588844.1	K01893
YP_006588845.1	K07278
YP_006588846.1	K09800
YP_006588847.1	K00077
YP_006588848.1	K03274
YP_006588849.1	K02843
YP_006588850.1	K02841
YP_006588851.1	K03571
YP_006588852.1	K03570
YP_006588853.1	K03569
YP_006588854.1	K10763
YP_006588855.1
YP_006588856.1	K00616
YP_006588857.1	K00615
YP_006588858.1	K01867
YP_006588859.1	K01056
YP_006588860.1	K06942
YP_006588861.1	K00979
YP_006588862.1	K01525
YP_006588863.1	K07390
YP_006588864.1	K03683
YP_006588865.1	K04075
YP_006588866.1	K00075
YP_006588867.1	K03524
YP_006588868.1	K03686
YP_006588869.1	K04043
YP_006588870.1	K02939
YP_006588871.1	K02963
YP_006588872.1	K02686
YP_006588873.1	K02990
YP_006588874.1	K05801
YP_006588875.1	K04744
YP_006588876.1	K03771
YP_006588877.1	K00097
YP_006588878.1	K02528
YP_006588879.1	K02836
YP_006588880.1	K05539
YP_006588881.1	K04568
YP_006588882.1	K01776
YP_006588883.1	K05802
YP_006588884.1	K01613
YP_006588885.1	K01839
YP_006588886.1	K03784
YP_006588887.1	K03640
YP_006588888.1	K03595
YP_006588889.1	K03685
YP_006588890.1	K03100
YP_006588891.1	K03596
YP_006588892.1	K01885
YP_006588893.1	K01935
YP_006588894.1	K01012
YP_006588895.1	K01262
YP_006588896.1
YP_006588897.1	K01878
YP_006588898.1	K01879
YP_006588899.1	K11535
YP_006588900.1	K00789
YP_006588901.1	K02335
YP_006588902.1	K03495
YP_006588903.1	K06997
YP_006588904.1	K02221
YP_006588905.1	K02495
YP_006588906.1	K11179
YP_006588907.1	K13288
YP_006588908.1	K01963
YP_006588909.1	K11754
YP_006588910.1	K03386
YP_006588911.1	K04077
YP_006588912.1	K04078
YP_006588913.1	K02517
YP_006588914.1	K03558
YP_006588915.1	K03272
YP_006588916.1	K02858
YP_006588917.1	K01810
YP_006588918.1	K04079
YP_006588919.1	K00939
YP_006588920.1	K01951
YP_006588921.1	K06179
YP_006588922.1	K01881
YP_006588923.1	K02837
YP_006588924.1
YP_006588925.1	K00833
YP_006588926.1	K01866
YP_006588927.1	K00275
YP_006588928.1	K07264
YP_006588929.1	K13014
YP_006588930.1	K10011
YP_006588931.1	K10012
YP_006588932.1
YP_006588933.1	K12984
YP_006588934.1	K02527
YP_006588935.1	K02844
YP_006588936.1	K02344
YP_006588937.1	K03270
YP_006588938.1	K11719
YP_006588939.1	K09774
YP_006588940.1	K06861
YP_006588941.1	K00997
YP_006588942.1	K03474
YP_006588943.1	K00278
YP_006588944.1	K03554
YP_006588945.1
YP_006588946.1	K09802
YP_006588947.1	K02426
YP_006588948.1	K11717
YP_006588949.1	K09015
YP_006588950.1	K09013
YP_006588951.1	K09014
YP_006588952.1	K05997
YP_006588953.1	K07091
YP_006588954.1	K11720
YP_006588955.1	K02784
YP_006588956.1	K08483
YP_006588957.1
YP_006588958.1	K06131
YP_006588959.1	K01916
YP_006588960.1	K03218
YP_006588961.1	K12573
YP_006588962.1	K01939
YP_006588963.1	K04087
YP_006588964.1	K04088
YP_006588965.1	K03666
YP_006588966.1	K00791
YP_006588967.1	K03572
YP_006588968.1	K01448
YP_006588969.1	K06925
YP_006588970.1
YP_006588971.1
YP_006588972.1
YP_006588973.1
YP_006588974.1	K05368
YP_006588975.1	K03106
YP_006588976.1	K02959
YP_006588977.1	K02860
YP_006588978.1	K00554
YP_006588979.1	K02884
YP_006588980.1	K00287
YP_006588981.1	K09760
YP_006588982.1
YP_006588983.1	K00382
YP_006588984.1	K00627
YP_006588985.1	K00163
YP_006588986.1	K01497
YP_006588987.1	K01096
YP_006588988.1
YP_006588989.1	K09888
YP_006588990.1	K00528
YP_006588991.1	K04085
YP_006588992.1	K02897
YP_006588993.1	K07146
YP_006588994.1	K00873
YP_006588995.1
YP_006588996.1	K00647
YP_006588997.1	K07751
YP_006588998.1	K03885
YP_006588999.1	K07140
YP_006589000.1	K00927
YP_006589001.1	K01624
YP_006589002.1	K00998
YP_006589003.1	K01869
YP_006589004.1	K03643
YP_006589005.1	K02340
YP_006589006.1	K00969
YP_006589007.1	K05515
YP_006589008.1	K05837
YP_006589009.1	K02469
YP_006589010.1	K02879
YP_006589011.1	K03040
YP_006589012.1	K02986
YP_006589013.1	K02948
YP_006589014.1	K02952
YP_006589015.1	K02919
YP_006589016.1	K03076
YP_006589017.1	K02876
YP_006589018.1	K02907
YP_006589019.1	K02988
YP_006589020.1	K02881
YP_006589021.1	K02933
YP_006589022.1	K02994
YP_006589023.1	K02954
YP_006589024.1	K02931
YP_006589025.1	K02895
YP_006589026.1	K02874
YP_006589027.1	K02961
YP_006589028.1
YP_006589029.1	K02878
YP_006589030.1	K02982
YP_006589031.1	K02890
YP_006589032.1	K02965
YP_006589033.1	K02886
YP_006589034.1	K02892
YP_006589035.1	K02926
YP_006589036.1	K02906
YP_006589037.1	K02946
YP_006589038.1	K03628
YP_006589039.1	K02805
YP_006589040.1	K07056
YP_006589041.1	K02914
YP_006589042.1	K03536
YP_006589043.1	K08998
YP_006589044.1	K03217
YP_006589045.1	K03650
