NP_878316.1	K03495
NP_878317.1	K02108
NP_878318.1	K02110
NP_878319.1	K02109
NP_878320.1	K02113
NP_878321.1	K02111
NP_878322.1	K02115
NP_878323.1	K02112
NP_878324.1	K02114
NP_878325.1	K04042
NP_878326.1	K03650
NP_878327.1	K03217
NP_878328.1	K08998
NP_878329.1	K03536
NP_878330.1	K02914
NP_878331.1	K02338
NP_878332.1	K02470
NP_878333.1	K04080
NP_878334.1
NP_878335.1	K01878
NP_878336.1	K01879
NP_878337.1	K04564
NP_878338.1	K01414
NP_878339.1	K16322
NP_878340.1	K03179
NP_878341.1	K09823
NP_878342.1	K02314
NP_878343.1	K03111
NP_878344.1	K03316
NP_878345.1	K11102
NP_878346.1	K09022
NP_878347.1	K00611
NP_878348.1	K01873
NP_878349.1	K02339
NP_878350.1	K01255
NP_878351.1	K07091
NP_878352.1	K11720
NP_878353.1
NP_878354.1	K02074
NP_878355.1	K02075
NP_878356.1	K06861
NP_878357.1	K09774
NP_878358.1	K11719
NP_878359.1
NP_878360.1	K00790
NP_878361.1	K04772
NP_878362.1	K09908
NP_878363.1	K02871
NP_878364.1	K02996
NP_878365.1
NP_878366.1	K07056
NP_878367.1
NP_878368.1	K03086
NP_878369.1	K02316
NP_878370.1	K02970
NP_878371.1	K01409
NP_878372.1	K08591
NP_878373.1	K01633
NP_878374.1	K00974
NP_878375.1	K03272
NP_878376.1	K09806
NP_878377.1	K02858
NP_878378.1	K00655
NP_878379.1	K01760
NP_878380.1	K03926
NP_878381.1	K04078
NP_878382.1	K04077
NP_878383.1	K02356
NP_878384.1	K05802
NP_878385.1	K01613
NP_878386.1	K13288
NP_878387.1	K06925
NP_878388.1	K01448
NP_878389.1	K00791
NP_878390.1	K03665
NP_878391.1	K04088
NP_878392.1	K04087
NP_878393.1	K01939
NP_878394.1	K03218
NP_878395.1	K02990
NP_878396.1	K02963
NP_878397.1	K02939
NP_878398.1	K01082
NP_878399.1	K09800
NP_878400.1	K01507
NP_878401.1	K02523
NP_878402.1	K02888
NP_878403.1	K02899
NP_878404.1	K03979
NP_878405.1	K03624
NP_878406.1	K02427
NP_878407.1	K03798
NP_878408.1	K00796
NP_878409.1	K03431
NP_878410.1	K02600
NP_878411.1	K02519
NP_878412.1	K02834
NP_878413.1	K03177
NP_878414.1	K02956
NP_878415.1	K00962
NP_878416.1	K05592
NP_878417.1	K02344
NP_878418.1	K12524
NP_878419.1	K00872
NP_878420.1	K01733
NP_878421.1	K04043
NP_878422.1	K03686
NP_878423.1	K02968
NP_878424.1	K11753
NP_878425.1	K01870
NP_878426.1	K03101
NP_878427.1	K00215
NP_878428.1	K01956
NP_878429.1	K01955
NP_878430.1	K00287
NP_878431.1	K01525
NP_878432.1	K02528
NP_878433.1	K00097
