YP_006884188.1	K03501
YP_006884189.1	K02968
YP_006884190.1	K02871
YP_006884191.1	K02996
YP_006884192.1	K15724
YP_006884193.1	K01687
YP_006884194.1	K14170
YP_006884195.1	K00800
YP_006884196.1	K02945
YP_006884197.1
YP_006884198.1	K02884
YP_006884199.1	K00297
YP_006884200.1
YP_006884201.1	K04077
YP_006884202.1	K04078
YP_006884203.1	K02337
YP_006884204.1	K01652
YP_006884205.1	K00053
YP_006884206.1	K01649
YP_006884207.1	K02956
YP_006884208.1	K02899
YP_006884209.1	K02342
YP_006884210.1	K02427
YP_006884211.1	K02909
YP_006884212.1	K01733
YP_006884213.1	K00003
YP_006884214.1	K02314
YP_006884215.1	K02939
YP_006884216.1	K02963
YP_006884217.1	K02990
YP_006884218.1	K02519
YP_006884219.1	K02887
YP_006884220.1	K02916
YP_006884221.1	K02520
YP_006884222.1	K01736
YP_006884223.1	K02967
YP_006884224.1	K00674
YP_006884225.1	K00928
YP_006884226.1	K00766
YP_006884227.1	K02902
YP_006884228.1	K02913
YP_006884229.1	K03704
YP_006884230.1	K01714
YP_006884231.1	K04755
YP_006884232.1	K04488
YP_006884233.1	K04487
YP_006884234.1	K03977
YP_006884235.1	K06941
YP_006884236.1	K02343
YP_006884237.1	K03600
YP_006884238.1	K11755
YP_006884239.1	K02500
YP_006884240.1	K01814
YP_006884241.1	K02501
YP_006884242.1	K01693
YP_006884243.1	K00765
YP_006884244.1	K01735
YP_006884245.1	K00891
YP_006884246.1	K02879
YP_006884247.1	K03040
YP_006884248.1	K02986
YP_006884249.1	K02948
YP_006884250.1	K02952
YP_006884251.1	K02919
YP_006884252.1	K02518
YP_006884253.1	K02876
YP_006884254.1	K02907
YP_006884255.1	K02988
YP_006884256.1	K02881
YP_006884257.1	K02933
YP_006884258.1	K02994
YP_006884259.1	K02954
YP_006884260.1	K02931
YP_006884261.1	K02874
YP_006884262.1	K02961
YP_006884263.1	K02878
YP_006884264.1	K02982
YP_006884265.1	K02890
YP_006884266.1	K02965
YP_006884267.1	K02886
YP_006884268.1
YP_006884269.1	K02926
YP_006884270.1	K02906
YP_006884271.1	K02946
YP_006884272.1	K02358
YP_006884273.1	K02355
YP_006884274.1	K02992
YP_006884275.1	K02950
YP_006884276.1	K03046
YP_006884277.1	K03043
YP_006884278.1	K02935
YP_006884279.1	K02864
YP_006884280.1	K02867
YP_006884281.1	K02956
YP_006884282.1	K00948
YP_006884283.1	K02914
YP_006884284.1	K02338
YP_006884285.1	K00616
YP_006884286.1	K00024
YP_006884287.1	K01703
YP_006884288.1	K01704
YP_006884289.1	K00052
YP_006884290.1
YP_006884291.1	K02970
YP_006884292.1	K01409
YP_006884293.1	K02204
YP_006884294.1	K03544
YP_006884295.1	K01358
YP_006884296.1	K01940
YP_006884297.1	K02911
YP_006884298.1	K05524
YP_006884299.1	K03686
YP_006884300.1	K04043
YP_006884301.1	K03687
YP_006884302.1	K01626
YP_006884303.1	K00549
