NP_871004.1	K03495
NP_871005.1	K02108
NP_871006.1	K02110
NP_871007.1	K02109
NP_871008.1	K02113
NP_871009.1	K02111
NP_871010.1	K02115
NP_871011.1	K02112
NP_871012.1	K02114
NP_871013.1	K04042
NP_871014.1	K00820
NP_871015.1	K03650
NP_871016.1	K03217
NP_871017.1	K02914
NP_871018.1	K02338
NP_871019.1	K02470
NP_871020.1	K04744
NP_871021.1	K03771
NP_871022.1	K00097
NP_871023.1	K02528
NP_871024.1	K01525
NP_871025.1	K00287
NP_871026.1	K01955
NP_871027.1	K01956
NP_871028.1	K00215
NP_871029.1
NP_871030.1	K02950
NP_871031.1	K02992
NP_871032.1	K02355
NP_871033.1	K02403
NP_871034.1	K02402
NP_871035.1	K02556
NP_871036.1	K02557
NP_871037.1	K02401
NP_871038.1	K02400
NP_871039.1	K02399
NP_871040.1	K02386
NP_871041.1	K02387
NP_871042.1	K02388
NP_871043.1	K02389
NP_871044.1	K02390
NP_871045.1	K02391
NP_871046.1	K02392
NP_871047.1	K02393
NP_871048.1	K02394
NP_871049.1	K02396
NP_871050.1	K02397
NP_871051.1	K02421
NP_871052.1	K02420
NP_871053.1	K02419
NP_871054.1	K02418
NP_871055.1	K02417
NP_871056.1	K02416
NP_871057.1	K02415
NP_871058.1	K02414
NP_871059.1	K02413
NP_871060.1	K02412
NP_871061.1	K02411
NP_871062.1	K02410
NP_871063.1	K02409
NP_871064.1	K02408
NP_871065.1	K02422
NP_871066.1	K02407
NP_871067.1	K02406
NP_871068.1	K07146
NP_871069.1	K03669
NP_871070.1	K01069
NP_871071.1	K03469
NP_871072.1	K02342
NP_871073.1	K08316
NP_871074.1	K03110
NP_871075.1	K03089
NP_871076.1	K01845
NP_871077.1	K15724
NP_871078.1	K08306
NP_871079.1
NP_871080.1	K02495
NP_871081.1	K02428
NP_871082.1	K00286
NP_871083.1	K06997
NP_871084.1	K01868
NP_871085.1	K02520
NP_871086.1	K02916
NP_871087.1	K02887
NP_871088.1	K01889
NP_871089.1	K01890
NP_871090.1	K01465
NP_871091.1	K08300
NP_871092.1	K02911
NP_871093.1	K00645
NP_871094.1	K00059
NP_871095.1	K02078
NP_871096.1	K07082
NP_871097.1	K00943
NP_871098.1	K02341
NP_871099.1	K03424
NP_871100.1	K02503
NP_871101.1	K03885
NP_871102.1	K03723
NP_871103.1	K09808
NP_871104.1	K09810
NP_871105.1	K09808
NP_871106.1	K01756
NP_871107.1	K00566
NP_871108.1	K03799
NP_871109.1
NP_871110.1	K04773
NP_871111.1	K00134
