YP_007660511.1	K04043
YP_007660512.1	K03686
YP_007660513.1	K00962
YP_007660514.1	K02956
YP_007660515.1	K02834
YP_007660516.1	K02519
YP_007660517.1	K02600
YP_007660518.1	K03798
YP_007660519.1	K03624
YP_007660520.1	K01955
YP_007660521.1	K01956
YP_007660522.1	K00215
YP_007660523.1	K02221
YP_007660524.1	K01866
YP_007660525.1	K01439
YP_007660526.1	K00674
YP_007660527.1	K01265
YP_007660528.1	K02967
YP_007660529.1	K02357
YP_007660530.1	K02838
YP_007660531.1	K02337
YP_007660532.1	K04075
YP_007660533.1	K03628
YP_007660534.1	K01626
YP_007660535.1	K00549
YP_007660536.1	K03667
YP_007660537.1	K01419
YP_007660538.1	K02909
YP_007660539.1	K00891
YP_007660540.1	K01735
YP_007660541.1
YP_007660542.1	K08300
YP_007660543.1	K06179
YP_007660544.1	K02078
YP_007660545.1	K02341
YP_007660546.1
YP_007660547.1	K01649
YP_007660548.1	K03704
YP_007660549.1	K01736
YP_007660550.1	K01703
YP_007660551.1	K01704
YP_007660552.1	K00052
YP_007660553.1	K00133
YP_007660554.1	K06173
YP_007660555.1	K01817
YP_007660556.1	K06895
YP_007660557.1	K01875
YP_007660558.1	K11179
YP_007660559.1	K07400
YP_007660560.1	K02426
YP_007660561.1	K01496
YP_007660562.1	K04774
YP_007660563.1	K02342
YP_007660564.1	K01890
YP_007660565.1	K01889
YP_007660566.1	K02887
YP_007660567.1	K02916
YP_007660568.1	K02520
YP_007660569.1	K01881
YP_007660570.1	K03595
YP_007660571.1	K03100
YP_007660572.1	K03596
YP_007660573.1	K00821
YP_007660574.1	K01873
YP_007660575.1
YP_007660576.1	K01695
YP_007660577.1	K01696
YP_007660578.1	K07042
YP_007660579.1	K01869
YP_007660580.1	K02340
YP_007660581.1	K00382
YP_007660582.1	K00658
YP_007660583.1	K00164
YP_007660584.1	K01885
YP_007660585.1	K05592
YP_007660586.1	K01867
YP_007660587.1	K02913
YP_007660588.1	K02902
YP_007660589.1	K03089
YP_007660590.1	K08316
YP_007660591.1	K04567
YP_007660592.1	K02836
YP_007660593.1	K01733
YP_007660594.1	K00003
YP_007660595.1	K02884
YP_007660596.1	K02860
YP_007660597.1	K02959
YP_007660598.1	K00053
YP_007660599.1	K01653
YP_007660600.1	K01652
YP_007660601.1	K05595
YP_007660602.1	K03695
YP_007660603.1	K06180
YP_007660604.1	K03101
YP_007660605.1	K01870
YP_007660606.1	K02968
YP_007660607.1	K03979
YP_007660608.1	K02899
YP_007660609.1	K02888
YP_007660610.1	K03111
YP_007660611.1	K02879
YP_007660612.1	K03040
YP_007660613.1	K02986
YP_007660614.1	K02948
YP_007660615.1	K02952
YP_007660616.1	K02919
YP_007660617.1	K03076
YP_007660618.1	K02876
YP_007660619.1	K02988
YP_007660620.1	K02881
YP_007660621.1	K02933
YP_007660622.1	K02994
YP_007660623.1	K02954
YP_007660624.1	K02931
YP_007660625.1	K02895
YP_007660626.1	K02874
YP_007660627.1	K02961
YP_007660628.1	K02904
YP_007660629.1	K02878
YP_007660630.1	K02982
YP_007660631.1	K02890
YP_007660632.1	K02965
YP_007660633.1	K02886
YP_007660634.1	K02892
YP_007660635.1	K02926
YP_007660636.1	K02906
YP_007660637.1	K02946
YP_007660638.1	K02358
YP_007660639.1	K02355
YP_007660640.1	K02992
YP_007660641.1	K02950
YP_007660642.1	K03046
YP_007660643.1	K03043
YP_007660644.1	K02935
YP_007660645.1	K02864
YP_007660646.1	K02867
YP_007660647.1	K02601
YP_007660648.1	K03073
YP_007660649.1	K02301
YP_007660650.1	K02300
YP_007660651.1	K02299
YP_007660652.1	K02298
YP_007660653.1	K02297
YP_007660654.1	K03086
YP_007660655.1	K02970
YP_007660656.1	K01409
YP_007660657.1	K02528
YP_007660658.1	K02314
YP_007660659.1	K02939
YP_007660660.1	K02963
YP_007660661.1	K02990
YP_007660662.1
YP_007660663.1	K00627
YP_007660664.1	K00163
YP_007660665.1	K01714
YP_007660666.1	K02343
YP_007660667.1	K00033
YP_007660668.1	K09686
YP_007660669.1	K09687
YP_007660670.1	K02518
YP_007660671.1	K00566
YP_007660672.1	K11717
YP_007660673.1	K09015
YP_007660674.1	K09013
YP_007660675.1	K09014
YP_007660676.1	K02502
YP_007660677.1
YP_007660678.1	K00791
YP_007660679.1	K03572
YP_007660680.1
YP_007660681.1	K01687
YP_007660682.1	K01338
YP_007660683.1	K01892
YP_007660684.1	K03977
YP_007660685.1	K00928
YP_007660686.1	K01872
YP_007660687.1	K03555
YP_007660688.1	K03644
YP_007660689.1	K03801
YP_007660690.1
YP_007660691.1	K01159
YP_007660692.1	K01876
YP_007660693.1	K06213
YP_007660694.1	K06131
YP_007660695.1	K03544
YP_007660696.1	K01358
YP_007660697.1	K01883
YP_007660698.1	K01886
YP_007660699.1	K00014
YP_007660700.1	K01462
YP_007660701.1	K00845
YP_007660702.1	K00036
YP_007660703.1	K08137
YP_007660704.1	K00297
YP_007660705.1	K11102
YP_007660706.1	K03786
YP_007660707.1	K03438
YP_007660708.1	K02996
YP_007660709.1	K02871
YP_007660710.1	K00765
YP_007660711.1	K02435
YP_007660712.1	K02433
YP_007660713.1	K02434
YP_007660714.1	K10027
YP_007660715.1	K02291
YP_007660716.1	K06443
YP_007660717.1	K02835
YP_007660718.1	K00948
YP_007660719.1	K02897
YP_007660720.1	K01609
YP_007660721.1	K00766
YP_007660722.1	K01658
YP_007660723.1	K01657
YP_007660724.1	K00761
YP_007660725.1	K03593
YP_007660726.1	K07390
YP_007660727.1	K01940
YP_007660728.1	K04078
YP_007660729.1	K04077
YP_007660730.1	K02945
YP_007660731.1	K00800
YP_007660732.1	K14170
YP_007660733.1	K02469
YP_007660734.1	K03070
YP_007660735.1	K00611
YP_007660736.1	K02114
YP_007660737.1	K02112
YP_007660738.1	K02115
YP_007660739.1	K02111
YP_007660740.1	K02113
YP_007660741.1	K02109
YP_007660742.1	K02110
YP_007660743.1	K02108
YP_007660744.1	K03495
YP_007660745.1	K03650
