YP_687595.1	K12524
YP_687596.1	K00872
YP_687597.1	K01733
YP_687598.1
YP_687599.1	K09861
YP_687600.2	K00616
YP_687601.1	K03831
YP_687602.1	K07034
YP_687603.1
YP_687604.1
YP_687605.1	K04043
YP_687606.1	K03686
YP_687607.1	K03313
YP_687608.1	K03717
YP_687609.1	K07480
YP_687610.1
YP_687611.1	K02968
YP_687612.1	K11753
YP_687613.1	K01870
YP_687614.1	K03101
YP_687615.1	K03774
YP_687616.1	K03527
YP_687617.1	K12700
YP_687618.2	K00215
YP_687619.1	K01956
YP_687620.1	K01955
YP_687621.1	K08277
YP_687622.1	K08279
YP_687623.1	K08299
YP_687624.1	K02182
YP_687625.1	K08298
YP_687626.1	K08297
YP_687627.1	K05245
YP_687628.1	K03521
YP_687629.1	K00313
YP_687630.1	K03855
YP_687631.1	K08368
YP_687632.1	K11746
YP_687633.1	K11745
YP_687634.1	K00287
YP_687635.1	K01525
YP_687636.1	K06195
YP_687637.1	K02528
YP_687638.1	K00097
YP_687639.1	K03771
YP_687640.1	K04744
YP_687641.1	K05801
YP_687642.1	K06177
YP_687643.1	K03580
YP_687644.1	K02336
YP_687645.1	K01786
YP_687646.1	K01804
YP_687647.1	K00853
YP_687648.1	K02099
YP_687649.1
YP_687650.1	K02062
YP_687651.1	K02063
YP_687652.1	K02064
YP_687653.1	K11925
YP_687654.1	K01704
YP_687655.1	K01703
YP_687656.2	K00052
YP_687657.1	K01649
YP_687658.1	K05798
YP_687659.2	K01652
YP_687660.1	K01653
YP_687662.1	K03435
YP_687663.1
YP_687664.1	K07480
YP_687665.1	K03925
YP_687666.1	K03438
YP_687667.1	K03586
YP_687668.1	K03587
YP_687669.1	K01928
YP_687670.1	K01929
YP_687671.1	K01000
YP_687672.1	K01925
YP_687673.1	K03588
YP_687674.1	K02563
YP_687675.1	K01924
YP_687676.1	K01921
YP_687677.1	K03589
YP_687678.1	K03590
YP_687679.1	K03531
YP_687680.1	K02535
YP_687681.1	K13301
YP_687682.1	K03070
YP_687683.1	K03574
YP_687684.1	K09862
YP_687685.1
YP_687686.1	K00859
YP_687687.1	K00364
YP_687688.1	K02505
YP_687689.1	K02682
YP_687690.1	K00767
YP_687691.1	K03806
YP_687692.1	K03807
YP_687693.1	K11734
YP_687694.1	K05799
YP_687695.1	K00163
YP_687696.1	K00627
YP_687697.1	K00382
YP_687698.1
YP_687699.1	K01682
YP_687700.1	K09910
YP_687701.1	K01611
YP_687702.1	K00797
YP_687703.1
YP_687704.1	K14588
YP_687705.1	K00117
YP_687706.1	K00760
YP_687707.1	K01673
YP_687708.1	K09687
YP_687709.1	K09686
YP_687710.1
YP_687711.1	K01579
YP_687712.1
YP_687713.1	K01918
YP_687714.1	K00606
YP_687715.1
YP_687716.1	K07480
YP_687717.1	K00950
YP_687718.1	K00970
YP_687719.2	K01894
YP_687720.1	K06204
YP_687721.1	K06206
YP_687722.1	K01975
YP_687723.1	K03579
YP_687724.1	K05365
YP_687725.1	K02014
YP_687726.1	K02013
YP_687727.1	K02016
YP_687728.1	K02015
YP_687729.1	K01845
YP_687730.1	K03281
YP_687731.1	K15724
YP_687732.1
YP_687733.1	K06858
YP_687734.1	K01243
YP_687735.1	K01129
YP_687736.1	K04771
YP_687737.1
YP_687738.1	K00674
YP_687739.1	K00990
YP_687740.2	K01265
YP_687741.2	K02967
YP_687742.1	K02357
YP_687743.1	K09903
YP_687744.1	K02838
YP_687745.1	K00099
YP_687746.1	K00806
YP_687747.1	K00981
YP_687748.1	K11749
YP_687749.1	K07277
YP_687750.1	K06142
YP_687751.1	K02536
YP_687752.1	K02372
YP_687753.1	K00677
YP_687754.1	K00748
YP_687755.1	K03470
YP_687756.1	K02337
YP_687757.1	K01962
YP_687758.1	K01582
YP_687759.1	K08234
YP_687760.1
YP_687761.1
YP_687762.1
YP_687763.1	K15034
YP_687764.1	K06079
YP_687765.1
YP_687766.2	K01881
YP_687767.1
YP_687768.1	K06080
YP_687769.1	K02073
YP_687770.1	K02072
YP_687771.1	K02071
YP_687772.1	K03273
YP_687773.1	K06222
YP_687774.1
YP_687775.1
YP_687776.1
YP_687777.1
YP_687778.1	K08307
YP_687779.1	K01069
YP_687780.1
YP_687781.1	K03469
YP_687782.1	K02342
YP_687783.1	K11902
YP_687784.1	K11895
YP_687785.1	K11895
YP_687786.1	K11897
YP_687787.1	K11898
YP_687788.1
YP_687789.1
YP_687790.1
YP_687791.1
YP_687792.1	K14744
YP_687793.1	K01185
YP_687794.1
YP_687795.1
YP_687796.1
YP_687797.1
YP_687798.1
YP_687799.1
YP_687800.1
YP_687801.1
YP_687802.1
YP_687803.1
YP_687804.1
YP_687805.1
YP_687806.1
YP_687807.1
YP_687808.1
YP_687809.1
YP_687810.1
YP_687811.1
YP_687812.1
YP_687813.1
YP_687814.1
YP_687815.1
YP_687816.1
YP_687817.1
YP_687818.1
YP_687819.1	K06904
YP_687820.1
YP_687821.1
YP_687822.1
YP_687823.1
YP_687824.1
YP_687825.1
YP_687826.1
YP_687827.1
YP_687828.1
YP_687829.1
YP_687830.1
YP_687831.1
YP_687832.1
YP_687833.1
YP_687834.1
YP_687835.1
YP_687836.1
YP_687837.1
YP_687838.1
YP_687839.1
YP_687840.1
YP_687841.1
YP_687842.1
YP_687843.1
YP_687844.1
YP_687845.1
YP_687846.1	K07455
YP_687847.1
