YP_005619771.1	K03495
YP_005619772.1	K02108
YP_005619773.1	K02110
YP_005619774.1	K02109
YP_005619775.1	K02113
YP_005619776.1	K02111
YP_005619777.1	K02115
YP_005619778.1	K02112
YP_005619779.1	K02114
YP_005619780.1	K02470
YP_005619781.1	K02338
YP_005619782.1	K02313
YP_005619783.1	K02914
YP_005619784.1	K03536
YP_005619785.1	K03217
YP_005619786.1	K03650
YP_005619787.1	K04078
YP_005619788.1	K04077
YP_005619789.1	K02356
YP_005619790.1	K02315
YP_005619791.1	K02317
YP_005619792.1	K08316
YP_005619793.1	K03110
YP_005619794.1	K03089
YP_005619795.1	K00820
YP_005619796.1	K04042
YP_005619797.1	K07024
YP_005619798.1	K00549
YP_005619799.1	K00602
YP_005619800.1	K05787
YP_005619801.1	K03046
YP_005619802.1	K03043
YP_005619803.1	K02935
YP_005619804.1	K02864
YP_005619805.1	K02863
YP_005619806.1	K02867
YP_005619807.1	K02601
YP_005619808.1	K03073
YP_005619809.1	K00075
YP_005619810.1	K00297
YP_005619811.1	K01940
YP_005619812.1	K01755
YP_005619813.1
YP_005619814.1	K03071
YP_005619815.1	K00640
YP_005619816.1	K03086
YP_005619817.1	K02316
YP_005619818.1	K02970
YP_005619819.1	K01409
YP_005619820.1	K02858
YP_005619821.1	K03272
YP_005619822.1	K00974
YP_005619823.1	K06153
YP_005619824.1	K02777
YP_005619825.1	K08483
YP_005619826.1	K02784
YP_005619827.1	K01738
YP_005619828.1	K01972
YP_005619829.1	K01885
YP_005619830.1	K02408
YP_005619831.1	K02409
YP_005619832.1	K02410
YP_005619833.1	K02411
YP_005619834.1	K02412
YP_005619835.1	K02413
YP_005619836.1
YP_005619837.1	K02416
YP_005619838.1	K02417
YP_005619839.1	K02419
YP_005619840.1	K02420
YP_005619841.1	K02421
YP_005619842.1	K02913
YP_005619843.1	K02902
YP_005619844.1	K09800
YP_005619845.1	K01507
YP_005619846.1	K03592
YP_005619847.1	K07056
YP_005619848.1	K00647
YP_005619849.1	K00616
YP_005619850.1	K00615
YP_005619851.1	K01439
YP_005619852.1	K01714
YP_005619853.1	K01736
YP_005619854.1
YP_005619855.1	K00765
YP_005619856.1	K00013
YP_005619857.1	K00817
YP_005619858.1	K01089
YP_005619859.1	K02501
YP_005619860.1	K01814
YP_005619861.1	K02500
YP_005619862.1	K11755
YP_005619863.1	K00033
YP_005619864.1	K01494
YP_005619865.1	K01874
YP_005619866.1	K04075
YP_005619867.1	K00793
YP_005619868.1	K10773
YP_005619869.1	K04066
YP_005619870.1	K01866
YP_005619871.1	K05997
YP_005619872.1
YP_005619873.1	K01626
YP_005619874.1	K01868
YP_005619875.1	K02520
YP_005619876.1	K02916
YP_005619877.1	K02887
YP_005619878.1	K01889
YP_005619879.1	K01890
YP_005619880.1	K04764
YP_005619881.1	K00773
YP_005619882.1	K03210
YP_005619883.1	K01879
YP_005619884.1	K01878
YP_005619885.1	K01151
YP_005619886.1	K02897
YP_005619887.1
YP_005619888.1	K03771
YP_005619889.1	K02528
YP_005619890.1	K01525
YP_005619891.1	K00287
YP_005619892.1	K01955
YP_005619893.1	K01956
YP_005619894.1	K00215
YP_005619895.1	K03527
YP_005619896.1	K03101
YP_005619897.1	K01870
YP_005619898.1	K02968
YP_005619899.1	K03686
YP_005619900.1	K04043
YP_005619901.1	K00330
YP_005619902.1	K00331
YP_005619903.1	K13378
YP_005619904.1	K00334
YP_005619905.1	K00335
YP_005619906.1	K00336
YP_005619907.1	K00337
YP_005619908.1	K00338
YP_005619909.1	K00339
YP_005619910.1	K00340
YP_005619911.1	K00341
YP_005619912.1	K00342
YP_005619913.1	K00343
YP_005619914.1	K11754
YP_005619915.1	K03558
YP_005619916.1	K00948
YP_005619917.1	K00919
YP_005619918.1	K02835
YP_005619919.1	K02493
YP_005619920.1
YP_005619921.1	K01916
YP_005619922.1	K00925
YP_005619923.1	K13788
YP_005619924.1	K11107
YP_005619925.1	K00526
YP_005619926.1	K00525
YP_005619927.1	K02469
YP_005619928.1	K09945
YP_005619929.1	K03386
YP_005619930.1	K03648
YP_005619931.1	K03687
YP_005619932.1	K00858
YP_005619933.1	K07390
YP_005619934.1	K03683
YP_005619935.1	K04564
YP_005619936.1	K01056
YP_005619937.1	K06942
YP_005619938.1	K01733
YP_005619939.1	K00872
YP_005619940.1	K12524
YP_005619941.1	K00760
YP_005619942.1	K06204
YP_005619943.1	K06173
YP_005619944.1	K05365
YP_005619945.1	K03070
YP_005619946.1	K00859
YP_005619947.1	K00364
YP_005619948.1	K00163
YP_005619949.1	K00627
YP_005619950.1	K00382
YP_005619951.1	K01243
YP_005619952.1	K15724
YP_005619953.1	K03531
YP_005619954.1	K03590
YP_005619955.1	K01921
YP_005619956.1	K01924
YP_005619957.1	K02563
YP_005619958.1	K03588
YP_005619959.1	K01925
YP_005619960.1	K01000
YP_005619961.1	K01928
YP_005619962.1	K03587
YP_005619963.1	K03586
YP_005619964.1	K03438
YP_005619965.1	K01653
YP_005619966.1	K01652
YP_005619967.1	K04771
YP_005619968.1	K00674
YP_005619969.1	K01265
YP_005619970.1	K02967
YP_005619971.1	K02357
YP_005619972.1	K09903
YP_005619973.1	K02838
YP_005619974.1	K00099
YP_005619975.1	K00806
YP_005619976.1	K07277
YP_005619977.1	K02372
YP_005619978.1	K02337
YP_005619979.1	K01881
YP_005619980.1	K02401
YP_005619981.1	K02400
YP_005619982.1	K01887
YP_005619983.1	K01069
YP_005619984.1	K03469
YP_005619985.1	K02342
YP_005619986.1	K03271
YP_005619987.1	K00769
YP_005619988.1	K03687
YP_005619989.1	K03664
YP_005619990.1	K11991
YP_005619991.1	K00997
YP_005619992.1	K03595
YP_005619993.1	K03685
YP_005619994.1	K03100
YP_005619995.1	K03596
YP_005619996.1	K00566
YP_005619997.1	K01756
YP_005619998.1	K08308
YP_005619999.1	K00208
YP_005620000.1	K01147
YP_005620001.1
YP_005620002.1	K03801
YP_005620003.1	K03644
YP_005620004.1	K01591
YP_005620005.1	K01497
YP_005620006.1	K06131
YP_005620007.1	K10806
YP_005620008.1	K06190
YP_005620009.1
YP_005620010.1	K01695
YP_005620011.1	K01696
YP_005620012.1	K13498
YP_005620013.1	K00766
YP_005620014.1	K07790
YP_005620015.1	K06178
YP_005620016.1	K04774
YP_005620017.1	K03168
YP_005620018.1	K01092
YP_005620019.1	K06941
YP_005620020.1	K03526
YP_005620021.1	K01892
YP_005620022.1	K00600
YP_005620023.1	K01935
YP_005620024.1	K01012
YP_005620025.1	K00833
YP_005620026.1	K07404
YP_005620027.1	K03723
YP_005620028.1	K09808
YP_005620029.1	K09810
YP_005620030.1	K00134
YP_005620031.1	K03839
YP_005620032.1	K01669
YP_005620033.1
YP_005620034.1	K00164
YP_005620035.1	K00658
YP_005620036.1	K01834
YP_005620037.1	K00850
YP_005620038.1	K02440
YP_005620039.1	K01803
YP_005620040.1	K05788
YP_005620041.1	K02945
YP_005620042.1	K00800
YP_005620043.1	K00831
YP_005620044.1	K01875
YP_005620045.1	K00384
YP_005620046.1	K02518
YP_005620047.1	K01876
YP_005620048.1	K09816
YP_005620049.1	K09817
YP_005620050.1	K00873
YP_005620051.1	K00036
YP_005620052.1	K03799
YP_005620053.1	K03704
YP_005620054.1
YP_005620055.1	K03608
YP_005620056.1	K03609
YP_005620057.1	K03610
YP_005620058.1	K00564
YP_005620059.1	K03286
YP_005620060.1	K03980
YP_005620061.1	K02399
YP_005620062.1	K02386
YP_005620063.1	K02387
YP_005620064.1	K02388
YP_005620065.1	K02389
YP_005620066.1	K02390
YP_005620067.1	K02391
YP_005620068.1	K02392
YP_005620069.1	K02393
YP_005620070.1	K02394
YP_005620071.1	K02395
YP_005620072.1	K02396
YP_005620073.1	K08300
YP_005620074.1	K06179
YP_005620075.1	K02911
YP_005620076.1	K00059
YP_005620077.1	K02078
YP_005620078.1	K00943
YP_005620079.1	K02341
YP_005620080.1	K03424
YP_005620081.1	K02779,K02778
YP_005620082.1	K02503
YP_005620083.1	K07337
YP_005620084.1	K09476
YP_005620085.1	K01893
YP_005620086.1	K00763
YP_005620087.1	K12297
YP_005620088.1	K15738
YP_005620089.1	K07146
YP_005620090.1	K01873
YP_005620091.1	K01255
YP_005620092.1	K00611
YP_005620093.1
YP_005620094.1	K05592
YP_005620095.1	K00962
YP_005620096.1	K02956
YP_005620097.1	K03177
YP_005620098.1	K02834
YP_005620099.1	K02519
YP_005620100.1	K02600
YP_005620101.1	K03075
YP_005620102.1	K03431
YP_005620103.1	K03798
YP_005620104.1	K02427
YP_005620105.1	K03624
YP_005620106.1
YP_005620107.1	K00790
YP_005620108.1	K02888
YP_005620109.1	K02899
YP_005620110.1	K03979
YP_005620111.1	K02996
YP_005620112.1	K02871
YP_005620113.1	K14170
YP_005620114.1	K03106
YP_005620115.1	K02959
YP_005620116.1	K02860
YP_005620117.1	K00554
YP_005620118.1	K02884
YP_005620119.1	K03568
YP_005620120.1	K03786
YP_005620121.1	K03557
YP_005620122.1	K06180
YP_005620123.1	K05807
YP_005620124.1	K01872
YP_005620125.1	K03563
YP_005620126.1	K01919
YP_005620127.1	K01150
YP_005620128.1	K09761
YP_005620129.1	K01807
YP_005620130.1	K01886
YP_005620131.1	K01937
YP_005620132.1	K01689
YP_005620133.1	K06194
YP_005620134.1	K01770
YP_005620135.1	K00991
YP_005620136.1	K00860
YP_005620137.1	K00956
YP_005620138.1	K00957
YP_005620139.1	K02302
YP_005620140.1	K00390
YP_005620141.1	K00381
YP_005620142.1	K00380
YP_005620143.1	K03673
YP_005620144.1	K02335
YP_005620145.1	K03978
YP_005620146.1	K06207
YP_005620147.1	K00942
YP_005620148.1	K06980
YP_005620149.1	K02836
YP_005620150.1	K04567
YP_005620151.1	K01586
YP_005620152.1	K13292
YP_005620153.1	K00560
YP_005620154.1	K06168
YP_005620155.1	K07042
YP_005620156.1	K06189
YP_005620157.1	K01869
YP_005620158.1	K02340
YP_005620159.1	K00969
YP_005620160.1	K04085
YP_005620161.1	K00133
YP_005620162.1
YP_005620163.1	K00927
YP_005620164.1	K01624
YP_005620165.1	K03442
YP_005620166.1	K03583
YP_005620167.1	K03582
YP_005620168.1	K03581
YP_005620169.1	K08304
YP_005620170.1	K00794
YP_005620171.1
YP_005620172.1
YP_005620173.1	K03625
YP_005620174.1	K01662
YP_005620175.1
YP_005620176.1	K11179
YP_005620177.1	K02301
YP_005620178.1	K02300
YP_005620179.1	K02299
YP_005620180.1	K02298
YP_005620181.1	K02297
YP_005620182.1	K03545
YP_005620183.1	K01358
YP_005620184.1	K03544
YP_005620185.1	K01338
YP_005620186.1	K03770
YP_005620187.1	K06147
YP_005620188.1
YP_005620189.1	K02343
YP_005620190.1
YP_005620191.1	K04079
YP_005620192.1	K00939
YP_005620193.1	K01491
YP_005620194.1	K01883
YP_005620195.1	K09158
YP_005620196.1	K03704
YP_005620197.1	K00014
YP_005620198.1	K07566
YP_005620199.1	K03747
YP_005620200.1	K01462
YP_005620201.1	K00604
YP_005620202.1	K02879
YP_005620203.1	K03040
YP_005620204.1	K02986
YP_005620205.1	K02948
YP_005620206.1	K02952
YP_005620207.1	K02919
YP_005620208.1	K03076
YP_005620209.1	K02876
YP_005620210.1	K02907
YP_005620211.1	K02988
YP_005620212.1	K02881
YP_005620213.1	K02933
YP_005620214.1	K02994
YP_005620215.1	K02954
YP_005620216.1	K02931
YP_005620217.1	K02895
YP_005620218.1	K02874
YP_005620219.1	K02961
YP_005620220.1	K02904
YP_005620221.1	K02878
YP_005620222.1	K02982
YP_005620223.1	K02890
YP_005620224.1	K02965
YP_005620225.1	K02886
YP_005620226.1	K02892
YP_005620227.1	K02926
YP_005620228.1	K02906
YP_005620229.1	K02946
YP_005620230.1	K02358
YP_005620231.1	K02355
YP_005620232.1	K02992
YP_005620233.1	K02950
YP_005620234.1	K07237
YP_005620235.1	K07236
YP_005620236.1	K07235
YP_005620237.1
YP_005620238.1	K06141
YP_005620239.1	K01867
YP_005620240.1	K01783
YP_005620241.1	K01735
YP_005620242.1	K00891
YP_005620243.1	K03784
YP_005620244.1	K01839
YP_005620245.1	K02837
YP_005620246.1	K07400
YP_005620247.1	K02170
YP_005620248.1	K03111
YP_005620249.1	K02314
YP_005620250.1	K01920
YP_005620251.1	K07447
YP_005620252.1	K02495
YP_005620253.1	K03439
YP_005620254.1	K03575
YP_005620255.1
YP_005620256.1	K01776
YP_005620257.1	K09802
YP_005620258.1	K00762
YP_005620259.1	K01520
YP_005620260.1	K01082
YP_005620261.1	K02939
YP_005620262.1	K02963
YP_005620263.1	K02990
YP_005620264.1	K12573
YP_005620265.1	K01939
YP_005620266.1	K04087
YP_005620267.1	K04088
YP_005620268.1	K00791
YP_005620269.1	K00009
YP_005620270.1	K02800,K02798,K02799
YP_005620271.1	K01810
YP_005620272.1	K13288
YP_005620273.1	K01448
YP_005620274.1	K02909
YP_005620275.1	K01419
YP_005620276.1	K03667
YP_005620277.1	K04080
YP_005620278.1	K00528
YP_005620279.1	K04568
YP_005620280.1	K00954
YP_005620281.1
YP_005620282.1	K15984
YP_005620283.1	K16322
YP_005620284.1	K08224
YP_005620285.1	K01778
YP_005620286.1	K06202
YP_005620287.1	K01749
YP_005620288.1	K03628
YP_005620289.1	K03671
YP_005620290.1	K03656
YP_005620291.1	K00053
YP_005620292.1	K01687
YP_005620293.1	K04487
YP_005620294.1	K04488
YP_005620295.1	K04082
YP_005620296.1	K04044
YP_005620297.1	K04755
YP_005620298.1	K03977
YP_005620299.1
