YP_005619202.1	K03495
YP_005619203.1	K02108
YP_005619204.1	K02110
YP_005619205.1	K02109
YP_005619206.1	K02113
YP_005619207.1	K02111
YP_005619208.1	K02115
YP_005619209.1	K02112
YP_005619210.1	K02114
YP_005619211.1	K02470
YP_005619212.1	K02338
YP_005619213.1	K02313
YP_005619214.1	K02914
YP_005619215.1	K03536
YP_005619216.1	K03217
YP_005619217.1	K03650
YP_005619218.1	K04078
YP_005619219.1	K04077
YP_005619220.1	K02356
YP_005619221.1	K02315
YP_005619222.1	K02317
YP_005619223.1	K08316
YP_005619224.1	K03110
YP_005619225.1	K03089
YP_005619226.1	K00820
YP_005619227.1	K04042
YP_005619228.1	K07024
YP_005619229.1	K03576
YP_005619230.1	K00549
YP_005619231.1	K00602
YP_005619232.1	K05787
YP_005619233.1	K03046
YP_005619234.1	K03043
YP_005619235.1	K02935
YP_005619236.1	K02864
YP_005619237.1	K02863
YP_005619238.1	K02867
YP_005619239.1	K02601
YP_005619240.1	K03073
YP_005619241.1	K00075
YP_005619242.1	K00297
YP_005619243.1	K01438
YP_005619244.1	K00145
YP_005619245.1	K00930
YP_005619246.1	K01940
YP_005619247.1	K01755
YP_005619248.1
YP_005619249.1	K03071
YP_005619250.1	K00640
YP_005619251.1	K03086
YP_005619252.1	K02316
YP_005619253.1	K02970
YP_005619254.1	K01409
YP_005619255.1	K02858
YP_005619256.1	K03272
YP_005619257.1	K00974
YP_005619258.1	K06153
YP_005619259.1	K02777
YP_005619260.1	K08483
YP_005619261.1	K02784
YP_005619262.1	K01738
YP_005619263.1	K01972
YP_005619264.1	K01885
YP_005619265.1	K02408
YP_005619266.1	K02409
YP_005619267.1	K02410
YP_005619268.1	K02411
YP_005619269.1	K02412
YP_005619270.1	K02413
YP_005619271.1	K02414
YP_005619272.1	K02416
YP_005619273.1	K02417
YP_005619274.1	K02419
YP_005619275.1	K02420
YP_005619276.1	K02421
YP_005619277.1	K02913
YP_005619278.1	K02902
YP_005619279.1	K09800
YP_005619280.1	K01507
YP_005619281.1	K03592
YP_005619282.1	K07056
YP_005619283.1	K00647
YP_005619284.1	K00616
YP_005619285.1	K00615
YP_005619286.1	K01439
YP_005619287.1	K01714
YP_005619288.1	K01736
YP_005619289.1
YP_005619290.1	K00765
YP_005619291.1	K00013
YP_005619292.1	K00817
YP_005619293.1	K01089
YP_005619294.1	K02501
YP_005619295.1	K01814
YP_005619296.1	K02500
YP_005619297.1	K11755
YP_005619298.1	K00033
YP_005619299.1	K01494
YP_005619300.1	K01874
YP_005619301.1	K04075
YP_005619302.1	K00793
YP_005619303.1	K03617
YP_005619304.1	K03616
YP_005619305.1	K03615
YP_005619306.1	K03614
YP_005619307.1	K03612
YP_005619308.1	K03613
YP_005619309.1	K10773
YP_005619310.1	K01866
YP_005619311.1	K05997
YP_005619312.1
YP_005619313.1	K01626
YP_005619314.1	K01868
YP_005619315.1	K02520
YP_005619316.1	K02916
YP_005619317.1	K02887
YP_005619318.1	K01889
YP_005619319.1	K01890
YP_005619320.1	K04764
YP_005619321.1	K00773
YP_005619322.1	K03210
YP_005619323.1	K01879
YP_005619324.1	K01878
YP_005619325.1	K01151
YP_005619326.1	K02897
YP_005619327.1
YP_005619328.1	K03771
YP_005619329.1	K02528
YP_005619330.1	K01525
YP_005619331.1	K00287
YP_005619332.1	K01955
YP_005619333.1	K01956
YP_005619334.1	K00215
YP_005619335.1	K03527
YP_005619336.1	K03101
YP_005619337.1	K01870
YP_005619338.1	K11753
YP_005619339.1	K02968
YP_005619340.1	K03686
YP_005619341.1	K04043
YP_005619342.1	K00330
YP_005619343.1	K00331
YP_005619344.1	K13378
YP_005619345.1	K00334
YP_005619346.1	K00335
YP_005619347.1	K00336
YP_005619348.1	K00337
YP_005619349.1	K00338
YP_005619350.1	K00339
YP_005619351.1	K00340
YP_005619352.1	K00341
YP_005619353.1	K00342
YP_005619354.1	K00343
YP_005619355.1	K11754
YP_005619356.1	K00948
YP_005619357.1	K02835
YP_005619358.1	K02493
YP_005619359.1
YP_005619360.1	K01916
YP_005619361.1	K00925
YP_005619362.1	K13788
YP_005619363.1	K11107
YP_005619364.1	K00526
YP_005619365.1	K00525
YP_005619366.1	K02469
YP_005619367.1	K09945
YP_005619368.1	K03386
YP_005619369.1	K03648
YP_005619370.1	K03687
YP_005619371.1	K00858
YP_005619372.1	K06186
YP_005619373.1	K07390
YP_005619374.1	K03683
YP_005619375.1	K04564
YP_005619376.1	K01056
YP_005619377.1	K06942
YP_005619378.1	K01733
YP_005619379.1	K00872
YP_005619380.1	K12524
YP_005619381.1	K00760
YP_005619382.1	K01918
YP_005619383.1	K00606
YP_005619384.1	K06204
YP_005619385.1	K06173
YP_005619386.1	K05365
YP_005619387.1	K03070
YP_005619388.1	K03574
YP_005619389.1	K00859
YP_005619390.1	K00364
YP_005619391.1	K00163
YP_005619392.1	K00627
YP_005619393.1	K00382
YP_005619394.1	K01611
YP_005619395.1	K00797
YP_005619396.1	K01243
YP_005619397.1	K15724
YP_005619398.1	K03531
YP_005619399.1	K03590
YP_005619400.1	K01921
YP_005619401.1	K01924
YP_005619402.1	K02563
YP_005619403.1	K03588
YP_005619404.1	K01925
YP_005619405.1	K01000
YP_005619406.1	K01928
YP_005619407.1	K03587
YP_005619408.1	K03586
YP_005619409.1	K03438
YP_005619410.1	K01653
YP_005619411.1	K01652
YP_005619412.1	K04771
YP_005619413.1	K00674
YP_005619414.1	K01265
YP_005619415.1	K02967
YP_005619416.1	K02357
YP_005619417.1	K09903
YP_005619418.1	K02838
YP_005619419.1	K00099
YP_005619420.1	K00806
YP_005619421.1	K07277
YP_005619422.1	K02372
YP_005619423.1	K02337
YP_005619424.1	K01881
YP_005619425.1	K02401
YP_005619426.1	K02400
YP_005619427.1	K01887
YP_005619428.1	K01069
YP_005619429.1	K03469
YP_005619430.1	K02342
YP_005619431.1	K03271
YP_005619432.1	K00769
YP_005619433.1	K03687
YP_005619434.1	K09801
YP_005619435.1	K03664
YP_005619436.1	K11991
YP_005619437.1	K00997
YP_005619438.1	K03595
YP_005619439.1	K03685
YP_005619440.1	K03100
YP_005619441.1	K03596
YP_005619442.1	K00566
YP_005619443.1	K07153
YP_005619444.1	K01756
YP_005619445.1	K08308
YP_005619446.1	K00208
YP_005619447.1	K01147
YP_005619448.1
YP_005619449.1	K03801
YP_005619450.1	K03644
YP_005619451.1	K01591
YP_005619452.1	K01497
YP_005619453.1	K06131
YP_005619454.1	K10806
YP_005619455.1	K06190
YP_005619456.1
YP_005619457.1	K01695
YP_005619458.1	K01696
YP_005619459.1	K13498
YP_005619460.1	K00766
YP_005619461.1	K07790
YP_005619462.1	K06178
YP_005619463.1	K04774
YP_005619464.1	K03168
YP_005619465.1	K01092
YP_005619466.1	K06941
YP_005619467.1	K03526
YP_005619468.1	K01892
YP_005619469.1	K00600
YP_005619470.1	K01935
YP_005619471.1	K01012
YP_005619472.1	K00833
YP_005619473.1	K07404
YP_005619474.1	K03723
YP_005619475.1	K09808
YP_005619476.1	K09810
YP_005619477.1	K09808
YP_005619478.1	K00134
YP_005619479.1	K03839
YP_005619480.1	K01669
YP_005619481.1
YP_005619482.1	K00164
YP_005619483.1	K00658
YP_005619484.1	K01834
YP_005619485.1	K00850
YP_005619486.1	K02440
YP_005619487.1	K01803
YP_005619488.1	K05788
YP_005619489.1	K02945
YP_005619490.1	K00945
YP_005619491.1	K00800
YP_005619492.1	K00831
YP_005619493.1	K01875
YP_005619494.1	K00384
YP_005619495.1	K02518
YP_005619496.1	K01876
YP_005619497.1	K09816
YP_005619498.1	K09817
YP_005619499.1	K00873
YP_005619500.1	K00036
YP_005619501.1	K03799
YP_005619502.1	K03704
YP_005619503.1
YP_005619504.1
YP_005619505.1	K03608
YP_005619506.1	K03609
YP_005619507.1	K03610
YP_005619508.1	K03286
YP_005619509.1	K03980
YP_005619510.1	K01465
YP_005619511.1	K02399
YP_005619512.1	K02386
YP_005619513.1	K02387
YP_005619514.1	K02388
YP_005619515.1	K02389
YP_005619516.1	K02390
YP_005619517.1	K02391
YP_005619518.1	K02392
YP_005619519.1	K02393
YP_005619520.1	K02394
YP_005619521.1	K02395
YP_005619522.1	K02396
YP_005619523.1	K08300
YP_005619524.1	K06179
YP_005619525.1	K02911
YP_005619526.1	K00059
YP_005619527.1	K02078
YP_005619528.1	K00943
YP_005619529.1	K02341
YP_005619530.1	K03424
YP_005619531.1	K02779,K02778
YP_005619532.1	K02503
YP_005619533.1	K09476
YP_005619534.1	K01893
YP_005619535.1	K00763
YP_005619536.1	K00226
YP_005619537.1	K12297
YP_005619538.1	K15738
YP_005619539.1	K07146
YP_005619540.1	K01873
YP_005619541.1	K01255
YP_005619542.1	K00611
YP_005619543.1	K00609
YP_005619544.1	K00610
YP_005619545.1
YP_005619546.1	K05592
YP_005619547.1	K00962
YP_005619548.1	K02956
YP_005619549.1	K03177
YP_005619550.1	K02834
YP_005619551.1	K02519
YP_005619552.1	K02600
YP_005619553.1	K03075
YP_005619554.1	K03431
YP_005619555.1	K03798
YP_005619556.1	K02427
YP_005619557.1	K03624
YP_005619558.1
YP_005619559.1	K02888
YP_005619560.1	K02899
YP_005619561.1	K03979
YP_005619562.1	K02996
YP_005619563.1	K02871
YP_005619564.1	K14170
YP_005619565.1	K03106
YP_005619566.1	K02959
YP_005619567.1	K02860
YP_005619568.1	K00554
YP_005619569.1	K02884
YP_005619570.1	K03568
YP_005619571.1	K03786
YP_005619572.1	K03557
YP_005619573.1	K06180
YP_005619574.1	K05807
YP_005619575.1	K01872
YP_005619576.1	K03563
YP_005619577.1	K01919
YP_005619578.1	K00789
YP_005619579.1	K09761
YP_005619580.1	K01807
YP_005619581.1	K01886
YP_005619582.1	K01937
YP_005619583.1	K01689
YP_005619584.1	K06194
YP_005619585.1	K01770
YP_005619586.1	K00991
YP_005619587.1	K05589
YP_005619588.1	K00860
YP_005619589.1	K00956
YP_005619590.1	K00957
YP_005619591.1	K02302
YP_005619592.1	K00390
YP_005619593.1	K00381
YP_005619594.1	K00380
YP_005619595.1	K03555
YP_005619596.1	K03673
YP_005619597.1	K02335
YP_005619598.1	K03978
YP_005619599.1	K06207
YP_005619600.1	K00942
YP_005619601.1	K06980
YP_005619602.1	K02836
YP_005619603.1	K04567
YP_005619604.1	K01586
YP_005619605.1	K13292
YP_005619606.1	K00560
YP_005619607.1	K06168
YP_005619608.1	K07042
YP_005619609.1	K06189
YP_005619610.1	K01869
YP_005619611.1	K02340
YP_005619612.1	K00969
YP_005619613.1	K04085
YP_005619614.1	K00133
YP_005619615.1
YP_005619616.1	K00927
YP_005619617.1	K01624
YP_005619618.1	K03442
YP_005619619.1	K03582
YP_005619620.1	K03581
YP_005619621.1	K14682
YP_005619622.1	K08304
YP_005619623.1	K00794
YP_005619624.1	K00946
YP_005619625.1
YP_005619626.1	K00082
YP_005619627.1	K03625
YP_005619628.1	K01662
YP_005619629.1	K00795
YP_005619630.1
YP_005619631.1	K11179
YP_005619632.1	K02301
YP_005619633.1	K02300
YP_005619634.1	K02299
YP_005619635.1	K02298
YP_005619636.1	K02297
YP_005619637.1	K05527
YP_005619638.1	K03545
YP_005619639.1	K01358
YP_005619640.1	K03544
YP_005619641.1	K01338
YP_005619642.1	K03770
YP_005619643.1	K06147
YP_005619644.1
YP_005619645.1	K02343
YP_005619646.1	K09747
YP_005619647.1	K04079
YP_005619648.1	K00939
YP_005619649.1	K01491
YP_005619650.1	K01883
YP_005619651.1	K09158
YP_005619652.1	K03704
YP_005619653.1	K00014
YP_005619654.1	K07566
YP_005619655.1	K03747
YP_005619656.1	K01462
YP_005619657.1	K00604
YP_005619658.1	K02879
YP_005619659.1	K03040
YP_005619660.1	K02986
YP_005619661.1	K02948
YP_005619662.1	K02952
YP_005619663.1	K02919
YP_005619664.1	K03076
YP_005619665.1	K02876
YP_005619666.1	K02907
YP_005619667.1	K02988
YP_005619668.1	K02881
YP_005619669.1	K02933
YP_005619670.1	K02994
YP_005619671.1	K02954
YP_005619672.1	K02931
YP_005619673.1	K02895
YP_005619674.1	K02874
YP_005619675.1	K02961
YP_005619676.1	K02904
YP_005619677.1	K02878
YP_005619678.1	K02982
YP_005619679.1	K02890
YP_005619680.1	K02965
YP_005619681.1	K02886
YP_005619682.1	K02892
YP_005619683.1	K02926
YP_005619684.1	K02906
YP_005619685.1	K02946
YP_005619686.1	K02358
YP_005619687.1	K02355
YP_005619688.1	K02992
YP_005619689.1	K02950
YP_005619690.1	K07237
YP_005619691.1	K07236
YP_005619692.1	K07235
YP_005619693.1
YP_005619694.1	K00821
YP_005619695.1	K06141
YP_005619696.1	K01867
YP_005619697.1	K01783
YP_005619698.1	K01735
YP_005619699.1	K00891
YP_005619700.1	K03784
YP_005619701.1	K01839
YP_005619702.1	K02837
YP_005619703.1	K01424
YP_005619704.1	K07400
YP_005619705.1	K03111
YP_005619706.1	K02314
YP_005619707.1	K01920
YP_005619708.1	K07447
YP_005619709.1	K06997
YP_005619710.1	K02495
YP_005619711.1	K03439
YP_005619712.1	K03575
YP_005619713.1
YP_005619714.1	K01776
YP_005619715.1	K01141
YP_005619716.1	K09802
YP_005619717.1	K00762
YP_005619718.1	K01520
YP_005619719.1	K01082
YP_005619720.1	K02939
YP_005619721.1	K02963
YP_005619722.1	K02990
YP_005619723.1	K12573
YP_005619724.1	K01939
YP_005619725.1	K04087
YP_005619726.1	K04088
YP_005619727.1	K00791
YP_005619728.1	K03572
YP_005619729.1	K00009
YP_005619730.1	K02800,K02798,K02799
YP_005619731.1	K01810
YP_005619732.1	K13288
YP_005619733.1	K01448
YP_005619734.1	K02909
YP_005619735.1	K01419
YP_005619736.1	K03667
YP_005619737.1	K04080
YP_005619738.1	K00528
YP_005619739.1	K04568
YP_005619740.1	K00954
YP_005619741.1
YP_005619742.1
YP_005619743.1	K15984
YP_005619744.1	K16322
YP_005619745.1	K08224
YP_005619746.1	K01778
YP_005619747.1	K06202
YP_005619748.1	K01749
YP_005619749.1	K03628
YP_005619750.1	K03671
YP_005619751.1	K03656
YP_005619752.1	K00053
YP_005619753.1	K01687
YP_005619754.1	K04487
YP_005619755.1	K04488
YP_005619756.1	K04082
YP_005619757.1	K04044
YP_005619758.1	K04755
YP_005619759.1	K03977
YP_005619760.1
