NP_239843.1	K03495
NP_239844.1	K02108
NP_239845.1	K02110
NP_239846.1	K02109
NP_239847.1	K02113
NP_239848.1	K02111
NP_239849.1	K02115
NP_239850.1	K02112
NP_239851.1	K02114
NP_239852.1	K02470
NP_239853.1	K02338
NP_239854.1	K02313
NP_239855.1	K02914
NP_239856.1	K03536
NP_239857.1	K03217
NP_239858.2	K03650
NP_239859.1	K04078
NP_239860.1	K04077
NP_239861.1	K02356
NP_239862.1	K02315
NP_239863.1	K02317
NP_239864.1	K08316
NP_239865.1	K03110
NP_239866.1	K03089
NP_239867.2	K00820
NP_239868.1	K04042
NP_239869.1	K07024
NP_239870.1	K07024
NP_239871.1	K00549
NP_239872.1	K00602
NP_239873.1	K05787
NP_239874.1	K03046
NP_239875.1	K03043
NP_239876.1	K02935
NP_239877.1	K02864
NP_239878.1	K02863
NP_239879.1	K02867
NP_239880.1	K02601
NP_239881.1	K03073
NP_239882.1	K00075
NP_239883.1	K00297
NP_239884.1	K01438
NP_239885.1	K00145
NP_239886.1	K00930
NP_239887.1	K01940
NP_239888.1	K01755
NP_239889.1
NP_239890.1	K03071
NP_239891.1	K00640
NP_239892.1	K03086
NP_239893.1	K02316
NP_239894.1	K02970
NP_239895.1	K01409
NP_239896.1	K02858
NP_239897.1
NP_239898.1	K00974
NP_239899.1	K06153
NP_239900.1	K02777
NP_239901.1	K08483
NP_239902.1	K02784
NP_239903.1	K01738
NP_239904.1	K01972
NP_239905.1	K01885
NP_239906.1	K02408
NP_239907.1	K02409
NP_239908.1	K02410
NP_239909.1	K02411
NP_239910.1	K02412
NP_239911.1	K02413
NP_239913.1	K02414
NP_239914.1	K02416
NP_239915.1	K02417
NP_239916.1	K02419
NP_239917.1	K02420
NP_239918.1	K02421
NP_239919.1	K02913
NP_239920.1	K02902
NP_239921.1	K09800
NP_239922.1	K01507
NP_239923.1	K03592
NP_239924.1	K07056
NP_239925.1	K00647
NP_239926.1	K00616
NP_239927.1	K00615
NP_239928.1	K01439
NP_239929.1	K01714
NP_239930.1	K01736
NP_239931.1
NP_239932.1	K00765
NP_239933.1	K00013
NP_239934.1	K00817
NP_239935.1	K01089
NP_239936.1	K02501
NP_239937.1	K01814
NP_239938.1	K02500
NP_239939.1	K11755
NP_239940.1	K00033
NP_239941.2	K01494
NP_239942.1	K01874
NP_239943.1	K04075
NP_239944.1	K00793
NP_239945.1	K03617
NP_239946.1	K03616
NP_239947.1	K03615
NP_239948.2	K03614
NP_239949.1	K03612
NP_239950.1	K03613
NP_239951.1	K10773
NP_239952.2	K04066
NP_239953.1	K01866
NP_239954.1	K05997
NP_239955.1
NP_239956.1	K01626
NP_239957.1	K01868
NP_239958.1	K02520
NP_239959.1	K02916
NP_239960.1	K02887
NP_239961.1	K01889
NP_239962.1	K01890
NP_239963.1	K04764
NP_239964.1	K07568
NP_239965.1	K00773
NP_239966.1	K03210
NP_239967.1	K01879
NP_239968.2	K01878
NP_239969.1	K01151
NP_239970.1	K02897
NP_239971.1
NP_239972.1	K03771
NP_239973.1	K02528
NP_239974.1	K01525
NP_239975.1	K00287
NP_239976.1	K01955
NP_239977.1	K01956
NP_239978.1	K00215
NP_239979.1	K03527
NP_239980.1	K03101
NP_239981.1	K01870
NP_239982.1	K11753
NP_239983.1	K02968
NP_239984.1	K03686
NP_239985.1	K04043
NP_239986.1	K00330
NP_239987.1	K00331
NP_239988.1	K13378
NP_239989.1	K00334
NP_239990.1	K00335
NP_239991.1	K00336
NP_239992.1	K00337
NP_239993.1	K00338
NP_239994.1	K00339
NP_239995.1	K00340
NP_239996.1	K00341
NP_239997.1	K00342
NP_239998.1	K00343
NP_239999.1	K11754
NP_240000.2	K00948
NP_240001.1	K00919
NP_240002.1	K02835
NP_240003.1	K02493
NP_240004.1
NP_240005.1	K01916
NP_240006.1	K00925
NP_240007.1	K13788
NP_240008.1	K11107
NP_240009.1	K00526
NP_240010.1	K00525
NP_240011.1	K02469
NP_240012.1	K09945
NP_240013.1	K03386
NP_240014.1	K03648
NP_240015.1	K03687
NP_240016.1	K00858
NP_240017.1	K06186
NP_240018.1	K07390
NP_240019.1	K03683
NP_240020.1	K04564
NP_240021.1	K01056
NP_240022.1	K06942
NP_240023.1	K01733
NP_240024.1	K00872
NP_240025.1	K12524
NP_240026.1	K00760
NP_240027.1	K01918
NP_240028.1	K00606
NP_240029.1	K06204
NP_240030.1	K06173
NP_240031.1	K05365
NP_240032.1	K03070
NP_240033.1	K03574
NP_240034.1	K00859
NP_240035.1	K00364
NP_240036.1	K00163
NP_240037.2	K00627
NP_240038.1	K00382
NP_240039.1	K01611
NP_240040.1	K00797
NP_240041.1	K01243
NP_240042.1	K15724
NP_240043.1	K03531
NP_240044.1	K03590
NP_240045.1	K01924
NP_240046.1	K02563
NP_240047.1	K03588
NP_240048.1	K01925
NP_240049.1	K01000
NP_240050.1	K01929
NP_240051.1	K01928
NP_240052.1	K03587
NP_240053.1
NP_240054.1	K03438
NP_240055.1	K01653
NP_240056.1	K01652
NP_240057.1	K04771
NP_240058.1	K00674
NP_240059.1	K01265
NP_240060.1	K02967
NP_240061.1	K02357
NP_240062.1	K09903
NP_240063.1	K02838
NP_240064.1	K00099
NP_240065.1	K00806
NP_240066.1	K07277
NP_240067.1	K02337
NP_240068.1	K01881
NP_240069.1	K02401
NP_240070.2	K02400
NP_240071.1	K01887
NP_240072.1	K01069
NP_240073.1	K02342
NP_240074.1	K03271
NP_240075.2	K00769
NP_240076.1	K03687
NP_240077.1	K09801
NP_240078.1	K03664
NP_240079.1	K11991
NP_240080.1	K00997
NP_240081.1	K03595
NP_240082.1	K03685
NP_240083.1	K03100
NP_240084.1	K03596
NP_240085.2	K00566
NP_240086.1	K07153
NP_240087.1	K01756
NP_240088.1	K08308
NP_240089.1	K00208
NP_240090.1	K01147
NP_240091.1
NP_240092.1	K03801
NP_240093.1	K03644
NP_240094.1	K01591
NP_240095.1	K01497
NP_240096.1	K03746
NP_240097.1	K06131
NP_240098.1	K10806
NP_240099.1	K06190
NP_240100.1
NP_240101.1	K01695
NP_240102.1	K01696
NP_240103.1	K13498
NP_240104.1	K00766
NP_240105.1	K07790
NP_240106.1	K06178
NP_240107.2	K04774
NP_240108.1	K03168
NP_240109.1	K01092
NP_240110.1	K06941
NP_240111.1	K03526
NP_240112.1	K01892
NP_240113.1	K00600
NP_240114.1	K01935
NP_240115.1	K01012
NP_240116.1	K00833
NP_240117.1	K07404
NP_240118.1	K03723
NP_240119.1	K09808
NP_240120.1	K09810
NP_240121.1	K00134
NP_240122.1	K03839
NP_240123.1	K01669
NP_240124.1
NP_240125.1	K00164
NP_240126.1	K00658
NP_240127.1	K01834
NP_240128.1	K00850
NP_240129.1	K02440
NP_240130.1	K01803
NP_240131.1	K05788
NP_240132.1	K02945
NP_240133.1	K00800
NP_240134.1	K00831
NP_240135.1	K01875
NP_240136.1	K00384
NP_240137.1	K02518
NP_240138.1	K01876
NP_240139.1	K09816
NP_240140.1	K09817
NP_240141.1	K00873
NP_240142.1	K00036
NP_240143.1	K03799
NP_240144.1	K03704
NP_240145.1
NP_240146.1	K14742
NP_240147.1	K03608
NP_240148.1	K03609
NP_240149.1	K03610
NP_240150.1	K00564
NP_240151.1	K03286
NP_240152.1	K03980
NP_240153.1	K01465
NP_240154.1	K02399
NP_240155.1	K02386
NP_240156.1	K02387
NP_240157.1	K02388
NP_240158.1	K02389
NP_240159.2	K02390
NP_240160.2	K02391
NP_240161.1	K02392
NP_240162.1	K02393
NP_240163.1	K02394
NP_240164.1	K02395
NP_240165.1	K02396
NP_240166.1	K08300
NP_240167.1	K06179
NP_240168.1	K02911
YP_008492944.1
NP_240169.1	K00059
NP_240170.1	K02078
NP_240171.1	K00943
NP_240172.1	K02341
NP_240173.1	K03424
NP_240174.2	K02779,K02778
NP_240175.1	K02503
NP_240176.1	K07337
NP_240177.1	K09476
NP_240178.1	K01893
NP_240179.1	K00763
NP_240180.1	K00226
NP_240181.1	K12297
NP_240182.1	K15738
NP_240183.1	K07146
NP_240184.1	K01873
NP_240185.1	K01255
NP_240186.1	K00611
NP_240187.1	K00609
NP_240188.1	K00610
NP_240189.1	K07567
NP_240190.1	K05592
NP_240191.1	K00962
NP_240192.1	K02956
NP_240193.1	K03177
NP_240194.1	K02834
NP_240195.1	K02519
NP_240196.1	K02600
NP_240197.1	K03075
NP_240198.1	K03431
NP_240199.2	K03798
NP_240200.1	K02427
NP_240201.1	K03624
NP_240202.1
NP_240203.1	K00790
NP_240204.1	K02888
NP_240205.1	K02899
NP_240206.1	K03979
NP_240207.1	K02996
NP_240208.1	K02871
NP_240209.1	K14170
NP_240210.1	K03106
NP_240211.1	K02959
NP_240212.1	K02860
NP_240213.1	K00554
NP_240214.1	K02884
NP_240215.1	K03568
NP_240216.1	K03786
NP_240217.1	K03557
NP_240218.1	K06180
NP_240219.1	K05807
NP_240220.1	K01872
NP_240221.1	K03563
NP_240222.1	K01919
NP_240223.1	K00789
NP_240224.1	K01150
NP_240225.1	K09761
NP_240226.1	K01807
NP_240227.1	K01886
NP_240228.1	K01937
NP_240229.1	K01689
NP_240230.1	K06194
NP_240231.1	K01770
NP_240232.1	K00991
NP_240233.1	K05589
NP_240234.1	K00860
NP_240235.1	K00956
NP_240236.1	K00957
NP_240237.1	K02302
NP_240238.1	K00390
NP_240239.1	K00381
NP_240240.1	K00380
NP_240241.1	K03555
NP_240242.1	K03673
NP_240243.1	K02335
NP_240244.1	K03978
NP_240245.1	K06207
NP_240246.1	K00942
NP_240247.1	K06980
NP_240248.1	K02836
NP_240249.1	K04567
NP_240250.1	K01586
NP_240251.1	K13292
NP_240252.1	K00560
NP_240253.1	K06168
NP_240254.1	K07042
NP_240255.1	K06189
NP_240256.1	K01869
NP_240257.1	K02340
NP_240258.1	K00969
NP_240259.1	K04085
NP_240260.1	K00133
NP_240261.2
NP_240262.1	K00927
NP_240263.1	K01624
NP_240264.2	K03442
NP_240265.1	K03583
NP_240266.1	K03582
NP_240267.1	K03581
NP_240268.1	K14682
NP_240269.1	K08304
NP_240270.1	K00794
NP_240271.1	K00946
NP_240272.1	K01498
NP_240273.1	K00082
NP_240274.1	K03625
NP_240275.1	K01662
NP_240276.1	K00795
NP_240277.1
NP_240278.1	K11179
NP_240279.1	K02301
NP_240280.1	K02300
NP_240281.1	K02299
NP_240282.1	K02298
NP_240283.1	K02297
NP_240284.1	K05527
NP_240285.1	K03545
NP_240286.1	K01358
NP_240287.1	K03544
NP_240288.1	K01338
NP_240289.1	K03770
NP_240290.1	K06147
NP_240291.1	K06148
NP_240292.1	K02343
NP_240293.1	K09747
NP_240294.1	K04079
NP_240295.1	K00939
NP_240296.1	K01491
NP_240297.1	K01883
NP_240298.1	K09158
NP_240299.1	K03704
NP_240300.1	K00014
NP_240301.1	K07566
NP_240302.1	K03747
NP_240303.1	K01462
NP_240304.1	K00604
NP_240305.1	K02879
NP_240306.1	K03040
NP_240307.1	K02986
NP_240308.1	K02948
NP_240309.1	K02952
NP_240310.1	K02919
NP_240311.1	K03076
NP_240312.1	K02876
NP_240313.1	K02907
NP_240314.1	K02988
NP_240315.1	K02881
NP_240316.3	K02933
NP_240317.1	K02994
NP_240318.1	K02954
NP_240319.1	K02931
NP_240320.1	K02895
NP_240321.1	K02874
NP_240322.1	K02961
NP_240323.1	K02904
NP_240324.1	K02878
NP_240325.1	K02982
NP_240326.1	K02890
NP_240327.1	K02965
NP_240328.1	K02886
NP_240329.1	K02892
NP_240330.1	K02926
NP_240331.1	K02906
NP_240332.1	K02946
NP_240333.2	K02358
NP_240334.1	K02355
NP_240335.1	K02992
NP_240336.1	K02950
NP_240337.2	K07237
NP_240338.1	K07236
NP_240339.1	K07235
NP_240340.1	K03772
NP_240341.1	K00821
NP_240342.1	K06141
NP_240343.1	K01867
NP_240344.1	K01783
NP_240345.1	K01735
NP_240346.1	K00891
NP_240347.1	K03784
NP_240348.1	K01839
NP_240349.1	K02837
NP_240350.1	K07400
NP_240351.1	K03111
NP_240352.2	K02314
NP_240353.1	K01920
NP_240354.1	K07447
NP_240355.1	K06997
NP_240356.1	K02495
NP_240357.1	K03439
NP_240358.1	K03575
NP_240359.1
NP_240360.1	K01776
NP_240361.1	K01141
NP_240362.1	K09802
NP_240363.1	K00762
NP_240364.1	K01520
NP_240365.1	K01082
NP_240366.1	K02939
NP_240367.1	K02963
NP_240368.1	K02990
NP_240369.1	K12573
NP_240370.1	K01939
NP_240371.1	K04087
NP_240372.1	K04088
NP_240373.1	K00791
NP_240374.1	K03572
NP_240375.1	K00009
NP_240376.1	K02800,K02798,K02799
NP_240377.1	K01810
NP_240378.1	K13288
NP_240379.1	K01448
NP_240380.1	K02909
NP_240381.2	K01419
NP_240382.1	K03667
NP_240383.1	K04080
NP_240384.1	K00528
NP_240385.1	K04568
NP_240386.1	K00954
NP_240387.1
NP_240388.1
NP_240389.1	K15984
NP_240390.1	K16322
NP_240391.1	K08224
NP_240392.2	K01778
NP_240393.1	K06202
NP_240394.1	K01749
NP_240395.1	K03628
NP_240396.1	K03671
NP_240397.1	K03656
NP_240398.1	K00053
NP_240399.1	K01687
NP_240400.1	K04487
NP_240401.1	K04488
NP_240402.1	K04082
NP_240403.1	K04044
NP_240404.1	K04755
NP_240405.1	K03977
NP_240406.1
