YP_002468330.1	K03495
YP_002468331.1	K02108
YP_002468332.1	K02110
YP_002468333.1	K02109
YP_002468334.1	K02113
YP_002468335.1	K02111
YP_002468336.1	K02115
YP_002468337.1	K02112
YP_002468338.1	K02114
YP_002468339.1	K02470
YP_002468340.1	K02338
YP_002468341.1	K02313
YP_002468342.1	K02914
YP_002468343.1	K03217
YP_002468344.1	K03650
YP_002468345.1	K04078
YP_002468346.1	K04077
YP_002468347.1	K02356
YP_002468348.1	K02315
YP_002468349.1	K02317
YP_002468350.1	K08316
YP_002468351.1	K03110
YP_002468352.1	K03089
YP_002468353.1	K00820
YP_002468354.1	K04042
YP_002468355.1	K07024
YP_002468356.1	K00549
YP_002468357.1	K00602
YP_002468358.1	K05787
YP_002468359.1	K03046
YP_002468360.1	K03043
YP_002468361.1	K02935
YP_002468362.1	K02864
YP_002468363.1	K02863
YP_002468364.1	K02867
YP_002468365.1	K02601
YP_002468366.1	K03073
YP_002468367.1	K00075
YP_002468368.1	K00297
YP_002468369.1	K01438
YP_002468370.1	K00145
YP_002468371.1	K00930
YP_002468372.1	K01940
YP_002468373.1	K01755
YP_002468374.1
YP_002468375.1	K03071
YP_002468376.1	K00640
YP_002468377.1	K03086
YP_002468378.1	K02316
YP_002468379.1	K02970
YP_002468380.1	K01409
YP_002468381.1	K02858
YP_002468382.1
YP_002468383.1	K00974
YP_002468384.1	K06153
YP_002468385.1	K02777
YP_002468386.1	K08483
YP_002468387.1	K02784
YP_002468388.1	K01738
YP_002468389.1	K01972
YP_002468390.1	K01885
YP_002468391.1	K02408
YP_002468392.1	K02409
YP_002468393.1	K02410
YP_002468394.1	K02411
YP_002468395.1	K02412
YP_002468396.1	K02413
YP_002468397.1	K02414
YP_002468398.1	K02416
YP_002468399.1	K02417
YP_002468400.1	K02419
YP_002468401.1	K02420
YP_002468402.1	K02421
YP_002468403.1	K02913
YP_002468404.1	K02902
YP_002468405.1	K09800
YP_002468406.1	K01507
YP_002468407.1	K03592
YP_002468408.1	K00647
YP_002468409.1	K00616
YP_002468410.1	K00615
YP_002468411.1	K01439
YP_002468412.1	K01714
YP_002468413.1	K01736
YP_002468414.1
YP_002468415.1	K00765
YP_002468416.1	K00013
YP_002468417.1	K00817
YP_002468418.1	K01089
YP_002468419.1	K02501
YP_002468420.1	K01814
YP_002468421.1	K02500
YP_002468422.1	K11755
YP_002468423.1	K00033
YP_002468424.1	K01494
YP_002468425.1	K01874
YP_002468426.1	K04075
YP_002468427.1	K00793
YP_002468428.1	K03617
YP_002468429.1	K03616
YP_002468430.1	K03615
YP_002468431.1	K03614
YP_002468432.1	K03612
YP_002468433.1	K03613
YP_002468434.1	K10773
YP_002468435.1	K04066
YP_002468436.1	K01866
YP_002468437.1	K05997
YP_002468438.1
YP_002468439.1	K01626
YP_002468440.1	K01868
YP_002468441.1	K02520
YP_002468442.1	K02916
YP_002468443.1	K02887
YP_002468444.1	K01889
YP_002468445.1	K01890
YP_002468446.1	K04764
YP_002468447.1	K07568
YP_002468448.1	K00773
YP_002468449.1	K03210
YP_002468450.1	K01879
YP_002468451.1	K01878
YP_002468452.1	K01151
YP_002468453.1	K02897
YP_002468454.1
YP_002468455.1	K03771
YP_002468456.1	K02528
YP_002468457.1	K01525
YP_002468458.1	K00287
YP_002468459.1	K01955
YP_002468460.1	K01956
YP_002468461.1	K00215
YP_002468462.1	K03527
YP_002468463.1	K03101
