YP_006732339.1	K04043
YP_006732340.1	K03686
YP_006732341.1	K00343
YP_006732342.1	K00342
YP_006732343.1	K00341
YP_006732344.1	K00340
YP_006732345.1	K00339
YP_006732346.1	K00338
YP_006732347.1	K00337
YP_006732348.1	K00336
YP_006732349.1	K00335
YP_006732350.1	K00334
YP_006732351.1	K13378
YP_006732352.1	K00331
YP_006732353.1	K00330
YP_006732354.1
YP_006732355.1	K02914
YP_006732356.1	K02470
YP_006732357.1	K01879
YP_006732358.1	K01878
YP_006732359.1
YP_006732360.1	K00528
YP_006732361.1	K03217
YP_006732362.1	K03650
YP_006732363.1	K03495
YP_006732364.1
YP_006732365.1	K02108
YP_006732366.1	K02110
YP_006732367.1	K02109
YP_006732368.1	K02113
YP_006732369.1	K02111
YP_006732370.1	K02115
YP_006732371.1	K02112
YP_006732372.1	K02114
YP_006732373.1	K00611
YP_006732374.1	K01704
YP_006732375.1	K00052
YP_006732376.1	K00133
YP_006732377.1	K06173
YP_006732378.1	K01817
YP_006732379.1	K06895
YP_006732380.1	K01875
YP_006732381.1	K03977
YP_006732382.1	K01892
YP_006732383.1	K01338
YP_006732384.1	K01687
YP_006732385.1	K02502
YP_006732386.1	K09014
YP_006732387.1	K09013
YP_006732388.1	K09015
YP_006732389.1	K11717
YP_006732390.1	K00566
YP_006732391.1	K02518
YP_006732392.1	K09687
YP_006732393.1	K09686
YP_006732394.1	K00033
YP_006732395.1	K03073
YP_006732396.1	K02601
YP_006732397.1	K02867
YP_006732398.1	K02863
YP_006732399.1	K02864
YP_006732400.1	K02935
YP_006732401.1	K03043
YP_006732402.1	K03046
YP_006732403.1	K02950
YP_006732404.1	K02992
YP_006732405.1	K02355
YP_006732406.1	K02358
YP_006732407.1	K02946
YP_006732408.1	K02906
YP_006732409.1	K02926
YP_006732410.1	K02892
YP_006732411.1	K02886
YP_006732412.1	K02965
YP_006732413.1	K02890
YP_006732414.1	K02982
YP_006732415.1	K02878
YP_006732416.1	K02904
YP_006732417.1	K02961
YP_006732418.1	K02874
YP_006732419.1	K02895
YP_006732420.1	K02931
YP_006732421.1	K02954
YP_006732422.1	K02994
YP_006732423.1	K02933
YP_006732424.1	K02881
YP_006732425.1	K02988
YP_006732426.1	K02876
YP_006732427.1	K03076
YP_006732428.1	K02919
YP_006732429.1	K02952
YP_006732430.1	K02948
YP_006732431.1	K02986
YP_006732432.1	K03040
YP_006732433.1	K02879
YP_006732434.1	K02888
YP_006732435.1	K02899
YP_006732436.1	K03979
YP_006732437.1	K02968
YP_006732438.1	K01870
YP_006732439.1	K02836
YP_006732440.1	K04567
YP_006732441.1	K08316
YP_006732442.1	K03089
YP_006732443.1	K02902
YP_006732444.1	K02913
YP_006732445.1
YP_006732446.1	K01885
YP_006732447.1	K00164
YP_006732448.1	K00658
YP_006732449.1	K00382
YP_006732450.1
YP_006732451.1	K02990
YP_006732452.1	K02963
YP_006732453.1	K02939
YP_006732454.1	K02314
YP_006732455.1	K01409
YP_006732456.1	K02970
YP_006732457.1	K03086
YP_006732458.1	K02297
YP_006732459.1	K02298
YP_006732460.1	K02299
YP_006732461.1	K02300
YP_006732462.1	K02301
YP_006732463.1	K02956
YP_006732464.1	K00962
YP_006732465.1
YP_006732466.1	K07400
YP_006732467.1	K02426
YP_006732468.1	K01496
YP_006732469.1
YP_006732470.1	K00627
YP_006732471.1	K00163
YP_006732472.1	K01714
YP_006732473.1	K02945
YP_006732474.1	K00800
YP_006732475.1	K14170
YP_006732476.1	K02469
YP_006732477.1	K03070
YP_006732478.1	K01703
YP_006732479.1	K01736
YP_006732480.1	K03704
YP_006732481.1	K01649
YP_006732482.1	K02078
YP_006732483.1	K02911
YP_006732484.1	K06179
YP_006732485.1	K08300
YP_006732486.1
YP_006732487.1	K01735
YP_006732488.1	K00891
YP_006732489.1	K02909
YP_006732490.1	K01419
YP_006732491.1	K03667
YP_006732492.1	K01523
YP_006732493.1	K00549
YP_006732494.1	K01626
YP_006732495.1	K03628
YP_006732496.1	K04075
YP_006732497.1	K02337
YP_006732498.1	K02357
YP_006732499.1	K02967
YP_006732500.1	K01265
YP_006732501.1	K00674
YP_006732502.1	K01439
YP_006732503.1
YP_006732504.1	K02221
YP_006732505.1	K01956
YP_006732506.1	K01955
YP_006732507.1	K03624
YP_006732508.1	K03798
YP_006732509.1	K02600
YP_006732510.1	K02519
YP_006732511.1	K02834
YP_006732512.1	K01890
YP_006732513.1	K01889
YP_006732514.1	K02887
YP_006732515.1	K02916
YP_006732516.1	K02520
YP_006732517.1	K01881
YP_006732518.1	K03786
YP_006732519.1	K11102
YP_006732520.1	K00297
YP_006732521.1	K00036
YP_006732522.1	K00845
YP_006732523.1	K01462
YP_006732524.1	K00014
YP_006732525.1	K01886
YP_006732526.1	K01883
YP_006732527.1
YP_006732528.1	K06131
YP_006732529.1	K06213
YP_006732530.1	K01876
YP_006732531.1
YP_006732532.1	K03644
YP_006732533.1	K00928
YP_006732534.1	K01872
YP_006732535.1	K01869
YP_006732536.1	K07042
YP_006732537.1	K01696
YP_006732538.1	K01695
YP_006732539.1
YP_006732540.1	K03386
YP_006732541.1	K01873
YP_006732542.1	K00821
YP_006732543.1	K03596
YP_006732544.1	K04077
YP_006732545.1	K04078
YP_006732546.1	K01940
YP_006732547.1	K07390
YP_006732548.1	K03593
YP_006732549.1	K01657
YP_006732550.1	K01658
YP_006732551.1	K00766
