NP_777640.1	K03495
NP_777641.1	K02108
NP_777642.1	K02110
NP_777643.1	K02109
NP_777644.1	K02113
NP_777645.1	K02111
NP_777646.1	K02115
NP_777647.1	K02112
NP_777648.1	K02114
NP_777649.1	K02470
NP_777650.1	K02338
NP_777651.1	K02313
NP_777652.1	K02914
NP_777653.1	K03536
NP_777654.1	K08998
NP_777655.1	K03217
NP_777656.1	K03650
NP_777657.1	K03573
NP_777658.1	K04078
NP_777659.1	K04077
NP_777660.1	K01843
NP_777661.1	K02356
NP_777662.1	K02315
NP_777663.1	K08316
NP_777664.1	K03110
NP_777665.1	K03089
NP_777666.1	K00820
NP_777667.1	K04042
NP_777668.1	K07024
NP_777669.1	K00549
NP_777670.1	K00602
NP_777671.1	K05787
NP_777672.1	K03046
NP_777673.1	K03043
NP_777674.1	K02935
NP_777675.1	K02864
NP_777676.1	K02863
NP_777677.1	K02867
NP_777678.1	K02601
NP_777679.1	K03073
NP_777680.1	K00075
NP_777681.1	K00297
NP_777682.1	K01940
NP_777683.1	K01755
NP_777684.1
NP_777685.1	K00640
NP_777686.1	K03086
NP_777687.1	K02316
NP_777688.1	K02970
NP_777689.1	K01409
NP_777690.1	K02858
NP_777691.1	K00974
NP_777692.1	K06153
NP_777693.1	K02777
NP_777694.1	K08483
NP_777695.1	K02784
NP_777696.1	K01972
NP_777697.1	K01885
NP_777698.1	K02408
NP_777699.1	K02409
NP_777700.1	K02410
NP_777701.1	K02411
NP_777702.1	K02412
NP_777703.1	K02413
NP_777704.1	K02414
NP_777705.1	K02416
NP_777706.1	K02417
NP_777707.1	K02419
NP_777708.1	K02420
NP_777709.1	K02421
NP_777710.1	K02913
NP_777711.1	K02902
NP_777712.1	K09800
NP_777713.1	K01507
NP_777714.1	K03592
NP_777715.1	K07056
NP_777716.1	K00647
NP_777717.1	K00616
NP_777718.1	K00615
NP_777719.1	K01439
NP_777720.1	K01714
NP_777721.1	K01736
NP_777722.1
NP_777723.1	K00765
NP_777724.1	K00013
NP_777725.1	K00817
NP_777726.1	K01089
NP_777727.1	K02501
NP_777728.1	K01814
NP_777729.1	K02500
NP_777730.1	K11755
NP_777731.1	K00033
NP_777732.1	K01494
NP_777733.1	K01874
NP_777734.1	K04075
NP_777735.1	K03327
NP_777736.1	K00793
NP_777737.1	K03617
NP_777738.1	K03616
NP_777739.1	K03615
NP_777740.1	K03614
NP_777741.1	K03612
NP_777742.1	K03613
NP_777743.1	K10773
NP_777744.1	K01866
NP_777745.1	K13628
NP_777746.1
NP_777747.1	K01626
NP_777748.1	K01868
NP_777749.1	K02520
NP_777750.1	K02916
NP_777751.1	K02887
NP_777752.1	K01889
NP_777753.1	K01890
NP_777754.1	K03210
NP_777755.1	K01879
NP_777756.1	K01878
NP_777757.1	K01151
NP_777758.1	K02897
NP_777759.1
NP_777760.1	K02528
NP_777761.1	K01525
NP_777762.1	K00287
NP_777763.1	K01955
NP_777764.1	K01956
NP_777765.1	K00215
NP_777766.1	K03527
NP_777767.1	K03101
NP_777768.1	K01870
NP_777769.1	K02968
NP_777770.1	K03686
NP_777771.1	K04043
NP_777772.1	K00330
NP_777773.1	K00331
NP_777774.1	K13378
NP_777775.1	K00334
NP_777776.1	K00335
NP_777777.1	K00336
NP_777778.1	K00337
NP_777779.1	K00338
NP_777780.1	K00339
NP_777781.1	K00340
NP_777782.1	K00341
NP_777783.1	K00342
NP_777784.1	K00343
NP_777785.1
NP_777786.1	K11754
NP_777787.1	K03558
NP_777788.1	K00948
NP_777789.1	K02835
NP_777790.1	K02493
NP_777791.1
NP_777792.1	K00925
NP_777793.1	K13788
NP_777794.1	K11107
NP_777795.1	K00526
NP_777796.1	K00525
NP_777797.1	K02469
NP_777798.1	K09945
NP_777799.1	K03386
NP_777800.1	K03648
NP_777801.1	K03687
NP_777802.1	K00858
NP_777803.1	K07390
NP_777804.1	K03683
NP_777805.1	K04564
NP_777806.1	K01056
NP_777807.1	K06942
NP_777808.1	K01733
NP_777809.1	K00872
NP_777810.1	K12524
NP_777811.1	K06204
NP_777812.1	K06173
NP_777813.1	K05365
NP_777814.1	K03070
NP_777815.1	K00364
NP_777816.1	K00163
NP_777817.1	K00627
NP_777818.1	K00382
NP_777819.1	K01243
NP_777820.1	K15724
NP_777821.1	K03531
NP_777822.1	K03590
NP_777823.1	K01921
NP_777824.1	K01924
NP_777825.1	K02563
NP_777826.1	K03588
NP_777827.1	K01925
NP_777828.1	K01000
NP_777829.1	K01929
NP_777830.1	K01928
NP_777831.1	K03587
NP_777832.1	K03586
NP_777833.1	K03438
NP_777834.1	K01653
NP_777835.1	K01652
NP_777836.1	K03734
NP_777837.1	K04771
NP_777838.1	K00674
