NP_660362.1	K03495
NP_660363.1	K02108
NP_660364.1	K02110
NP_660365.1	K02109
NP_660366.1	K02113
NP_660367.1	K02111
NP_660368.1	K02115
NP_660369.1	K02112
NP_660370.1	K02114
NP_660371.1	K02470
NP_660372.1	K02338
NP_660373.1	K02313
NP_660374.1	K02914
NP_660375.1	K03536
NP_660376.1	K08998
NP_660377.1	K03217
NP_660378.1	K03650
NP_660379.1	K04078
NP_660380.1	K04077
NP_660381.1
NP_660382.1	K02356
NP_660383.1	K02315
NP_660384.1	K02317
NP_660385.1	K03110
NP_660386.1	K03089
NP_660387.1	K00820
NP_660388.1	K04042
NP_660389.1	K07024
NP_660390.1	K03576
NP_660391.1	K00549
NP_660392.1	K00602
NP_660393.1	K05787
NP_660394.1	K03046
NP_660395.1	K03043
NP_660396.2	K02935
NP_660397.1	K02864
NP_660398.1	K02863
NP_660399.1	K02867
NP_660400.1	K02601
NP_660401.1	K03073
NP_660402.1	K00075
NP_660403.1	K00297
NP_660404.1	K01438
NP_660405.1	K00145
NP_660406.1	K00930
NP_660407.1	K01940
NP_660408.1	K01755
NP_660409.1
NP_660410.1	K03071
NP_660411.2	K00640
NP_660412.1	K03086
NP_660413.1	K02316
NP_660414.1	K02970
NP_660415.1	K01409
NP_660416.1	K02858
NP_660417.1
NP_660418.1	K00974
NP_660419.1	K06153
NP_660420.1	K02777
NP_660421.1	K08483
NP_660422.1	K02784
NP_660423.1	K01738
NP_660424.2	K01885
NP_660425.1	K02408
NP_660426.1	K02409
NP_660427.1	K02410
NP_660428.1	K02411
NP_660429.2	K02412
NP_660430.1	K02413
NP_660431.1	K02414
NP_660432.1	K02416
NP_660433.1	K02417
NP_660434.1	K02419
NP_660435.1	K02420
NP_660436.1	K02421
NP_660437.1	K02913
NP_660438.1	K02902
NP_660439.1	K09800
NP_660440.1	K01507
NP_660441.1	K03592
NP_660442.1	K07056
NP_660443.1	K00647
NP_660444.1	K00616
NP_660445.1	K00615
NP_660446.2	K01439
NP_660447.1	K01714
NP_660448.1	K03564
NP_660449.1	K01736
NP_660450.1
NP_660451.1	K00765
NP_660452.1	K00013
NP_660453.1	K00817
NP_660454.1	K01089
NP_660455.1	K02501
NP_660456.1	K01814
NP_660457.1	K02500
NP_660458.1	K11755
NP_660459.1	K00033
NP_660460.1	K01494
NP_660461.1	K01874
NP_660462.1	K04075
NP_660463.1	K00793
NP_660464.1	K03617
NP_660465.1	K03616
NP_660466.1	K03614
NP_660467.1	K03612
NP_660468.1	K03613
NP_660469.1	K10773
NP_660470.1	K04066
NP_660471.1	K01866
NP_660472.1	K05997
NP_660473.1
NP_660474.1	K01626
NP_660475.1	K01868
NP_848539.1
NP_660476.1	K02916
NP_660477.1	K02887
NP_660478.1	K01889
NP_660479.1	K01890
NP_660480.1	K04764
NP_660481.1	K07568
NP_660482.1	K00773
NP_660483.1	K03210
NP_660484.2	K01879
NP_660485.1	K01878
NP_660486.1	K01495
NP_660487.1	K01151
NP_660488.1	K02897
NP_660489.1
NP_660490.1	K03771
NP_660491.1	K02528
NP_660492.1	K01525
NP_660493.1	K00287
NP_660494.1	K01955
NP_660495.1	K01956
NP_660496.1	K00215
NP_660497.1	K03527
NP_660498.1	K03101
NP_660499.1	K01870
NP_660500.1	K11753
NP_660501.1	K02968
NP_660502.1	K03686
NP_660503.1	K04043
NP_660504.1	K00330
NP_660505.1	K00331
NP_660506.1	K13378
NP_660507.1	K00334
NP_660508.1	K00335
NP_660509.1	K00336
NP_660510.1	K00337
NP_660511.1	K00338
NP_660512.1	K00339
NP_660513.1	K00340
NP_660514.1	K00341
NP_660515.1	K00342
NP_660516.1	K00343
NP_660517.1
NP_660518.1	K11754
NP_660519.1	K00948
NP_660520.1	K00919
NP_660521.1	K02835
NP_660522.1	K02493
NP_660523.1
NP_660524.1	K01916
NP_660525.1	K00925
NP_660526.1	K13788
NP_660527.1	K00526
NP_660528.1	K00525
NP_660529.1	K02469
NP_660530.1	K09945
NP_660531.1	K03386
NP_660532.1	K03687
NP_660533.1	K00858
NP_660534.1	K06186
NP_660535.1	K07390
NP_660536.1	K03683
NP_660537.1	K04564
NP_660538.2	K01056
NP_660539.1	K06942
NP_660540.1	K01733
NP_660541.1	K00872
NP_660542.1	K12524
NP_660543.1	K00760
NP_660544.1	K01918
NP_660545.1	K00606
NP_660546.1	K06204
NP_660547.1	K06173
NP_660548.1	K03070
NP_660549.1	K03574
NP_660550.1	K00859
NP_660551.1	K00364
NP_660552.1	K00163
NP_660553.1	K00627
NP_660554.1	K00382
NP_660555.1	K01611
NP_660556.1	K00797
NP_660557.1	K01243
NP_660558.1	K15724
NP_660559.1	K03531
NP_660560.1	K03590
NP_660561.1	K01921
NP_660562.1	K02563
NP_660563.1	K03588
NP_660564.1	K01925
NP_660565.1	K03587
NP_660566.1	K03586
NP_660567.1	K03438
NP_660568.1	K01653
NP_660569.1	K01652
NP_660570.1	K04771
NP_660571.1	K00674
NP_660572.1	K01265
NP_660573.1	K02967
NP_660574.1	K02357
NP_660575.1	K09903
NP_660576.1	K02838
NP_660577.1	K00099
NP_660578.1	K00806
NP_660579.1	K07277
NP_660580.1	K02372
NP_660581.1	K02337
NP_660582.1	K01881
NP_660583.1	K02401
NP_660584.2	K02400
NP_660585.1	K01887
NP_660586.1	K01069
NP_660587.1	K03469
NP_660588.1	K02342
NP_660589.1	K03271
NP_660590.1	K00769
NP_660591.1	K03687
NP_660592.1	K09801
NP_660593.1	K03664
NP_660594.1	K11991
NP_660595.1	K00997
NP_660596.1	K03595
NP_660597.1	K03685
NP_660598.1	K03100
NP_660599.1	K03596
NP_660600.1	K00566
NP_660601.1	K01756
NP_660602.1	K00208
NP_660603.1	K01147
NP_660604.1
NP_660605.2	K03801
NP_660606.1	K03644
NP_660607.1	K01591
NP_660608.1	K01497
NP_660609.1	K06131
NP_660610.1	K10806
NP_660611.1	K06190
NP_660612.1
NP_660613.1	K01695
NP_660614.1	K01696
NP_660615.1	K13498
NP_660616.1	K00766
NP_660617.1	K07790
NP_660618.1	K06178
NP_660619.1	K04774
NP_660620.1	K03168
NP_660621.1	K01092
NP_660622.1	K06941
NP_660623.1	K03526
NP_660624.1	K01892
NP_660625.1	K00600
NP_660626.1	K01012
NP_660627.1	K00833
NP_660628.1	K07404
NP_660629.1	K09808
NP_660630.1	K09810
NP_660631.1	K09808
NP_660632.1	K00134
NP_660633.1	K06879
NP_660634.1	K03839
NP_660635.1
NP_660636.1	K00164
NP_660637.1	K00658
NP_660638.1	K01834
NP_660639.1	K00850
NP_660640.1	K02440
NP_660641.1	K01803
NP_660642.1	K05788
NP_660643.1	K02945
NP_660644.1	K00800
NP_660645.1	K00831
NP_660646.1	K01875
NP_660647.1	K00384
NP_660648.1	K02518
NP_660649.1	K01876
NP_660650.1	K09816
NP_660651.1	K09817
NP_660652.1	K09815
NP_660653.1	K01417
NP_660654.1	K00873
NP_660655.1	K00036
NP_660656.1	K03799
NP_660657.1
NP_660658.1	K14742
NP_660659.1	K03608
NP_660660.1	K03609
NP_660661.1	K03610
NP_660662.2	K00564
NP_660663.1	K03286
NP_660664.1	K03980
NP_660665.1	K01465
NP_660666.1	K02399
NP_660667.1	K02386
NP_660668.1	K02387
NP_660669.1	K02388
NP_660670.1	K02389
NP_660671.1	K02390
NP_660672.3	K02391
NP_660673.1	K02392
NP_660674.1	K02393
NP_660675.1	K02394
NP_660676.1	K02395
NP_660677.1	K02396
NP_660678.1	K08300
NP_660679.1	K06179
NP_660680.1	K02911
NP_660681.1	K00645
NP_660682.1	K00059
NP_660683.1	K02078
NP_660684.1	K00943
NP_660685.1	K02341
NP_660686.1	K03424
NP_660687.1	K02779,K02778
NP_660688.1	K02503
NP_660689.1	K09476
NP_660690.1	K01893
NP_660691.1	K00763
NP_660692.1	K00226
NP_660693.1	K12297
NP_660694.1	K15738
NP_660695.1	K07146
NP_660696.1	K01873
NP_660697.1	K01255
NP_660698.1	K00611
NP_660699.1	K00609
NP_660700.1	K00610
NP_660701.1	K07567
NP_660702.1	K05592
NP_660703.1	K00962
NP_660704.1	K02956
NP_660705.1	K03177
NP_660706.1	K02834
NP_660707.1	K02519
NP_660708.1	K02600
NP_660709.1	K03075
NP_660710.1	K03798
NP_660711.1	K02427
NP_660712.1	K03624
NP_660713.1
NP_660714.1	K00790
NP_660715.1	K02888
NP_660716.1	K02899
NP_660717.1	K03979
NP_660718.1	K02996
NP_660719.2	K02871
NP_660720.1	K14170
NP_660721.1	K03106
NP_660722.1	K02959
NP_660723.1	K02860
NP_660724.1	K00554
NP_660725.1	K02884
NP_660726.1	K03568
NP_660727.1	K03786
NP_660728.1	K03557
NP_660729.1	K06180
NP_660730.1	K05807
NP_660731.1	K01872
NP_660732.1	K03563
NP_660733.1	K01919
NP_660734.1	K00789
NP_660735.1	K09761
NP_660736.1	K01934
NP_660737.1	K01807
NP_660738.1	K01886
NP_660739.1	K01937
NP_660740.1	K01689
NP_660741.1	K10026
NP_660742.1	K01737
NP_660743.1	K01770
NP_660744.1	K00991
NP_660745.1	K05589
NP_660746.1	K00860
NP_660747.1	K00380
NP_660748.1	K03555
NP_660749.1	K03673
NP_660750.1	K02335
NP_660751.1	K03978
NP_660752.1	K06207
NP_660753.1	K00942
NP_660754.1	K06980
NP_660755.1	K04567
NP_660756.1	K01586
NP_660757.1	K00560
NP_660758.1	K06168
NP_660759.1	K07042
NP_660760.1	K06189
NP_660761.1	K01869
NP_660762.1	K02340
NP_660763.1	K00969
NP_660764.1	K04085
NP_660765.1	K00133
NP_660766.1
NP_660767.1	K00927
NP_660768.1	K01624
NP_660769.1	K03442
NP_660770.1	K03583
NP_660771.1	K03582
NP_660772.1	K03581
NP_660773.1	K14682
NP_660774.1	K08304
NP_660775.1	K00794
NP_660776.1	K00946
NP_660777.1	K01498
NP_660778.1	K00082
NP_660779.2	K03625
NP_660780.1	K01662
NP_660781.1	K00795
NP_660782.2
NP_660783.1	K11179
NP_660784.1	K02301
NP_660785.2	K02300
NP_660786.1	K02299
NP_660787.1	K02298
NP_660788.1	K02297
NP_660789.1	K05527
NP_660790.1	K03545
NP_660791.1	K01358
NP_660792.1	K03544
NP_660793.1	K01338
NP_660794.1	K03770
NP_660795.1	K06920
NP_660796.1	K06147
NP_660797.1	K06148
NP_660798.1	K02343
NP_660799.1	K09747
NP_660800.1	K04079
NP_660801.1	K00939
NP_660802.1	K01491
NP_660803.1	K01883
NP_660804.1	K09158
NP_660805.1	K03704
NP_660806.1	K00014
NP_660807.1	K07566
NP_660808.1	K03747
NP_660809.1	K01462
NP_660810.1	K00604
NP_660811.1	K02879
NP_660812.1	K03040
NP_660813.1	K02986
NP_660814.1	K02948
NP_660815.1	K02952
NP_660816.1	K02919
NP_660817.1	K03076
NP_660818.1	K02876
NP_660819.1	K02907
NP_660820.1	K02988
NP_660821.1	K02881
NP_660822.2	K02933
NP_660823.1	K02994
NP_660824.1	K02954
NP_660825.1	K02931
NP_660826.1	K02895
NP_660827.1	K02874
NP_660828.1	K02961
NP_660829.1	K02904
NP_660830.1	K02878
NP_660831.1	K02982
NP_660832.1	K02890
NP_660833.1	K02965
NP_660834.1	K02886
NP_660835.1	K02892
NP_660836.1	K02926
NP_660837.1	K02906
NP_660838.1	K02946
NP_660839.1	K02358
NP_660840.1	K02355
NP_660841.1	K02992
NP_660842.1	K02950
NP_660843.1	K07237
NP_660844.2	K07236
NP_660845.1	K07235
NP_660846.1	K03772
NP_660847.1	K00821
NP_660848.1	K06141
NP_660849.1	K01867
NP_660850.1	K01783
NP_660851.1	K01735
NP_660852.1	K00891
NP_660853.1	K03784
NP_660854.1	K01839
NP_660855.1	K02837
NP_660856.1	K07400
NP_660857.2	K03111
NP_660858.1	K02314
NP_660859.1	K01920
NP_660860.2	K07447
NP_660861.1	K06997
NP_660862.1	K02495
NP_660863.1	K03439
NP_660864.1	K03575
NP_660865.1
NP_660866.1	K01776
NP_660867.3	K01141
NP_660868.1	K09802
NP_660869.1	K01520
NP_660870.1	K02939
NP_660871.1	K02963
NP_660872.1	K02990
NP_660873.1	K12573
NP_660874.1	K01939
NP_660875.1	K04087
NP_660876.1	K04088
NP_660877.1	K03572
NP_660878.1	K00009
NP_660879.1	K02800,K02798,K02799
NP_660880.1	K01810
NP_660881.1	K13288
NP_660882.1	K01448
NP_660883.1	K02909
NP_660884.1	K01419
NP_660885.1	K03667
NP_660886.1	K04080
NP_660887.1	K00528
NP_660888.1	K00954
NP_660889.1
NP_660890.1	K15984
NP_660891.1	K16322
NP_660892.1	K08224
NP_660893.2	K01778
NP_660894.1	K06202
NP_660895.1	K03628
NP_660896.1	K03671
NP_660897.1	K03656
NP_660898.1	K00053
NP_660899.1	K01687
NP_660900.1	K04487
NP_660901.1	K04488
NP_660902.1	K04082
NP_660903.1	K04044
NP_660904.1	K04755
NP_660905.1	K03977
NP_660906.1
