YP_802580.1	K03495
YP_802581.1	K02470
YP_802582.1	K02338
YP_802583.1	K02313
YP_802584.1	K02914
YP_802585.1	K03536
YP_802586.1	K03217
YP_802587.1	K03650
YP_802588.1	K04078
YP_802589.1	K04077
YP_802590.1	K02356
YP_802591.1	K02315
YP_802592.1	K08316
YP_802593.1	K03110
YP_802594.1	K03089
YP_802595.1	K00549
YP_802596.1	K03046
YP_802597.1	K03043
YP_802598.1	K02935
YP_802599.1	K02864
YP_802600.1	K02863
YP_802601.1	K02867
YP_802602.1	K02601
YP_802603.1	K03073
YP_802604.1	K00297
YP_802605.1	K00930
YP_802606.1	K01940
YP_802607.1	K01755
YP_802608.1	K03086
YP_802609.1	K02316
YP_802610.1	K02970
YP_802611.1	K01409
YP_802612.1	K00974
YP_802613.1	K01972
YP_802614.1	K01885
YP_802615.1	K02409
YP_802616.1	K02410
YP_802617.1	K02411
YP_802618.1	K02412
YP_802619.1	K02417
YP_802620.1	K02419
YP_802621.1	K02420
YP_802622.1	K02421
YP_802623.1	K02913
YP_802624.1	K02902
YP_802625.1	K01507
YP_802626.1	K07056
YP_802627.1	K00647
YP_802628.1	K00616
YP_802629.1	K00615
YP_802630.1	K01439
YP_802631.1	K01714
YP_802632.1	K01736
YP_802633.1
YP_802634.1	K00765
YP_802635.1	K00013
YP_802636.1	K00817
YP_802637.1	K01089
YP_802638.1	K02501
YP_802639.1	K01814
YP_802640.1	K02500
YP_802641.1	K11755
YP_802642.1	K00033
YP_802643.1	K01874
YP_802644.1	K04075
YP_802645.1	K01866
YP_802646.1	K05997
YP_802647.1	K01626
YP_802648.1	K01868
YP_802649.1	K02520
YP_802650.1	K02916
YP_802651.1	K02887
YP_802652.1	K01889
YP_802653.1	K01890
YP_802654.1	K04764
YP_802655.1	K01879
YP_802656.1	K01878
YP_802657.1	K01151
YP_802658.1	K02897
YP_802659.1	K02528
YP_802660.1	K01955
YP_802661.1	K01956
YP_802662.1	K00215
YP_802663.1	K01870
YP_802664.1	K02968
YP_802665.1	K03686
YP_802666.1	K04043
YP_802667.1	K00330
YP_802668.1	K00331
YP_802669.1	K13378
YP_802670.1	K00334
YP_802671.1	K00335
YP_802672.1	K00336
YP_802673.1	K00337
YP_802674.1	K00338
YP_802675.1	K00339
YP_802676.1	K00340
YP_802677.1	K00341
YP_802678.1	K00342
YP_802679.1	K00343
YP_802680.1	K00948
YP_802681.1	K02835
YP_802682.1	K02493
YP_802683.1
YP_802684.1	K00925
YP_802685.1
YP_802686.1	K02469
YP_802687.1	K03386
YP_802688.1	K03648
YP_802689.1	K03687
YP_802690.1	K07390
YP_802691.1	K03683
YP_802692.1	K01056
YP_802693.1	K06942
YP_802694.1	K01733
YP_802695.1	K00872
YP_802696.1	K12524
YP_802697.1	K00970
YP_802698.1	K06173
YP_802699.1	K03070
YP_802700.1	K00163
YP_802701.1	K00627
YP_802702.1	K00382
YP_802703.1	K15724
YP_802704.1	K03531
YP_802705.1	K03590
YP_802706.1	K03438
YP_802707.1	K01653
YP_802708.1	K01652
YP_802709.1	K00674
YP_802710.1	K01265
YP_802711.1	K02967
YP_802712.1	K02357
YP_802713.1	K09903
YP_802714.1	K02838
YP_802715.1	K07277
YP_802716.1	K02372
YP_802717.1	K02337
YP_802718.1	K01881
YP_802719.1	K02401
YP_802720.1	K02400
YP_802721.1	K01887
YP_802722.1	K02342
YP_802723.1	K03687
YP_802724.1	K03664
YP_802725.1	K11991
YP_802726.1	K00997
YP_802727.1	K03595
YP_802728.1	K03685
YP_802729.1	K03100
YP_802730.1	K03596
YP_802731.1	K00566
YP_802732.1	K00208
YP_802733.1	K01147
YP_802734.1	K03801
YP_802735.1	K03644
YP_802736.1	K04773
YP_802737.1	K10806
YP_802738.1
YP_802739.1	K06178
YP_802740.1	K01092
YP_802741.1	K06941
YP_802742.1	K01892
YP_802743.1	K00600
YP_802744.1	K07404
YP_802745.1	K03723
YP_802746.1	K00134
YP_802747.1	K03839
YP_802748.1
YP_802749.1	K00164
YP_802750.1	K00658
YP_802751.1	K01834
YP_802752.1	K00850
YP_802753.1	K01803
YP_802754.1	K05788
YP_802755.1	K02945
YP_802756.1	K00800
YP_802757.1	K00831
