YP_277523.1	K03495
YP_277524.1	K02108
YP_277525.1	K02110
YP_277526.1	K02109
YP_277527.1	K02113
YP_277528.1	K02111
YP_277529.1	K02115
YP_277530.1	K02112
YP_277531.1	K02114
YP_277532.1	K04042
YP_277533.1	K03650
YP_277534.1	K03217
YP_277535.1	K03536
YP_277536.1	K02914
YP_277537.1	K02338
YP_277538.1	K02470
YP_277539.1	K04080
YP_277540.1
YP_277541.1	K01878
YP_277542.1	K01879
YP_277543.1	K04564
YP_277544.1	K01414
YP_277545.1	K16322
YP_277546.1	K03179
YP_277547.1	K09823
YP_277548.1	K02314
YP_277549.1	K03111
YP_277550.1	K03316
YP_277551.1	K11102
YP_277552.1	K09022
YP_277553.1	K00611
YP_277554.1	K01873
YP_277555.1	K02339
YP_277556.1	K01255
YP_277557.1	K07091
YP_277558.1	K11720
YP_277559.1
YP_277560.1
YP_277561.1	K02074
YP_277562.1	K02075
YP_277563.1	K06861
YP_277564.1	K09774
YP_277565.1	K11719
YP_277566.1
YP_277567.1	K00790
YP_277568.1	K04772
YP_277569.1	K09908
YP_277570.1	K02871
YP_277571.1	K02996
YP_277572.1
YP_277573.1	K07056
YP_277574.1
YP_277575.1	K03086
YP_277576.1	K02316
YP_277577.1	K02970
YP_277578.1	K01409
YP_277579.1	K08591
YP_277580.1	K01633
YP_277581.1	K06153
YP_277582.1	K00974
YP_277583.1	K03272
YP_277584.1	K02858
YP_277585.1	K00655
YP_277586.1	K01760
YP_277587.1	K03926
YP_277588.1	K04078
YP_277589.1	K04077
YP_277590.1	K02356
YP_277591.1	K05802
YP_277592.1	K01613
YP_277593.1	K13288
YP_277594.1	K06925
YP_277595.1	K01448
YP_277596.1	K00791
YP_277597.1	K03666
YP_277598.1	K03665
YP_277599.1	K04088
YP_277600.1	K04087
YP_277601.1	K01939
YP_277602.1	K03218
YP_277603.1	K02990
YP_277604.1	K02963
YP_277605.1	K02939
YP_277606.1	K01082
YP_277607.1	K07278
YP_277608.1	K09800
YP_277609.1	K01507
YP_277610.1	K02523
YP_277611.1	K02888
YP_277612.1	K02899
YP_277613.1	K03979
YP_277614.1	K03624
YP_277615.1	K02427
YP_277616.1	K03798
YP_277617.1	K00796
YP_277618.1	K03431
YP_277619.1	K03075
YP_277620.1	K02600
YP_277621.1	K02519
YP_277622.1	K02834
YP_277623.1	K03177
YP_277624.1	K02956
YP_277625.1	K00962
YP_277626.1	K05592
YP_277627.1	K02344
YP_277628.1	K12524
YP_277629.1	K00872
YP_277630.1	K01733
YP_277631.1	K04043
YP_277632.1	K03686
YP_277633.1	K02968
YP_277634.1	K11753
YP_277635.1	K01870
YP_277636.1	K03101
YP_277637.1	K03527
YP_277638.1	K00215
YP_277639.1	K01956
YP_277640.1	K01955
YP_277641.1	K00287
YP_277642.1	K01525
YP_277643.1	K02528
YP_277644.1	K00097
YP_277645.1	K03771
YP_277646.1	K04744
YP_277647.1	K01704
YP_277648.1	K01703
YP_277649.1	K00052
YP_277650.1	K01649
YP_277651.1	K03438
YP_277652.1	K03586
YP_277653.1	K03587
YP_277654.1	K01928
YP_277655.1	K01929
YP_277656.1	K01000
YP_277657.1	K01925
YP_277658.1	K03588
YP_277659.1	K02563
YP_277660.1	K01924
YP_277661.1	K03589
YP_277662.1	K03590
YP_277663.1	K03531
YP_277664.1	K02535
YP_277665.1	K03070
YP_277666.1	K00859
YP_277667.1	K06204
YP_277668.1	K00950
YP_277669.1	K00382
YP_277670.1	K00627
YP_277671.1	K00163
YP_277672.1	K05365
YP_277673.1	K15724
YP_277674.1	K01937
YP_277675.1	K01689
YP_277676.1	K00380
YP_277677.1	K00381
YP_277678.1	K00390
YP_277679.1	K02302
YP_277680.1	K00957
YP_277681.1	K00956
YP_277682.1	K00860
YP_277683.1	K05589
YP_277684.1	K00991
YP_277685.1	K01770
YP_277686.1	K06194
YP_277687.1	K01872
YP_277688.1	K03563
YP_277689.1	K03106
YP_277690.1	K02959
YP_277691.1	K02860
YP_277692.1	K00554
YP_277693.1	K02884
YP_277694.1	K01626
YP_277695.1	K14187
YP_277696.1	K14170
YP_277697.1	K05807
YP_277698.1	K06180
YP_277699.1	K03695
YP_277700.1	K00075
YP_277701.1	K03524
YP_277702.1	K00867
YP_277703.1	K03594
YP_277704.1	K02946
YP_277705.1	K02906
YP_277706.1	K02926
YP_277707.1	K02892
YP_277708.1	K02886
YP_277709.1	K02965
YP_277710.1	K02890
YP_277711.1	K02982
YP_277712.1	K02878
YP_277713.1	K02904
YP_277714.1	K02961
YP_277715.1	K02874
YP_277716.1	K02895
YP_277717.1	K02931
YP_277718.1	K02954
YP_277719.1	K02994
YP_277720.1	K02933
YP_277721.1	K02881
YP_277722.1	K02988
YP_277723.1	K02876
YP_277724.1	K03076
YP_277725.1	K02919
YP_277726.1	K02952
YP_277727.1	K02948
YP_277728.1	K02986
YP_277729.1	K03040
YP_277730.1	K02879
YP_277731.1	K00604
YP_277732.1	K01462
YP_277733.1	K07566
YP_277734.1	K00014
YP_277735.1	K01069
YP_277736.1	K03469
YP_277737.1	K02342
YP_277738.1	K03271
YP_277739.1	K03386
YP_277740.1	K00773
YP_277741.1	K03210
