YP_003880535.1	K03801
YP_003880536.1	K03217
YP_003880537.1	K01892
YP_003880538.1	K01873
YP_003880539.1	K02338
YP_003880540.1	K01890
YP_003880541.1	K01735
YP_003880542.1	K02469
YP_003880543.1	K02945
YP_003880544.1	K03885
YP_003880545.1	K03628
YP_003880546.1	K02835
YP_003880547.1	K01876
YP_003880548.1	K03786
YP_003880549.1	K09458
YP_003880550.1	K02078
YP_003880551.1	K02114
YP_003880552.1	K02112
YP_003880553.1	K02528
YP_003880554.1	K01870
YP_003880555.1	K03101
YP_003880556.1	K03596
YP_003880557.1	K02341
YP_003880558.1	K08303
YP_003880559.1
YP_003880560.1	K01886
YP_003880561.1	K03495
YP_003880562.1
YP_003880563.1	K07056
YP_003880564.1	K00948
YP_003880565.1	K02897
YP_003880566.1	K01874
YP_003880567.1
YP_003880568.1	K01885
YP_003880569.1	K02115
YP_003880570.1	K02111
YP_003880571.1	K02113
YP_003880572.1	K02109
YP_003880573.1	K02110
YP_003880574.1	K02108
YP_003880575.1	K02316
YP_003880576.1	K00928
YP_003880577.1	K05595
YP_003880578.1	K03437
YP_003880579.1	K00052
YP_003880580.1	K01704
YP_003880581.1	K01703
YP_003880582.1	K01649
YP_003880583.1
YP_003880584.1	K01866
YP_003880585.1	K03595
YP_003880586.1	K01869
YP_003880587.1	K06178
YP_003880588.1	K00175
YP_003880589.1
YP_003880590.1	K01875
YP_003880591.1	K02902
YP_003880592.1	K02913
YP_003880593.1
YP_003880594.1	K06173
YP_003880595.1	K03046
YP_003880596.1	K03043
YP_003880597.1	K02935
YP_003880598.1	K02864
YP_003880599.1	K02863
YP_003880600.1	K02867
YP_003880601.1	K02358
YP_003880602.1
YP_003880603.1	K00184
YP_003880604.1	K00185
YP_003880605.1
YP_003880606.1
YP_003880607.1
YP_003880608.1	K02426
YP_003880609.1	K02523
YP_003880610.1	K01903
YP_003880611.1	K02343
YP_003880612.1	K03116
YP_003880613.1	K01358
YP_003880614.1	K03544
YP_003880615.1	K03555
YP_003880616.1	K02357
YP_003880617.1	K02967
YP_003880618.1	K02996
YP_003880619.1	K02871
YP_003880620.1	K04043
YP_003880621.1	K01868
YP_003880622.1	K02520
YP_003880623.1	K02916
YP_003880624.1	K02887
YP_003880625.1	K01462
YP_003880626.1	K07447
YP_003880627.1	K00674
YP_003880628.1	K00826
YP_003880629.1
YP_003880630.1	K00566
YP_003880631.1	K03686
YP_003880632.1	K03687
YP_003880633.1	K06950
YP_003880634.1	K00382
YP_003880635.1	K02314
YP_003880636.1
YP_003880637.1	K13788
YP_003880638.1	K00925
YP_003880639.1	K03650
YP_003880640.1	K03657
YP_003880641.1	K02337
YP_003880642.1	K01940
YP_003880643.1	K00145
YP_003880644.1	K00818
YP_003880645.1	K01956
YP_003880646.1	K01955
YP_003880647.1	K13043
YP_003880648.1	K00930
YP_003880649.1	K01438
YP_003880650.1	K00891
YP_003880651.1	K04075
YP_003880652.1	K00616
YP_003880653.1	K01881
YP_003880654.1	K01338
YP_003880655.1	K01586
YP_003880656.1	K01736
YP_003880657.1	K04079
YP_003880658.1
YP_003880659.1	K03070
YP_003880660.1	K02884
YP_003880661.1
YP_003880662.1	K01880
YP_003880663.1	K02548
YP_003880664.1	K01733
YP_003880665.1	K00872
YP_003880666.1	K12524
YP_003880667.1	K00029
YP_003880668.1	K00406
YP_003880669.1	K15862
YP_003880670.1	K01533
YP_003880671.1	K03977
YP_003880672.1	K03644
YP_003880673.1	K02914
YP_003880674.1	K02356
YP_003880675.1	K01902
YP_003880676.1	K07052
YP_003880677.1	K00174
YP_003880678.1	K03593
YP_003880679.1	K01867
YP_003880680.1	K07277
YP_003880681.1	K02838
YP_003880682.1	K01893
YP_003880683.1	K02888
YP_003880684.1	K02899
YP_003880685.1	K02990
YP_003880686.1
YP_003880687.1	K02939
YP_003880688.1
YP_003880689.1
YP_003880690.1	K01714
YP_003880691.1	K02836
YP_003880692.1	K00215
YP_003880693.1	K03100
YP_003880694.1	K02970
YP_003880695.1	K00014
YP_003880696.1	K03979
YP_003880697.1	K00382
YP_003880698.1
YP_003880699.1	K01872
YP_003880700.1	K00164
YP_003880701.1	K00658
YP_003880702.1	K03118
YP_003880703.1	K03664
YP_003880704.1
YP_003880705.1
YP_003880706.1	K04077
YP_003880707.1	K04078
YP_003880708.1	K09014
YP_003880709.1	K09013
YP_003880710.1	K09015
YP_003880711.1	K11717
YP_003880712.1	K02519
YP_003880713.1	K04516
YP_003880714.1	K04518
YP_003880715.1	K00133
YP_003880716.1	K02968
YP_003880717.1	K00800
YP_003880718.1	K02959
YP_003880719.1	K03624
YP_003880720.1	K02470
YP_003880721.1	K03501
YP_003880722.1	K00812
YP_003880723.1	K02911
YP_003880724.1	K00162
YP_003880725.1	K01624
YP_003880726.1	K03086
YP_003880727.1	K00962
YP_003880728.1	K02956
YP_003880729.1	K03183
YP_003880730.1	K02909
YP_003880731.1	K02950
YP_003880732.1	K02992
YP_003880733.1	K02355
YP_003880734.1	K02946
YP_003880735.1	K02906
YP_003880736.1	K02926
YP_003880737.1	K02892
YP_003880738.1	K02886
YP_003880739.1	K02965
YP_003880740.1	K02890
YP_003880741.1	K02982
YP_003880742.1	K02878
YP_003880743.1	K02961
YP_003880744.1	K02874
YP_003880745.1	K02895
YP_003880746.1	K02931
YP_003880747.1	K02954
YP_003880748.1	K02994
YP_003880749.1	K02933
YP_003880750.1	K02881
YP_003880751.1	K02988
YP_003880752.1	K02876
YP_003880753.1	K03076
YP_003880754.1	K02518
YP_003880755.1	K02919
YP_003880756.1	K02952
YP_003880757.1	K02948
YP_003880758.1	K02986
YP_003880759.1	K03040
YP_003880760.1	K02879
YP_003880761.1	K01778
YP_003880762.1	K03438
YP_003880763.1	K00294
YP_003880764.1	K03572
YP_003880765.1	K01755
YP_003880766.1	K04567
YP_003880767.1	K00161
YP_003880768.1	K00627
YP_003880769.1
YP_003880770.1	K00850
YP_003880771.1	K00134
YP_003880772.1
YP_003880773.1	K02340
YP_003880774.1	K03218
YP_003880775.1	K01889
YP_003880776.1	K01754
YP_003880777.1	K00053
YP_003880778.1	K01653
YP_003880779.1	K01652
YP_003880780.1	K01687
