YP_004706949.1	K01703
YP_004706950.1	K01704
YP_004706951.1	K00052
YP_004706952.1	K02970
YP_004706953.1	K01409
YP_004706954.1	K02204
YP_004706955.1	K03544
YP_004706956.1	K01358
YP_004706957.1	K01940
YP_004706958.1	K02911
YP_004706959.1	K05524
YP_004706960.1	K03686
YP_004706961.1	K04043
YP_004706962.1	K01626
YP_004706963.1
YP_004706964.1	K00549
YP_004706965.1	K03501
YP_004706966.1	K02968
YP_004706967.1	K02871
YP_004706968.1	K02996
YP_004706969.1	K15724
YP_004706970.1	K01687
YP_004706971.1	K09924
YP_004706972.1	K14170
YP_004706973.1	K00800
YP_004706974.1	K02945
YP_004706975.1	K02959
YP_004706976.1	K02884
YP_004706977.1	K00297
YP_004706978.1
YP_004706979.1	K04077
YP_004706980.1	K04078
YP_004706981.1	K02337
YP_004706982.1	K09710
YP_004706983.1	K01652
YP_004706984.1	K00053
YP_004706985.1	K01649
YP_004706986.1	K02956
YP_004706987.1	K02888
YP_004706988.1	K02899
YP_004706989.1	K02342
YP_004706990.1	K02427
YP_004706991.1	K02909
YP_004706992.1	K01733
YP_004706993.1	K00003
YP_004706994.1	K02314
YP_004706995.1	K02939
YP_004706996.1	K02963
YP_004706997.1	K02990
YP_004706998.1
YP_004706999.1	K02519
YP_004707000.1	K02887
YP_004707001.1	K02916
YP_004707002.1	K02520
YP_004707003.1	K01736
YP_004707004.1	K03664
YP_004707005.1	K02967
YP_004707006.1	K00674
YP_004707007.1	K00928
YP_004707008.1	K01658
YP_004707009.1	K00766
YP_004707010.1	K02902
YP_004707011.1	K02913
YP_004707012.1	K03704
YP_004707013.1	K01714
YP_004707014.1	K04755
YP_004707015.1	K04488
YP_004707016.1	K04487
YP_004707017.1	K03977
YP_004707018.1	K06941
YP_004707019.1	K02343
YP_004707020.1	K03600
YP_004707021.1	K11755
YP_004707022.1	K02500
YP_004707023.1	K01814
YP_004707024.1	K02501
YP_004707025.1	K01693
YP_004707026.1	K00765
YP_004707027.1	K01735
YP_004707028.1	K00891
YP_004707029.1	K02879
YP_004707030.1	K03040
YP_004707031.1	K02986
YP_004707032.1	K02948
YP_004707033.1	K02952
YP_004707034.1	K02919
YP_004707035.1	K02518
YP_004707036.1	K02876
YP_004707037.1	K02907
YP_004707038.1	K02988
YP_004707039.1	K02881
YP_004707040.1	K02933
YP_004707041.1	K02994
YP_004707042.1	K02954
YP_004707043.1
YP_004707044.1	K02874
YP_004707045.1	K02961
YP_004707046.1	K02878
YP_004707047.1	K02982
YP_004707048.1	K02965
YP_004707049.1	K02886
YP_004707050.1
YP_004707051.1	K02926
YP_004707052.1	K02906
YP_004707053.1	K02946
YP_004707054.1	K02358
YP_004707055.1	K02355
YP_004707056.1	K02992
YP_004707057.1	K02950
YP_004707058.1	K03046
YP_004707059.1	K03043
YP_004707060.1	K02935
YP_004707061.1	K02864
YP_004707062.1	K02867
YP_004707063.1
YP_004707064.1	K00948
YP_004707065.1	K02914
YP_004707066.1	K02338
YP_004707067.1
YP_004707068.1	K00616
YP_004707069.1	K00024
